/* DATA DESCRIPTION:
Citation:	Streletskiy, Dmitry A; CALM; GTN-P; Wieczorek, Mareike; Heim, Birgit; Bartsch, Annett (2025): GTN-P CALM: 35 years of Active Layer Thickness (ALT) across latitudinal and elevational gradients in the Northern Hemisphere [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.972777
	CALM_CN7 (CN7 , Kunlun Basin) (URI: https://www2.gwu.edu/~calm/data/webforms/cn_f.htm) * LATITUDE: 35.616670 * LONGITUDE: 94.066670 * ELEVATION: 4732.0 m * LOCATION: China * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Lin Zhao, Method: Ground temperature measurements
	CALM_G1 (G1, Zackenberg) (URI: https://www2.gwu.edu/~calm/data/webforms/g1_f.html) * LATITUDE: 74.473000 * LONGITUDE: -20.552800 * ELEVATION: 39.0 m * LOCATION: Greenland * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Magnus Lund, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect
	CALM_G2 (G2, Zackenberg) (URI: https://www2.gwu.edu/~calm/data/webforms/g2_f.html) * LATITUDE: 74.466000 * LONGITUDE: -20.564300 * ELEVATION: 39.0 m * LOCATION: Greenland * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Magnus Lund, Method: Spatially-oriented mechanical probing at 150 m Grid or Transect
	CALM_G3 (G3, Disko Island) (URI: https://www2.gwu.edu/~calm/data/webforms/g3_f.html) * LATITUDE: 69.250000 * LONGITUDE: -53.500000 * ELEVATION: 101.0 m * LOCATION: Greenland * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Hanne Hvidtfeldt Christiansen, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect
	CALM_IT1 (IT1, Ecogrid) (URI: https://www2.gwu.edu/~calm/data/webforms/it1_f.htm) * LATITUDE: 78.920000 * LONGITUDE: 11.860000 * ELEVATION: 53.0 m * LOCATION: Svalbard * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Stefano Ponti, Mauro Guglielmin, Method: Spatially-oriented mechanical probing at 60 m Grid or Transect
	CALM_K0 (K0 , Northern Tien Shan) * LATITUDE: 43.100000 * LONGITUDE: 76.900000 * ELEVATION: 2095.0 m * LOCATION: Kazakhstan * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Sergey Marchenko, Method: Ground temperature measurements from a 25 m borehole
	CALM_K1 (K1 , Northern Tien Shan) * LATITUDE: 43.100000 * LONGITUDE: 76.900000 * ELEVATION: 2095.0 m * LOCATION: Kazakhstan * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Sergey Marchenko, Method: Ground temperature measurements from a 14 m borehole
	CALM_K2 (K2 , Northern Tien Shan) * LATITUDE: 43.083330 * LONGITUDE: 76.916670 * ELEVATION: 2095.0 m * LOCATION: Kazakhstan * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Sergey Marchenko, Method: Ground temperature measurements from a 14 m borehole
	CALM_M1 (M 1, Baganuur Depression) (URI: https://www2.gwu.edu/~calm/data/webforms/mg_f.html) * LATITUDE: 47.688890 * LONGITUDE: 108.262500 * ELEVATION: 1342.0 m * LOCATION: Mongolia * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Natsagdorj Sharkhuu, Method: Ground temperature measurements from a 15 m borehole
	CALM_M1A (M1 A, Baganuur depression) (URI: https://www2.gwu.edu/~calm/data/webforms/mg_f.html) * LATITUDE: 47.694440 * LONGITUDE: 108.294440 * ELEVATION: 1349.0 m * LOCATION: Mongolia * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Natsagdorj Sharkhuu, Method: Ground temperature measurements from a 15 m borehole
	CALM_M2A (M2 A, Nalaikh) (URI: https://www2.gwu.edu/~calm/data/webforms/mg_f.html) * LATITUDE: 47.754440 * LONGITUDE: 107.250000 * ELEVATION: 1509.0 m * LOCATION: Mongolia * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Natsagdorj Sharkhuu, Method: Ground temperature measurements from a 50 m borehole
