date,site_id,lat,lon,method,pf_depth,thaw_depth,pf_observed,source,obs_limit
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,54.0,54.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,56.0,56.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,53.0,53.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,51.0,51.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,55.0,55.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,57.0,57.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,46.0,46.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,44.0,44.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,57.0,57.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,,,0,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,,,0,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,,,0,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,,,0,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,,,0,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,,,0,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,30.0,30.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,31.0,31.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,34.0,34.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,33.0,33.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,28.0,28.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,29.0,29.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,29.0,29.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,29.0,29.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,35.0,35.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,27.0,27.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,34.0,34.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,27.0,27.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,30.0,30.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 ha grid,70.3745,-148.5522,Frost Probe Transect or Grid & Borehole,25.0,25.0,1,Brown_etal_2000_calm,
