site_id,bonnaventure_point_type,pf_observed,lat,lon,source,date,pf_depth,thaw_depth,obs_limit,method,bonnaventure_published_site_count,bonnaventure_shared_site_count,bonnaventure_protocol_limit_cm,quality_flag_obs_limit_assumed,quality_flag_upper_bound_presence,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_model_or_estimate
PP43,WPT,0,63.15930102,-117.276934,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP44,WPT,1,63.15943899,-117.278181,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP45,WPT,0,63.12621798,-117.233082,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP46,WPT,0,63.12765104,-117.233945,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP47,WPT,1,63.12742799,-117.236346,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP48,WPT,1,63.12890103,-117.242487,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP5,WPT,0,63.15298601,-117.226055,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP50,WPT,1,63.17254602,-117.143416,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP51,WPT,1,63.17160901,-117.144076,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP52,WPT,0,63.16952602,-117.144344,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP53,WPT,1,63.16174099,-117.169374,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP54,WPT,1,63.16038103,-117.170434,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP55,WPT,1,63.16040399,-117.170612,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
