date,thaw_depth,pf_depth,obs_limit,pf_observed,transect_name,transect_point,lon,lat,source,site_id,method
2020-08-15,57.0,57.0,120,1,JS,71,-148.42045250966,70.22897327623663,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,38.0,38.0,120,1,JS,72,-148.42047819731894,70.22897550534705,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,42.0,42.0,120,1,JS,73,-148.42050388498345,70.22897773445385,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,45.0,45.0,120,1,JS,74,-148.42052957265344,70.22897996355695,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,71.0,71.0,120,1,JS,75,-148.42055526032897,70.2289821926564,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,48.0,48.0,120,1,JS,76,-148.42058094801004,70.22898442175214,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,55.0,55.0,120,1,JS,77,-148.4206066356966,70.22898665084425,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,52.0,52.0,120,1,JS,78,-148.4206323233887,70.22898887993263,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,47.0,47.0,120,1,JS,79,-148.42065801108635,70.22899110901739,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,49.0,49.0,120,1,JS,80,-148.4206836987895,70.22899333809843,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,43.0,43.0,120,1,JS,81,-148.4207093864982,70.22899556717582,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,44.0,44.0,120,1,JS,82,-148.4207350742124,70.2289977962495,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,38.0,38.0,120,1,JS,83,-148.42076076193214,70.22900002531954,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,51.0,51.0,120,1,JS,84,-148.4207864496574,70.2290022543859,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,40.0,40.0,120,1,JS,85,-148.4208121373882,70.22900448344858,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,59.0,59.0,120,1,JS,86,-148.42083782512452,70.2290067125076,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,46.0,46.0,120,1,JS,87,-148.42086351286636,70.2290089415629,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,48.0,48.0,120,1,JS,88,-148.42088920061371,70.22901117061457,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,89,-148.4209148883666,70.22901339966256,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,55.0,55.0,120,1,JS,90,-148.42094057612505,70.22901562870685,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,58.0,58.0,120,1,JS,91,-148.42096626388897,70.22901785774748,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,92,-148.42099195165846,70.22902008678443,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,93,-148.42101763943344,70.22902231581772,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,94,-148.42104332721397,70.22902454484733,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,95,-148.42106901500003,70.22902677387323,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,96,-148.4210947027916,70.22902900289547,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,45.0,45.0,120,1,JS,97,-148.4211203905887,70.22903123191406,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,70.0,70.0,120,1,JS,98,-148.42114607839133,70.22903346092896,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,55.0,55.0,120,1,JS,99,-148.4211717661995,70.22903568994019,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,63.0,63.0,120,1,JS,100,-148.42119745401317,70.22903791894774,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,45.0,45.0,120,1,JS,101,-148.4212231418324,70.22904014795161,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,47.0,47.0,120,1,JS,102,-148.42124882965712,70.22904237695182,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,103,-148.42127451748738,70.22904460594835,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,43.0,43.0,120,1,JS,104,-148.42130020532315,70.22904683494119,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,43.0,43.0,120,1,JS,105,-148.42132589316446,70.22904906393038,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,45.0,45.0,120,1,JS,106,-148.4213515810113,70.22905129291586,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,107,-148.42137726886367,70.22905352189768,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,55.0,55.0,120,1,JS,108,-148.42140295672152,70.22905575087583,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,45.0,45.0,120,1,JS,109,-148.42142864458495,70.2290579798503,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,40.0,40.0,120,1,JS,110,-148.4214543324539,70.22906020882111,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,56.0,56.0,120,1,JS,111,-148.42148002032837,70.22906243778822,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,52.0,52.0,120,1,JS,112,-148.42150570820837,70.22906466675167,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,48.0,48.0,120,1,JS,113,-148.42153139609385,70.22906689571144,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,46.0,46.0,120,1,JS,114,-148.4215570839849,70.22906912466752,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,51.0,51.0,120,1,JS,115,-148.42158277188148,70.22907135361994,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,116,-148.42160845978358,70.2290735825687,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,117,-148.4216341476912,70.22907581151375,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,58.0,58.0,120,1,JS,118,-148.42165983560434,70.22907804045515,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,56.0,56.0,120,1,JS,119,-148.42168552352302,70.22908026939288,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,58.0,58.0,120,1,JS,120,-148.42171121144722,70.2290824983269,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,55.0,55.0,120,1,JS,121,-148.42173689937695,70.22908472725729,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,49.0,49.0,120,1,JS,122,-148.4217625873122,70.22908695618399,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,45.0,45.0,120,1,JS,123,-148.42178827525296,70.229089185107,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,47.0,47.0,120,1,JS,124,-148.42181396319927,70.22909141402634,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,51.0,51.0,120,1,JS,125,-148.4218396511511,70.22909364294202,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,126,-148.42186533910845,70.229095871854,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,49.0,49.0,120,1,JS,127,-148.42189102707133,70.2290981007623,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,51.0,51.0,120,1,JS,128,-148.42191671503974,70.22910032966695,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,42.0,42.0,120,1,JS,129,-148.42194240301367,70.22910255856792,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,130,-148.42196809099312,70.2291047874652,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,131,-148.4219937789781,70.22910701635882,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,56.0,56.0,120,1,JS,132,-148.4220194669686,70.22910924524875,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,55.0,55.0,120,1,JS,133,-148.42204515496465,70.22911147413502,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,51.0,51.0,120,1,JS,134,-148.4220708429662,70.2291137030176,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,60.0,60.0,120,1,JS,135,-148.4220965309733,70.22911593189653,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,49.0,49.0,120,1,JS,136,-148.4221222189859,70.22911816077176,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,55.0,55.0,120,1,JS,137,-148.42214790700405,70.2291203896433,Peirce_2020,Peirce_2020_JS,tp
