Study site,Transect,Sample date,Distanc from start (m),Water depth (cm),Thaw depth (cm),Field notes
Joregenson,JS,20200815,90,0,55,
Joregenson,JS,20200815,91,0,58,
Joregenson,JS,20200815,92,0,50,
Joregenson,JS,20200815,93,0,50,
Joregenson,JS,20200815,94,0,50,
Joregenson,JS,20200815,95,25,50,water trough 94.95-99.0
Joregenson,JS,20200815,96,51,54,
Joregenson,JS,20200815,97,58,45,
Joregenson,JS,20200815,98,19,70,
Joregenson,JS,20200815,99,5,55,
Joregenson,JS,20200815,100,0,63,
Joregenson,JS,20200815,101,18,45,water trough 100.8-107.05
Joregenson,JS,20200815,102,22,47,
Joregenson,JS,20200815,103,23,50,
Joregenson,JS,20200815,104,29,43,
Joregenson,JS,20200815,105,29,43,
Joregenson,JS,20200815,106,23,45,
Joregenson,JS,20200815,107,10,50,
Joregenson,JS,20200815,108,0,55,
Joregenson,JS,20200815,109,0,45,
Joregenson,JS,20200815,110,0,40,
Joregenson,JS,20200815,111,0,56,
Joregenson,JS,20200815,112,19,52,water trough 111.2-113.1
Joregenson,JS,20200815,113,12,48,
Joregenson,JS,20200815,114,0,46,
Joregenson,JS,20200815,115,0,51,
Joregenson,JS,20200815,116,0,54,
Joregenson,JS,20200815,117,0,54,
Joregenson,JS,20200815,118,0,58,
Joregenson,JS,20200815,119,0,56,
Joregenson,JS,20200815,120,0,58,
Joregenson,JS,20200815,121,0,55,
Joregenson,JS,20200815,122,0,49,
Joregenson,JS,20200815,123,0,45,
Joregenson,JS,20200815,124,0,47,
Joregenson,JS,20200815,125,0,51,dry narrow trough 125.1-125.4
Joregenson,JS,20200815,126,0,50,
Joregenson,JS,20200815,127,0,49,
Joregenson,JS,20200815,128,0,51,
Joregenson,JS,20200815,129,0,42,
Joregenson,JS,20200815,130,0,50,
Joregenson,JS,20200815,131,0,54,
Joregenson,JS,20200815,132,0,56,
Joregenson,JS,20200815,133,0,55,
Joregenson,JS,20200815,134,0,51,
Joregenson,JS,20200815,135,0,60,
Joregenson,JS,20200815,136,0,49,
Joregenson,JS,20200815,137,0,55,
Joregenson,JS,20200815,138,0,34,narrow water trough (~3cm depth) 137.7-137.9
Joregenson,JS,20200815,139,0,54,
Joregenson,JS,20200815,140,0,46,
Joregenson,JS,20200815,141,0,47,
Joregenson,JS,20200815,142,0,51,
Joregenson,JS,20200815,143,0,62,
Joregenson,JS,20200815,144,17,61,water trough (very deep) 143.7-148.2
Joregenson,JS,20200815,145,51,53,
Joregenson,JS,20200815,146,63,51,
Joregenson,JS,20200815,147,55,54,
Joregenson,JS,20200815,148,25,60,
Joregenson,JS,20200815,149,0,61,
Joregenson,JS,20200815,150,0,54,
Joregenson,JS,20200815,151,0,53,
Joregenson,JS,20200815,152,0,51,
Joregenson,JS,20200815,153,0,54,
Joregenson,JS,20200815,154,0,52,
Joregenson,JS,20200815,155,0,54,
Joregenson,JS,20200815,156,0,54,
Joregenson,JS,20200815,157,0,54,
Joregenson,JS,20200815,158,0,58,
Joregenson,JS,20200815,159,0,55,
Joregenson,JS,20200815,160,0,57,
Joregenson,JS,20200815,161,0,54,
Joregenson,JS,20200815,162,0,48,
Joregenson,JS,20200815,163,0,55,
Joregenson,JS,20200815,164,0,62,
Joregenson,JS,20200815,165,10,50,water trough (shallow) 164.3-165.6
Joregenson,JS,20200815,166,0,50,
Joregenson,JS,20200815,167,4,50,water trough (shallow) 166.9-170.25
Joregenson,JS,20200815,168,7,49,
Joregenson,JS,20200815,169,9,51,
Joregenson,JS,20200815,170,10,44,
Joregenson,JS,20200815,171,0,60,
Joregenson,JS,20200815,172,0,46,
Joregenson,JS,20200815,173,0,52,
Joregenson,JS,20200815,174,0,53,
Joregenson,JS,20200815,175,0,50,
Joregenson,JS,20200815,176,0,52,
Joregenson,JS,20200815,177,0,49,
Joregenson,JS,20200815,178,0,52,
Joregenson,JS,20200815,179,0,50,
Joregenson,JS,20200815,180,0,53,
Joregenson,JS,20200815,181,0,53,
Joregenson,JS,20200815,182,0,55,
Joregenson,JS,20200815,183,0,52,
Joregenson,JS,20200815,184,0,70,
Joregenson,JS,20200815,185,36,53,water trough 184.2-188.3
Joregenson,JS,20200815,186,49,51,
Joregenson,JS,20200815,187,40,54,
Joregenson,JS,20200815,188,16,53,
Joregenson,JS,20200815,189,0,50,
Joregenson,JS,20200815,190,0,42,
