lat,lon,date,source,site_id,pf_observed,pf_depth,obs_limit,thaw_depth,method,walker_thaw_depth_raw,distance_m
70.22405620905018,-148.4700044,2021-08-24,Walker_2022,Colleen_T1_115,1,53,,53,tp,53,115
70.22409682662392,-148.4699485,2021-08-24,Walker_2022,Colleen_T1_120,1,50,,50,tp,50,120
70.22413744418009,-148.4698926,2021-08-24,Walker_2022,Colleen_T1_125,1,66,,66,tp,66,125
70.22417806171866,-148.4698366,2021-08-24,Walker_2022,Colleen_T1_130,1,52,,52,tp,52,130
70.22421867923964,-148.4697807,2021-08-24,Walker_2022,Colleen_T1_135,1,57,,57,tp,57,135
70.22425929674304,-148.4697247,2021-08-24,Walker_2022,Colleen_T1_140,1,56,,56,tp,56,140
70.22429991422885,-148.4696688,2021-08-24,Walker_2022,Colleen_T1_145,1,46,,46,tp,46,145
70.22434053169707,-148.4696129,2021-08-24,Walker_2022,Colleen_T1_150,1,56,,56,tp,56,150
70.22438115,-148.4695569,2021-08-24,Walker_2022,Colleen_T1_155,1,48,,48,tp,48,155
70.22442176658076,-148.469501,2021-08-24,Walker_2022,Colleen_T1_160,1,53,,53,tp,53,160
70.22446238399621,-148.469445,2021-08-24,Walker_2022,Colleen_T1_165,1,54,,54,tp,54,165
70.22450300139408,-148.4693891,2021-08-24,Walker_2022,Colleen_T1_170,1,40,,40,tp,40,170
70.22454361877436,-148.4693332,2021-08-24,Walker_2022,Colleen_T1_175,1,58,,58,tp,58,175
70.22458423613705,-148.4692772,2021-08-24,Walker_2022,Colleen_T1_180,1,55,,55,tp,55,180
70.22462485348215,-148.4692213,2021-08-24,Walker_2022,Colleen_T1_185,1,53,,53,tp,53,185
70.22466547080967,-148.4691653,2021-08-24,Walker_2022,Colleen_T1_190,1,52,,52,tp,52,190
70.22470608811959,-148.4691094,2021-08-24,Walker_2022,Colleen_T1_195,1,48,,48,tp,48,195
70.22474670541192,-148.4690534,2021-08-24,Walker_2022,Colleen_T1_200,1,53,,53,tp,53,200
70.22299,-148.471506,2021-08-24,Walker_2022,Colleen_T2_0,1,125,,125,tp,125,0
70.22298201355338,-148.471518,2021-08-24,Walker_2022,Colleen_T2_1,1,118,,118,tp,118,1
70.22297402710595,-148.47153,2021-08-24,Walker_2022,Colleen_T2_2,1,103,,103,tp,103,2
70.22296604,-148.4715421,2021-08-24,Walker_2022,Colleen_T2_3,1,90,,90,tp,90,3
70.22295805420865,-148.4715541,2021-08-24,Walker_2022,Colleen_T2_4,1,82,,82,tp,82,4
70.22295006775879,-148.4715661,2021-08-24,Walker_2022,Colleen_T2_5,1,74,,74,tp,74,5
70.22294208130812,-148.4715781,2021-08-24,Walker_2022,Colleen_T2_6,1,75,,75,tp,75,6
70.22293409485664,-148.4715901,2021-08-24,Walker_2022,Colleen_T2_7,1,60,,60,tp,60,7
70.22292610840434,-148.4716021,2021-08-24,Walker_2022,Colleen_T2_8,1,68,,68,tp,68,8
70.22291812195124,-148.4716142,2021-08-24,Walker_2022,Colleen_T2_9,1,63,,63,tp,63,9
70.22291013549733,-148.4716262,2021-08-24,Walker_2022,Colleen_T2_10,1,67,,67,tp,67,10
70.22290215,-148.4716382,2021-08-24,Walker_2022,Colleen_T2_11,1,65,,65,tp,65,11
70.22289416258707,-148.4716502,2021-08-24,Walker_2022,Colleen_T2_12,1,58,,58,tp,58,12
70.22288617613073,-148.4716622,2021-08-24,Walker_2022,Colleen_T2_13,1,59,,59,tp,59,13
70.22287818967357,-148.4716742,2021-08-24,Walker_2022,Colleen_T2_14,1,64,,64,tp,64,14
70.2228702,-148.4716863,2021-08-24,Walker_2022,Colleen_T2_15,1,70,,70,tp,70,15
70.22286221675684,-148.4716983,2021-08-24,Walker_2022,Colleen_T2_16,1,70,,70,tp,70,16
70.22285423029726,-148.4717103,2021-08-24,Walker_2022,Colleen_T2_17,1,53,,53,tp,53,17
70.22284624383686,-148.4717223,2021-08-24,Walker_2022,Colleen_T2_18,1,70,,70,tp,70,18
70.22283825737564,-148.4717343,2021-08-24,Walker_2022,Colleen_T2_19,1,68,,68,tp,68,19
70.22283027091363,-148.4717463,2021-08-24,Walker_2022,Colleen_T2_20,1,63,,63,tp,63,20
70.22282228445081,-148.4717584,2021-08-24,Walker_2022,Colleen_T2_21,1,67,,67,tp,67,21
70.22281429798717,-148.4717704,2021-08-24,Walker_2022,Colleen_T2_22,1,62,,62,tp,62,22
70.22280631152272,-148.4717824,2021-08-24,Walker_2022,Colleen_T2_23,1,62,,62,tp,62,23
70.22279832505747,-148.4717944,2021-08-24,Walker_2022,Colleen_T2_24,1,60,,60,tp,60,24
70.22279034,-148.4718064,2021-08-24,Walker_2022,Colleen_T2_25,1,63,,63,tp,63,25
70.22278235212451,-148.4718184,2021-08-24,Walker_2022,Colleen_T2_26,1,60,,60,tp,60,26
70.22277436565683,-148.4718305,2021-08-24,Walker_2022,Colleen_T2_27,1,61,,61,tp,61,27
70.22276637918833,-148.4718425,2021-08-24,Walker_2022,Colleen_T2_28,1,63,,63,tp,63,28
70.22275839271903,-148.4718545,2021-08-24,Walker_2022,Colleen_T2_29,1,63,,63,tp,63,29
70.22275041,-148.4718665,2021-08-24,Walker_2022,Colleen_T2_30,1,61,,61,tp,61,30
70.22274241977797,-148.4718785,2021-08-24,Walker_2022,Colleen_T2_31,1,61,,61,tp,61,31
70.22273443330624,-148.4718905,2021-08-24,Walker_2022,Colleen_T2_32,1,39,,39,tp,39,32
70.22272644683369,-148.4719026,2021-08-24,Walker_2022,Colleen_T2_33,1,61,,61,tp,61,33
70.22271846036033,-148.4719146,2021-08-24,Walker_2022,Colleen_T2_34,1,62,,62,tp,62,34
70.22271047388615,-148.4719266,2021-08-24,Walker_2022,Colleen_T2_35,1,64,,64,tp,64,35
70.22270248741117,-148.4719386,2021-08-24,Walker_2022,Colleen_T2_36,1,50,,50,tp,50,36
70.22269450093539,-148.4719506,2021-08-24,Walker_2022,Colleen_T2_37,1,59,,59,tp,59,37
70.22268651445879,-148.4719626,2021-08-24,Walker_2022,Colleen_T2_38,1,57,,57,tp,57,38
