site_id,lat,lon,date,thaw_depth,pf_observed,source,method,langer_reported_ald_cm,obs_limit,pf_depth,quality_flag_obs_limit_assumed
155,58.18441404,-94.14713556,2019-07-31,48.0,1,Langer_etal_2020,tp,48.0,,48.0,False
156,58.18443056,-94.1473118,2018-07-25,30.0,1,Langer_etal_2020,tp,30.0,,30.0,False
156,58.18443056,-94.1473118,2019-07-31,30.0,1,Langer_etal_2020,tp,30.0,,30.0,False
157,58.18442907,-94.14751993,2018-07-25,34.0,1,Langer_etal_2020,tp,34.0,,34.0,False
157,58.18442907,-94.14751993,2019-07-31,35.0,1,Langer_etal_2020,tp,35.0,,35.0,False
158,58.18443514,-94.14789103,2018-07-25,46.0,1,Langer_etal_2020,tp,46.0,,46.0,False
158,58.18443514,-94.14789103,2019-07-31,41.0,1,Langer_etal_2020,tp,41.0,,41.0,False
159,58.18451927,-94.14807855,2018-07-25,42.0,1,Langer_etal_2020,tp,42.0,,42.0,False
159,58.18451927,-94.14807855,2019-07-31,34.0,1,Langer_etal_2020,tp,34.0,,34.0,False
160,58.1845558,-94.14842247,2018-07-25,43.0,1,Langer_etal_2020,tp,43.0,,43.0,False
160,58.1845558,-94.14842247,2019-07-31,45.0,1,Langer_etal_2020,tp,45.0,,45.0,False
161,58.18200158,-94.14657489,2018-07-25,95.0,1,Langer_etal_2020,tp,95.0,,95.0,False
161,58.18200158,-94.14657489,2019-07-31,140.0,1,Langer_etal_2020,tp,140.0,,140.0,False
162,58.18195497,-94.14648585,2018-07-25,55.0,1,Langer_etal_2020,tp,55.0,,55.0,False
162,58.18195497,-94.14648585,2019-07-31,62.0,1,Langer_etal_2020,tp,62.0,,62.0,False
163,58.18193985,-94.14636234,2018-07-25,55.0,1,Langer_etal_2020,tp,55.0,,55.0,False
163,58.18193985,-94.14636234,2019-07-31,57.0,1,Langer_etal_2020,tp,57.0,,57.0,False
164,58.18192611,-94.14616446,2018-07-25,36.0,1,Langer_etal_2020,tp,36.0,,36.0,False
164,58.18192615,-94.14616431,2018-07-25,36.0,1,Langer_etal_2020,tp,36.0,,36.0,False
164,58.18192611,-94.14616446,2019-07-31,39.0,1,Langer_etal_2020,tp,39.0,,39.0,False
164,58.18192615,-94.14616431,2019-07-31,39.0,1,Langer_etal_2020,tp,39.0,,39.0,False
165,58.18186954,-94.14597816,2018-07-25,52.0,1,Langer_etal_2020,tp,52.0,,52.0,False
165,58.18186954,-94.14597816,2019-07-31,50.0,1,Langer_etal_2020,tp,50.0,,50.0,False
166,58.18197488,-94.14671056,2018-07-25,102.0,1,Langer_etal_2020,tp,102.0,,102.0,False
166,58.18197488,-94.14671056,2019-07-31,105.0,1,Langer_etal_2020,tp,105.0,,105.0,False
167,58.18197883,-94.14681802,2018-07-25,34.0,1,Langer_etal_2020,tp,34.0,,34.0,False
167,58.18197883,-94.14681802,2019-07-31,34.0,1,Langer_etal_2020,tp,34.0,,34.0,False
168,58.18198164,-94.14689757,2018-07-25,51.0,1,Langer_etal_2020,tp,51.0,,51.0,False
168,58.18198164,-94.14689757,2019-07-31,55.0,1,Langer_etal_2020,tp,55.0,,55.0,False
169,58.18199316,-94.1469837,2018-07-25,42.0,1,Langer_etal_2020,tp,42.0,,42.0,False
169,58.18199316,-94.1469837,2019-07-31,48.0,1,Langer_etal_2020,tp,48.0,,48.0,False
170,58.1820072,-94.14709824,2018-07-25,29.0,1,Langer_etal_2020,tp,29.0,,29.0,False
170,58.1820072,-94.14709824,2019-07-31,31.0,1,Langer_etal_2020,tp,31.0,,31.0,False
171,68.9253621,-148.8478903,2018-08-07,40.0,1,Langer_etal_2020,tp,40.0,,40.0,False
171,68.9253621,-148.8478903,2019-07-18,39.0,1,Langer_etal_2020,tp,39.0,,39.0,False
172,68.92532915,-148.8481671,2018-08-07,40.0,1,Langer_etal_2020,tp,40.0,,40.0,False
172,68.92532915,-148.8481671,2019-07-18,36.0,1,Langer_etal_2020,tp,36.0,,36.0,False
173,68.92531286,-148.8483296,2018-08-07,58.0,1,Langer_etal_2020,tp,58.0,,58.0,False
173,68.92531286,-148.8483296,2019-07-18,46.0,1,Langer_etal_2020,tp,46.0,,46.0,False
174,68.92529398,-148.8485249,2018-08-07,40.0,1,Langer_etal_2020,tp,40.0,,40.0,False
174,68.92529398,-148.8485249,2019-07-18,77.0,1,Langer_etal_2020,tp,77.0,,77.0,False
175,68.92525328,-148.8486961,2018-08-07,41.0,1,Langer_etal_2020,tp,41.0,,41.0,False
175,68.92525328,-148.8486961,2019-07-18,45.0,1,Langer_etal_2020,tp,45.0,,45.0,False
176,68.92515172,-148.8487256,2018-08-07,43.0,1,Langer_etal_2020,tp,43.0,,43.0,False
177,68.92511985,-148.8486103,2019-07-18,56.0,1,Langer_etal_2020,tp,56.0,,56.0,False
