date,site,stake,depth,flag,hit_type,crew,notes
9/24/2014,BFCONTROL,1,52,G,,,
9/24/2014,BFCONTROL,2,50,G,,,
9/24/2014,BFCONTROL,3,46,G,,,
9/24/2014,BFCONTROL,4,44,G,,,
9/24/2014,BFCONTROL,5,39,G,,,
9/24/2014,BFCONTROL,6,46,G,,,
9/24/2014,BFCONTROL,7,50,G,,,
9/24/2014,BFCONTROL,8,48,G,,,
9/24/2014,BFCONTROL,9,51,G,,,
9/24/2014,BFCONTROL,10,66,G,,,
9/18/2015,BFCONTROL,1,49,G,,,
9/18/2015,BFCONTROL,2,44,G,,,
9/18/2015,BFCONTROL,3,47,G,,,
9/18/2015,BFCONTROL,4,45,G,,,
9/18/2015,BFCONTROL,5,43,G,,,
9/18/2015,BFCONTROL,6,49,G,,,
9/18/2015,BFCONTROL,7,54,G,,,
9/18/2015,BFCONTROL,8,49,G,,,
9/18/2015,BFCONTROL,9,57,G,,,
9/18/2015,BFCONTROL,10,60,G,,,
9/28/2016,BFCONTROL,1,68,G,,,
9/28/2016,BFCONTROL,2,59,G,,,
9/28/2016,BFCONTROL,3,58,G,,,
9/28/2016,BFCONTROL,4,61,G,,,
9/28/2016,BFCONTROL,5,55,G,,,
9/28/2016,BFCONTROL,6,59,G,,,
9/28/2016,BFCONTROL,7,69,G,,,
9/28/2016,BFCONTROL,8,65,G,,,
9/28/2016,BFCONTROL,9,66,G,,,
9/28/2016,BFCONTROL,10,74,G,,,
9/29/2017,BFCONTROL,1,61,G,,,
9/29/2017,BFCONTROL,2,54,G,,,
9/29/2017,BFCONTROL,3,57,G,,,
9/29/2017,BFCONTROL,4,62,G,,,
9/29/2017,BFCONTROL,5,47,G,,,
9/29/2017,BFCONTROL,6,53,G,,,
9/29/2017,BFCONTROL,7,55,G,,,
9/29/2017,BFCONTROL,8,62,G,,,
9/29/2017,BFCONTROL,9,64,G,,,
9/29/2017,BFCONTROL,10,69,,,,
10/9/2018,BFCONTROL,1,63,G,,,
10/9/2018,BFCONTROL,2,47,G,,,
10/9/2018,BFCONTROL,3,58,G,,,
10/9/2018,BFCONTROL,4,38,G,,,
10/9/2018,BFCONTROL,5,42,G,,,
10/9/2018,BFCONTROL,6,51,G,,,
10/9/2018,BFCONTROL,7,57,G,,,
10/9/2018,BFCONTROL,8,61,G,,,
10/9/2018,BFCONTROL,9,58,G,,,
10/9/2018,BFCONTROL,10,65,G,,,
10/8/2019,BFCONTROL,1,71,G,Ice,Maw,This is control
10/8/2019,BFCONTROL,2,71,G,Ice,Maw,
10/8/2019,BFCONTROL,3,66,G,Ice,Maw,
10/8/2019,BFCONTROL,4,67,G,Ice,Maw,
10/8/2019,BFCONTROL,5,53,G,Ice,Maw,
10/8/2019,BFCONTROL,6,60,G,Ice,Maw,
10/8/2019,BFCONTROL,7,64,G,Ice,Maw,
10/8/2019,BFCONTROL,8,69,G,Ice,Maw,
10/8/2019,BFCONTROL,9,71,G,Ice,Maw,
10/8/2019,BFCONTROL,10,67,G,Ice,Maw,
10/2/2020,BFCONTROL,1,59,G,Ice,Maw,
10/2/2020,BFCONTROL,2,52,G,Ice,Maw,
10/2/2020,BFCONTROL,3,56,G,Ice,Maw,
10/2/2020,BFCONTROL,4,49,G,Ice,Maw,
10/2/2020,BFCONTROL,5,30,G,Ice,Maw,
10/2/2020,BFCONTROL,6,56,G,Ice,Maw,
10/2/2020,BFCONTROL,7,55,G,Ice,Maw,
10/2/2020,BFCONTROL,8,67,G,Ice,Maw,
10/2/2020,BFCONTROL,9,62,G,Ice,Maw,
10/2/2020,BFCONTROL,10,70,G,Ice,Maw,
9/21/2021,BFCONTROL,1,60,G,Ice,"MAW, OPH",
9/21/2021,BFCONTROL,2,58,G,Ice,"MAW, OPH",
9/21/2021,BFCONTROL,3,62,G,Ice,"MAW, OPH",
9/21/2021,BFCONTROL,4,61,G,Ice,"MAW, OPH",
9/21/2021,BFCONTROL,5,54,G,Ice,"MAW, OPH",
9/21/2021,BFCONTROL,6,52,G,Ice,"MAW, OPH",
9/21/2021,BFCONTROL,7,62,G,Ice,"MAW, OPH",
9/21/2021,BFCONTROL,8,64,G,Ice,"MAW, OPH",
9/21/2021,BFCONTROL,9,68,G,Ice,"MAW, OPH",
9/21/2021,BFCONTROL,10,63,G,Ice,"MAW, OPH",
9/27/2022,BFCONTROL,1,49,G,Ice,Jh,
9/27/2022,BFCONTROL,2,58,G,Ice,Jh,
9/27/2022,BFCONTROL,3,52,G,Ice,Jh,
9/27/2022,BFCONTROL,4,52,G,Ice,Jh,
9/27/2022,BFCONTROL,5,58,G,Ice,Jh,
9/27/2022,BFCONTROL,6,44,G,Ice,Jh,
9/27/2022,BFCONTROL,7,57,G,Ice,Jh,
9/27/2022,BFCONTROL,8,56,G,Ice,Jh,
9/27/2022,BFCONTROL,9,58,G,Ice,Jh,
9/27/2022,BFCONTROL,10,62,G,Ice,Jh,
10/3/2023,BFCONTROL,1,57,G,Ice,KO,
10/3/2023,BFCONTROL,2,51,G,Ice,KO,
10/3/2023,BFCONTROL,3,50,G,Ice,KO,
10/3/2023,BFCONTROL,4,40,G,Ice,KO,
10/3/2023,BFCONTROL,5,43,G,Ice,KO,
10/3/2023,BFCONTROL,6,52,G,Ice,KO,
10/3/2023,BFCONTROL,7,53,G,Ice,KO,
10/3/2023,BFCONTROL,8,43,G,Ice,KO,
10/3/2023,BFCONTROL,9,55,G,Ice,KO,
10/3/2023,BFCONTROL,10,67,G,Ice,KO,
9/10/2004,BFFIRELINEBURNED,1,55,G,,,
9/10/2004,BFFIRELINEBURNED,2,67,G,,,
9/10/2004,BFFIRELINEBURNED,3,70,G,,,
9/10/2004,BFFIRELINEBURNED,4,70,G,,,
9/10/2004,BFFIRELINEBURNED,5,59,G,,,
9/10/2004,BFFIRELINEBURNED,6,60,G,,,
9/10/2004,BFFIRELINEBURNED,7,60,G,,,
9/10/2004,BFFIRELINEBURNED,8,55,G,,,
9/10/2004,BFFIRELINEBURNED,9,50,G,,,
9/10/2004,BFFIRELINEBURNED,10,55,G,,,
9/10/2005,BFFIRELINEBURNED,1,150,G,,,
9/10/2005,BFFIRELINEBURNED,2,145,G,,,
9/10/2005,BFFIRELINEBURNED,3,150,G,,,
9/10/2005,BFFIRELINEBURNED,4,137,G,,,
9/10/2005,BFFIRELINEBURNED,5,114,G,,,
9/10/2005,BFFIRELINEBURNED,6,97,G,,,
9/10/2005,BFFIRELINEBURNED,7,85,G,,,
9/10/2005,BFFIRELINEBURNED,8,88,G,,,
9/10/2005,BFFIRELINEBURNED,9,90,G,,,
9/10/2005,BFFIRELINEBURNED,10,87,G,,,
9/12/2006,BFFIRELINEBURNED,1,170,G,,,
9/12/2006,BFFIRELINEBURNED,2,173,G,,,
9/12/2006,BFFIRELINEBURNED,3,175,G,,,
9/12/2006,BFFIRELINEBURNED,4,159,G,,,
9/12/2006,BFFIRELINEBURNED,5,138,G,,,
9/12/2006,BFFIRELINEBURNED,6,113,G,,,
9/12/2006,BFFIRELINEBURNED,7,94,G,,,
9/12/2006,BFFIRELINEBURNED,8,95,G,,,
9/12/2006,BFFIRELINEBURNED,9,94,G,,,
9/12/2006,BFFIRELINEBURNED,10,102,G,,,
9/13/2007,BFFIRELINEBURNED,1,198,G,,,
9/13/2007,BFFIRELINEBURNED,2,202,G,,,
9/13/2007,BFFIRELINEBURNED,3,194,G,,,
9/13/2007,BFFIRELINEBURNED,4,174,G,,,
9/13/2007,BFFIRELINEBURNED,5,146,G,,,
9/13/2007,BFFIRELINEBURNED,6,110,G,,,
9/13/2007,BFFIRELINEBURNED,7,103,G,,,
9/13/2007,BFFIRELINEBURNED,8,109,G,,,
9/13/2007,BFFIRELINEBURNED,9,106,G,,,
9/13/2007,BFFIRELINEBURNED,10,111,G,,,
9/23/2008,BFFIRELINEBURNED,1,220,G,,,
9/23/2008,BFFIRELINEBURNED,2,212,G,,,
9/23/2008,BFFIRELINEBURNED,3,202,G,,,
9/23/2008,BFFIRELINEBURNED,4,185,G,,,
9/23/2008,BFFIRELINEBURNED,5,160,G,,,
9/23/2008,BFFIRELINEBURNED,6,128,G,,,
9/23/2008,BFFIRELINEBURNED,7,93,G,,,
9/23/2008,BFFIRELINEBURNED,8,93,G,,,
9/23/2008,BFFIRELINEBURNED,9,85,G,,,
9/23/2008,BFFIRELINEBURNED,10,93,G,,,
9/21/2009,BFFIRELINEBURNED,1,210,G,,,
9/21/2009,BFFIRELINEBURNED,2,210,G,,,
9/21/2009,BFFIRELINEBURNED,3,187,G,,,
9/21/2009,BFFIRELINEBURNED,4,184,G,,,
9/21/2009,BFFIRELINEBURNED,5,156,G,,,
9/21/2009,BFFIRELINEBURNED,6,80,G,,,
9/21/2009,BFFIRELINEBURNED,7,83,G,,,
9/21/2009,BFFIRELINEBURNED,8,82,G,,,
9/21/2009,BFFIRELINEBURNED,9,66,G,,,
9/21/2009,BFFIRELINEBURNED,10,72,G,,,
9/29/2010,BFFIRELINEBURNED,1,218,G,,,
9/29/2010,BFFIRELINEBURNED,2,218,G,,,
9/29/2010,BFFIRELINEBURNED,3,203,G,,,
9/29/2010,BFFIRELINEBURNED,4,181,G,,,
9/29/2010,BFFIRELINEBURNED,5,174,G,,,
9/29/2010,BFFIRELINEBURNED,6,106,G,,,
9/29/2010,BFFIRELINEBURNED,7,85,G,,,
9/29/2010,BFFIRELINEBURNED,8,77,G,,,
9/29/2010,BFFIRELINEBURNED,9,69,G,,,
9/29/2010,BFFIRELINEBURNED,10,82,G,,,
9/27/2011,BFFIRELINEBURNED,1,220,G,,,
9/27/2011,BFFIRELINEBURNED,2,222,G,,,
9/27/2011,BFFIRELINEBURNED,3,215,G,,,
9/27/2011,BFFIRELINEBURNED,4,192,G,,,
9/27/2011,BFFIRELINEBURNED,5,167,G,,,
9/27/2011,BFFIRELINEBURNED,6,128,G,,,
9/27/2011,BFFIRELINEBURNED,7,105,G,,,
9/27/2011,BFFIRELINEBURNED,8,85,G,,,
9/27/2011,BFFIRELINEBURNED,9,87,G,,,
9/27/2011,BFFIRELINEBURNED,10,100,G,,,
9/25/2012,BFFIRELINEBURNED,1,235,G,,,
9/25/2012,BFFIRELINEBURNED,2,227,G,,,
9/25/2012,BFFIRELINEBURNED,3,212,G,,,
9/25/2012,BFFIRELINEBURNED,4,195,G,,,
9/25/2012,BFFIRELINEBURNED,5,166,G,,,
9/25/2012,BFFIRELINEBURNED,6,124,G,,,
9/25/2012,BFFIRELINEBURNED,7,82,G,,,
9/25/2012,BFFIRELINEBURNED,8,77,G,,,
9/25/2012,BFFIRELINEBURNED,9,74,G,,,
9/25/2012,BFFIRELINEBURNED,10,104,G,,,
10/2/2013,BFFIRELINEBURNED,1,231,G,,,
10/2/2013,BFFIRELINEBURNED,2,217,G,,,
10/2/2013,BFFIRELINEBURNED,3,224,G,,,
10/2/2013,BFFIRELINEBURNED,4,200,G,,,
10/2/2013,BFFIRELINEBURNED,5,171,G,,,
10/2/2013,BFFIRELINEBURNED,6,160,G,,,
10/2/2013,BFFIRELINEBURNED,7,73,G,,,
10/2/2013,BFFIRELINEBURNED,8,61,G,,,
10/2/2013,BFFIRELINEBURNED,9,64,G,,,
10/2/2013,BFFIRELINEBURNED,10,66,G,,,
9/24/2014,BFFIRELINEBURNED,1,252,G,,,
9/24/2014,BFFIRELINEBURNED,2,248,G,,,
9/24/2014,BFFIRELINEBURNED,3,252,G,,,
9/24/2014,BFFIRELINEBURNED,4,216,G,,,
9/24/2014,BFFIRELINEBURNED,5,188,G,,,
9/24/2014,BFFIRELINEBURNED,6,175,G,,,
9/24/2014,BFFIRELINEBURNED,7,118,G,,,
9/24/2014,BFFIRELINEBURNED,8,100,G,,,
9/24/2014,BFFIRELINEBURNED,9,96,G,,,
9/24/2014,BFFIRELINEBURNED,10,108,G,,,
9/18/2015,BFFIRELINEBURNED,1,246,G,,,
9/18/2015,BFFIRELINEBURNED,2,226,G,,,
9/18/2015,BFFIRELINEBURNED,3,231,G,,,
9/18/2015,BFFIRELINEBURNED,4,204,G,,,
9/18/2015,BFFIRELINEBURNED,5,177,G,,,
9/18/2015,BFFIRELINEBURNED,6,166,G,,,
9/18/2015,BFFIRELINEBURNED,7,117,G,,,
9/18/2015,BFFIRELINEBURNED,8,100,G,,,
9/18/2015,BFFIRELINEBURNED,9,121,G,,,
9/18/2015,BFFIRELINEBURNED,10,99,G,,,
9/28/2016,BFFIRELINEBURNED,1,262,G,,,
9/28/2016,BFFIRELINEBURNED,2,273,G,,,
9/28/2016,BFFIRELINEBURNED,3,260,G,,,
9/28/2016,BFFIRELINEBURNED,4,249,G,,,
9/28/2016,BFFIRELINEBURNED,5,205,G,,,
9/28/2016,BFFIRELINEBURNED,6,185,G,,,
9/28/2016,BFFIRELINEBURNED,7,135,G,,,
9/28/2016,BFFIRELINEBURNED,8,125,G,,,
9/28/2016,BFFIRELINEBURNED,9,129,G,,,
9/28/2016,BFFIRELINEBURNED,10,122,G,,,
9/29/2017,BFFIRELINEBURNED,1,257,G,,,
9/29/2017,BFFIRELINEBURNED,2,257,G,,,
9/29/2017,BFFIRELINEBURNED,3,255,G,,,
9/29/2017,BFFIRELINEBURNED,4,235,G,,,
9/29/2017,BFFIRELINEBURNED,5,207,G,,,
9/29/2017,BFFIRELINEBURNED,6,184,G,,,
9/29/2017,BFFIRELINEBURNED,7,140,G,,,
9/29/2017,BFFIRELINEBURNED,8,120,G,,,
9/29/2017,BFFIRELINEBURNED,9,118,G,,,
9/29/2017,BFFIRELINEBURNED,10,78,G,,,
10/9/2018,BFFIRELINEBURNED,1,268,G,,,
10/9/2018,BFFIRELINEBURNED,2,270,G,,,
