date,site,stake,depth,flag,hit_type,crew,notes
9/28/2022,SL1A,15,293,G,Ice,"Ern,maw,oph,jsc",
9/28/2022,SL1A,16,-9999,,None,"Ern,maw,oph,jsc",
9/28/2022,SL1A,17,303,G,Rock,"Ern,maw,oph,jsc",
9/28/2022,SL1A,18,313,G,Ice,"Ern,maw,oph,jsc",
9/28/2022,SL1A,19,-9999,,None,"Ern,maw,oph,jsc",
9/28/2022,SL1A,20,-9999,,None,"Ern,maw,oph,jsc",
9/28/2022,SL1A,7,-9999,,None,"Ern,maw,oph,jsc",
9/28/2022,SL1A,9,-9999,,None,"Ern,maw,oph,jsc",
8/30/2002,SL1B,1,53,G,,,
8/30/2002,SL1B,2,57,G,,,
8/30/2002,SL1B,3,62,G,,,
8/30/2002,SL1B,4,65,G,,,
8/30/2002,SL1B,5,60,G,,,
8/30/2002,SL1B,6,55,G,,,
8/30/2002,SL1B,7,45,G,,,
8/30/2002,SL1B,8,50,G,,,
8/30/2002,SL1B,9,65,G,,,
8/30/2002,SL1B,10,60,G,,,
8/30/2002,SL1B,11,50,G,,,
8/30/2002,SL1B,12,80,G,,,
8/30/2002,SL1B,13,68,G,,,
8/30/2002,SL1B,14,62,G,,,
8/30/2002,SL1B,15,38,G,,,
8/30/2002,SL1B,16,53,G,,,
8/30/2002,SL1B,17,58,G,,,
8/30/2002,SL1B,18,57,G,,,
8/30/2002,SL1B,19,49,G,,,
8/30/2002,SL1B,20,105,G,,,
8/26/2003,SL1B,1,64,G,,,
8/26/2003,SL1B,2,62,G,,,
8/26/2003,SL1B,3,63,G,,,
8/26/2003,SL1B,4,76,G,,,
8/26/2003,SL1B,5,65,G,,,
8/26/2003,SL1B,6,57,G,,,
8/26/2003,SL1B,7,78,G,,,
8/26/2003,SL1B,8,50,G,,,
8/26/2003,SL1B,9,66,G,,,
8/26/2003,SL1B,10,70,G,,,
8/26/2003,SL1B,11,121,G,,,
8/26/2003,SL1B,12,60,G,,,
8/26/2003,SL1B,13,105,G,,,
8/26/2003,SL1B,14,59,G,,,
8/26/2003,SL1B,15,59,G,,,
8/26/2003,SL1B,16,70,G,,,
8/26/2003,SL1B,17,49,G,,,
8/26/2003,SL1B,18,74,G,,,
8/26/2003,SL1B,19,74,G,,,
8/26/2003,SL1B,20,51,G,,,
9/15/2004,SL1B,1,94,G,,,
9/15/2004,SL1B,2,60,G,,,
9/15/2004,SL1B,3,60,G,,,
9/15/2004,SL1B,4,75,G,,,
9/15/2004,SL1B,5,72,G,,,
9/15/2004,SL1B,6,65,G,,,
