pf_observed,lat,lon,source,date,pf_depth,thaw_depth,obs_limit,site_id,method
1,63.14304097,-117.250139,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.14853002,-117.262681,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.14351102,-117.25156,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.14387999,-117.252931,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.14474903,-117.253056,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16543599,-117.134618,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16503701,-117.135617,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16171098,-117.143576,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16178299,-117.144065,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16201198,-117.144111,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16195498,-117.14499,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.16197502,-117.145554,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.15103102,-117.260727,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.16235396,-117.27025,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.16695596,-117.21839,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.159442,-117.171553,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.14509998,-117.258792,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.13026904,-117.233155,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.129902,-117.25471,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.17058097,-117.280475,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.15152303,-117.222392,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.17331699,-117.14464,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.15087503,-117.26376,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.15141499,-117.272999,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.14329301,-117.277056,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.15133503,-117.265843,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.13103297,-117.255109,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.14370104,-117.277281,Bonaventure_Whati,2019-08-15,,,,,unknown
