SampleDate,SiteID,ElectrodeNumber,distance,Long_deg,Lat_deg,Height,Satellites,PDOP,Status,HRMS,VRMS,X_UTMz6,Y_UTMz6,LinDist_m,ActiveLayerThickness,SurfOrg,DepthtoRejection,Comment
8/29/16,301LTER,13,18,-148.296959,64.71266,133.4,-9999,-9999,-9999,-9999,-9999,438186.9026,7177064.342,17.87166978,-9999,-9999,-9999,NA
8/29/16,301LTER,14,19.5,-148.296948,64.712648,133.38,-9999,-9999,-9999,-9999,-9999,438187.3987,7177062.934,19.36451244,98,-9999,-9999,NA
8/29/16,301LTER,15,21,-148.296936,64.712635,133.37,-9999,-9999,-9999,-9999,-9999,438187.961,7177061.546,20.86208557,-9999,-9999,-9999,NA
8/29/16,301LTER,16,22.5,-148.296923,64.712623,133.35,-9999,-9999,-9999,-9999,-9999,438188.5563,7177060.168,22.36317388,-9999,-9999,-9999,NA
8/29/16,301LTER,17,24,-148.29691,64.712611,133.33,-9999,-9999,-9999,-9999,-9999,438189.1517,7177058.79,23.86430184,-9999,-9999,-9999,NA
8/29/16,301LTER,18,25.5,-148.296896,64.712598,133.32,-9999,-9999,-9999,-9999,-9999,438189.7471,7177057.412,25.3654298,-9999,-9999,-9999,NA
8/29/16,301LTER,19,27,-148.296883,64.712586,133.3,-9999,-9999,-9999,-9999,-9999,438190.3425,7177056.034,26.86655776,-9999,-9999,-9999,NA
8/29/16,301LTER,20,28.5,-148.29687,64.712574,133.29,-9999,-9999,-9999,-9999,-9999,438190.9379,7177054.655,28.36860375,-9999,-9999,-9999,NA
8/29/16,301LTER,21,30,-148.296857,64.712562,133.27,19,1.3,DGPS,0.562,0.473,438191.5332,7177053.277,29.86969206,110,-9999,-9999,NA
8/29/16,301LTER,22,31.5,-148.296844,64.712549,133.26,-9999,-9999,-9999,-9999,-9999,438192.1167,7177051.91,31.3560168,-9999,-9999,-9999,NA
8/29/16,301LTER,23,33,-148.296832,64.712537,133.24,-9999,-9999,-9999,-9999,-9999,438192.7001,7177050.542,32.84322209,-9999,-9999,-9999,NA
8/29/16,301LTER,24,34.5,-148.296819,64.712525,133.23,-9999,-9999,-9999,-9999,-9999,438193.2835,7177049.174,34.33042737,-9999,-9999,-9999,NA
8/29/16,301LTER,25,36,-148.296806,64.712513,133.21,-9999,-9999,-9999,-9999,-9999,438193.867,7177047.807,35.81675212,-9999,-9999,-9999,NA
8/29/16,301LTER,26,37.5,-148.296793,64.712501,133.2,-9999,-9999,-9999,-9999,-9999,438194.4504,7177046.439,37.3039574,-9999,-9999,-9999,NA
8/29/16,301LTER,27,39,-148.29678,64.712489,133.18,-9999,-9999,-9999,-9999,-9999,438195.0339,7177045.071,38.79120192,-9999,-9999,-9999,NA
8/29/16,301LTER,28,40.5,-148.296768,64.712476,133.17,-9999,-9999,-9999,-9999,-9999,438195.6158,7177043.702,40.27873969,123,-9999,-9999,NA
8/29/16,301LTER,29,42,-148.296755,64.712464,133.16,-9999,-9999,-9999,-9999,-9999,438196.1949,7177042.328,41.76979059,-9999,-9999,-9999,NA
8/29/16,301LTER,30,43.5,-148.296742,64.712452,133.15,-9999,-9999,-9999,-9999,-9999,438196.7739,7177040.954,43.26080267,-9999,-9999,-9999,NA
8/29/16,301LTER,31,45,-148.296729,64.71244,133.15,-9999,-9999,-9999,-9999,-9999,438197.3529,7177039.58,44.75181474,-9999,-9999,-9999,NA
8/29/16,301LTER,32,46.5,-148.296717,64.712428,133.14,-9999,-9999,-9999,-9999,-9999,438197.9319,7177038.207,46.24190534,-9999,-9999,-9999,NA
8/29/16,301LTER,33,48,-148.296704,64.712415,133.13,-9999,-9999,-9999,-9999,-9999,438198.511,7177036.833,47.73295625,-9999,-9999,-9999,NA
8/29/16,301LTER,34,49.5,-148.296691,64.712403,133.12,-9999,-9999,-9999,-9999,-9999,438199.09,7177035.459,49.22396832,123,-9999,-9999,NA
8/29/16,301LTER,35,51,-148.296678,64.712391,133.09,-9999,-9999,-9999,-9999,-9999,438199.7,7177034.108,50.70629791,-9999,-9999,-9999,NA
8/29/16,301LTER,36,52.5,-148.296664,64.712379,133.04,-9999,-9999,-9999,-9999,-9999,438200.3255,7177032.768,52.18509818,-9999,-9999,-9999,NA
8/29/16,301LTER,37,54,-148.29665,64.712367,132.99,-9999,-9999,-9999,-9999,-9999,438200.951,7177031.428,53.66389845,-9999,-9999,-9999,NA
