site_id,date,lat,lon,thaw_depth,method,source,quality_flag_date_assigned,gpr_native_count,gpr_aggregation_spacing_m,quality_flag_summary_statistic,pf_observed,pf_depth,obs_limit
BS,2013-08-12,71.25449477777778,-156.55159216666667,41.95741666666667,gp,Jafarov_2016,True,18,5.0,True,1,41.95741666666667,
BS,2013-08-12,71.25447481818182,-156.55148672727273,41.984663636363635,gp,Jafarov_2016,True,11,5.0,True,1,41.984663636363635,
BS,2013-08-12,71.25446475,-156.55142225,40.3866,gp,Jafarov_2016,True,8,5.0,True,1,40.3866,
BS,2013-08-12,71.25444742361111,-156.55133508333336,40.9620625,gp,Jafarov_2016,True,144,5.0,True,1,40.9620625,
BS,2013-08-12,71.25440011111111,-156.55129,41.657494444444445,gp,Jafarov_2016,True,18,5.0,True,1,41.657494444444445,
BS,2013-08-12,71.25435378947368,-156.55128273684213,40.54466315789474,gp,Jafarov_2016,True,19,5.0,True,1,40.54466315789474,
BS,2013-08-12,71.25432471428572,-156.55127371428574,39.98654285714286,gp,Jafarov_2016,True,7,5.0,True,1,39.98654285714286,
BS,2013-08-12,71.25430308333334,-156.55126408333334,40.555325,gp,Jafarov_2016,True,12,5.0,True,1,40.555325,
BS,2013-08-12,71.25426268181819,-156.5512465909091,39.874404545454546,gp,Jafarov_2016,True,22,5.0,True,1,39.874404545454546,
BS,2013-08-12,71.25422036842106,-156.55122110526315,41.780615789473686,gp,Jafarov_2016,True,19,5.0,True,1,41.780615789473686,
BS,2013-08-12,71.25417350000001,-156.55121027777778,41.14765,gp,Jafarov_2016,True,18,5.0,True,1,41.14765,
BS,2013-08-12,71.25413145,-156.5512099,42.37728,gp,Jafarov_2016,True,20,5.0,True,1,42.37728,
BS,2013-08-12,71.25408076470589,-156.5512095,41.11499705882353,gp,Jafarov_2016,True,34,5.0,True,1,41.11499705882353,
BS,2013-08-12,71.25404023529413,-156.55120764705885,41.4563705882353,gp,Jafarov_2016,True,17,5.0,True,1,41.4563705882353,
BS,2013-08-12,71.25399544444446,-156.55122077777776,42.55722222222222,gp,Jafarov_2016,True,18,5.0,True,1,42.55722222222222,
BS,2013-08-12,71.25394931578948,-156.5512265263158,42.2352052631579,gp,Jafarov_2016,True,19,5.0,True,1,42.2352052631579,
BS,2013-08-12,71.25390676470589,-156.55123335294115,42.50429411764706,gp,Jafarov_2016,True,17,5.0,True,1,42.50429411764706,
BS,2013-08-12,71.25386078947368,-156.55124757894737,41.38283684210526,gp,Jafarov_2016,True,19,5.0,True,1,41.38283684210526,
BS,2013-08-12,71.25381635294117,-156.55126935294118,40.503723529411765,gp,Jafarov_2016,True,17,5.0,True,1,40.503723529411765,
BS,2013-08-12,71.25377188235294,-156.55129094117646,40.05915294117647,gp,Jafarov_2016,True,17,5.0,True,1,40.05915294117647,
BS,2013-08-12,71.25372621052631,-156.5513017368421,39.74912105263158,gp,Jafarov_2016,True,19,5.0,True,1,39.74912105263158,
BS,2013-08-12,71.25368076470588,-156.5513331764706,35.645170588235295,gp,Jafarov_2016,True,17,5.0,True,1,35.645170588235295,
BS,2013-08-12,71.2536493,-156.55135,36.60103,gp,Jafarov_2016,True,10,5.0,True,1,36.60103,
BS,2013-08-12,71.2536292,-156.5513613,40.19093,gp,Jafarov_2016,True,10,5.0,True,1,40.19093,
BS,2013-08-12,71.25359254166666,-156.55139233333333,39.27322083333333,gp,Jafarov_2016,True,24,5.0,True,1,39.27322083333333,
BS,2013-08-12,71.2535575,-156.55146092857143,41.14335714285715,gp,Jafarov_2016,True,14,5.0,True,1,41.14335714285715,
BS,2013-08-12,71.253531,-156.551514,41.5675,gp,Jafarov_2016,True,3,5.0,True,1,41.5675,
BS,2013-08-12,71.25350625,-156.551536125,42.20858125,gp,Jafarov_2016,True,16,5.0,True,1,42.20858125,
BS,2013-08-12,71.25345907692308,-156.55156323076923,41.858207692307694,gp,Jafarov_2016,True,13,5.0,True,1,41.858207692307694,
