File name: prb_gpr_alt_hd.csv,,,,,,,,,,,,,,
Missing value code: Missing data are represented as -999,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
site_ID,lat_prb,lon_prb,alt_prb,unc_alt_prb,lat_gpr,lon_gpr,owtt,velocity,unc_vel,cv_vel,alt_gpr,unc_alt_gpr,vwc,unc_vwc
,,,m,m,,,ns,m/ns,m/ns,m/ns,m,m,,
CP_HD_1,71.273661,-156.638927,0.33,0.03,71.273812,-156.63795,8.318327,0.039671,0.0068,0.202004,0.335093,0.06769,0.66799,0.134937
CP_HD_1,71.273664,-156.638908,0.29,0.03,71.273812,-156.63795,8.840734,0.032803,0.005622,0.202004,0.356137,0.071941,-999,-999
CP_HD_1,71.273666,-156.638889,0.36,0.03,71.273812,-156.63795,9.041659,0.039816,0.006824,0.202004,0.364231,0.073576,0.665108,0.134354
CP_HD_1,71.27367,-156.63887,0.29,0.03,71.273812,-156.63795,9.061753,0.032003,0.005485,0.202004,0.36504,0.07374,-999,-999
CP_HD_1,71.273678,-156.638851,0.33,0.03,71.273812,-156.63795,7.79592,0.04233,0.007255,0.202004,0.314048,0.063439,0.620831,0.12541
CP_HD_1,71.273686,-156.638832,0.3,0.03,71.273812,-156.63795,7.675364,0.039086,0.006699,0.202004,0.309192,0.062458,0.680199,0.137403
CP_HD_1,71.27369,-156.638813,0.29,0.03,71.273812,-156.63795,7.554809,0.038386,0.006579,0.202004,0.304335,0.061477,0.696045,0.140604
CP_HD_1,71.273696,-156.638794,0.25,0.03,71.273812,-156.63795,7.661969,-999,-999,0.202004,0.308652,-999,-999,-999
CP_HD_1,71.273703,-156.638776,0.25,0.03,71.273812,-156.63795,7.76913,0.032179,0.005515,0.202004,0.312969,0.063221,-999,-999
CP_HD_1,71.273709,-156.638757,0.31,0.03,71.273812,-156.63795,7.916475,0.039159,0.006712,0.202004,0.318904,0.06442,0.678634,0.137087
CP_HD_1,71.273712,-156.638738,0.33,0.03,71.273812,-156.63795,7.514623,0.043914,0.007527,0.202004,0.302716,0.06115,0.59689,0.120574
CP_HD_1,71.273718,-156.638719,0.32,0.03,71.273812,-156.63795,7.032402,0.045504,0.007799,0.202004,0.283291,0.057226,0.574745,0.116101
CP_HD_1,71.273725,-156.6387,0.49,0.03,71.273812,-156.63795,6.831476,0.071727,0.012294,0.202004,0.275197,0.055591,0.315006,0.063633
CP_HD_1,71.27373,-156.638681,0.42,0.03,71.273812,-156.63795,7.95666,0.052786,0.009048,0.202004,0.320523,0.064747,0.486236,0.098222
CP_HD_1,71.273733,-156.638662,0.41,0.03,71.273812,-156.63795,8.800548,0.046588,0.007985,0.202004,0.354518,0.071614,0.560412,0.113206
CP_HD_1,71.273735,-156.638643,0.46,0.03,71.273812,-156.63795,9.363141,0.049129,0.008421,0.202004,0.377181,0.076192,0.528635,0.106786
CP_HD_1,71.273736,-156.638624,0.37,0.03,71.273812,-156.63795,9.684622,-999,-999,0.202004,0.390132,-999,-999,-999
CP_HD_1,71.273738,-156.638606,0.33,0.03,71.273812,-156.63795,10.608881,0.031106,0.005332,0.202004,0.427364,0.086329,-999,-999
CP_HD_1,71.273742,-156.638587,0.36,0.03,71.273812,-156.63795,10.608881,0.033934,0.005816,0.202004,0.427364,0.086329,0.85705,0.173128
CP_HD_1,71.273747,-156.638568,0.33,0.03,71.273812,-156.63795,9.925733,0.033247,0.005699,0.202004,0.399845,0.08077,0.898678,0.181537
CP_HD_1,71.273748,-156.638549,0.33,0.03,71.273812,-156.63795,9.12203,0.036176,0.006201,0.202004,0.367469,0.07423,0.7589,0.153301
