SiteIDYear,SiteID,Year,Date,Project,ObservEnv,ObservSoil,ObservVeg,LocEcoregion,LocLandmark,LatWGS84,LonWGS84,ElevEllip_m,PlotType,PlotSize,PhysiogName,TopoMacroName,TopoMicroName,Terrain Title,TkarstName,DrainageName,NWI_name,SoilMoistureName,WaterDep_cm,DomText_Name,SiteChem_name,SitepH,SiteEC_uScm,SoilOrgSurfThk_cm,SoilOrgCum40_cm,SoilOrgPostTK_cm,SoilThawDep_cm,SoilCryoturb,SoilPFrost,SoilRockDep_cm,SoilIceWdgDep_cm,SoilObsDep_cm,SoilStrat,SoilSamples,VegetationTitle,EcoStructName,VegMethod,Disturbance_Name
JG-G06-2011,JG-G06,2011,8/3/2011 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson,JCJ-Boldenow,Beaufort Coastal Plain,Jago,65.34264,-146.91065,151,Soil-Veg,5m rad,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,50,Organic-rich,Circumneutral,6.8,139,999,999,999,58,u,p,999,999,58,n,n,Fresh Sedge Marsh,Sedge Marsh,O,Thermokarst
JG-G07-2011,JG-G07,2011,8/3/2011 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson,JCJ-Boldenow,Beaufort Coastal Plain,Jago,65.34842,-146.91329,144,Soil-Veg,5m rad,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,45,Organic-rich,Circumneutral,6.9,163,999,999,999,58,u,p,999,999,58,n,n,Fresh Sedge Marsh,Sedge Marsh,O,Thermokarst
JG-G08-2011,JG-G08,2011,8/3/2011 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson,JCJ-Boldenow,Beaufort Coastal Plain,Jago,65.35118,-146.91369,148,Soil-Veg,5m rad,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,34,Organic-rich,Circumneutral,7.3,145,999,999,999,34,u,p,999,999,34,n,n,Aquatic Bryophyte,Aquatic Moss,O,Thermokarst
JG-G11-2011,JG-G11,2011,8/3/2011 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson,JCJ-Boldenow,Beaufort Coastal Plain,Jago,71.29509,-156.71465,143,Soil-Veg,5m rad,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,70,Organic-rich,Circumneutral,6.9,86,999,999,999,89,p,p,999,999,89,n,n,Fresh Sedge Marsh,Sedge Marsh,O,Thermokarst
JG-G14-2011,JG-G14,2011,8/3/2011 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson,JCJ-Boldenow,Beaufort Coastal Plain,Jago,71.29508,-156.71464,144,Soil-Veg,5m rad,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,35,Organic-rich,Circumneutral,6.8,106,999,999,999,41,u,p,999,999,41,n,n,Aquatic Bryophyte,Aquatic Moss,O,Thermokarst
JG-WTA1-2018,JG-WTA1,2018,1/29/2018 23:07,NSF Polygon Ecosystems,Jorgenson,Kanevskiy,Jorgenson,Beaufort Coastal Plain,Jago,70.23960,-150.98087,150,Perm-Veg,1 m rad,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,17,Organic-rich,Circumneutral,7,999,34,34,18,59,p,p,999,67,93,y,n,Wet Sedge Meadow Tundra,Sedge Marsh,O,Thermokarst
JG-WTA2-2018,JG-WTA2,2018,8/2/2018 0:00,NSF Polygon Ecosystems,Jorgenson,Kanevskiy,na,Beaufort Coastal Plain,Jago,65.56756,-148.92485,153,Perm-Veg,1 m rad,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,15,Organic-rich,Circumneutral,999,999,35,35,18,48,p,p,999,60,91,y,n,Wet Sedge Meadow Tundra,Sedge Marsh,N,Thermokarst
JG-DA1-2011,JG-DA1,2011,7/29/2011 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson/Kanevskiy,JCJ-Boldenow,Beaufort Coastal Plain,Jago,70.16356,-148.45906,147,Monit-Perm-Veg-Dlog,5x2m,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,34,Organic-rich,Alkaline,7.5,196,36,36,0,52,p,p,999,999,52,y,y,Aquatic Bryophyte,Aquatic Moss,P,Thermokarst
JG-DA1-2016,JG-DA1,2016,7/31/2016 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson/Kanevskiy,JCJ-Orndahl,Beaufort Coastal Plain,Jago,70.47067,-157.40775,147,Monit-Perm-Veg-Dlog,5x2m,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,33,Organic-rich,Alkaline,999,999,999,999,999,45,u,p,999,999,999,n,n,Aquatic Bryophyte,Aquatic Moss,P,Thermokarst
JG-DA2-2011,JG-DA2,2011,7/29/2011 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson/Kanevskiy,JCJ-Boldenow,Beaufort Coastal Plain,Jago,70.46819,-157.40889,144,Monit-Perm-Veg-Dlog,5x2m,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,44,Organic-rich,Alkaline,7.8,185,36,36,0,46,p,p,999,999,46,y,y,Aquatic Bryophyte,Aquatic Moss,P,Thermokarst
JG-DA2-2016,JG-DA2,2016,7/31/2016 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson/Kanevskiy,JCJ-Orndahl,Beaufort Coastal Plain,Jago,70.46542,-157.45056,144,Monit-Perm-Veg-Dlog,5x2m,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,47,Organic-rich,Alkaline,999,999,999,999,999,53,u,p,999,999,999,n,n,Aquatic Bryophyte,Aquatic Moss,P,Thermokarst
JG-SI2-2018,JG-SI2,2018,7/30/2018 0:00,NSF Polygon Ecosystems,Jorgenson,Kanevskiy,na,Beaufort Coastal Plain,Jago,70.13390,-143.65574,145,Perm,1 m rad,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Semipermanently flooded,Aquatic,23,Organic-rich,Circumneutral,999,999,28,30,20,28,p,p,999,53,56,y,n,Wet Sedge Meadow Tundra,Sedge Marsh,N,Thermokarst
