site_id,source,date,lat,lon,pf_observed,pf_depth,thaw_depth,obs_limit,method,permos_alt_id,permos_borehole_id,permos_borehole_name,permos_borehole_alternate_name,permos_site_abbr,permos_site_name,permos_region,permos_canton,permos_year,permos_alt_m,permos_bound_type,permos_bound_cm,permos_date_source,permos_guess,permos_upper_therm_m,permos_lower_therm_m,permos_alt_comment,permos_coordinate_source,permos_borehole_elevation_m,permos_site_elevation_min_m,permos_site_elevation_max_m,permos_borehole_depth_m,permos_borehole_inclination_deg,permos_borehole_slope_deg,permos_borehole_aspect_deg,permos_morphology,permos_surface_type,permos_pf_thickness,permos_borehole_class,permos_gtnp_id,permos_gtnp_dms_id,permos_calm_id,permos_borehole_comment,permos_site_comment
COR_0200,PERMOS_2024,2007-08-16,46.428534,9.82202,1,247.00000000000003,247.00000000000003,,temp,122,39,COR_0200,2/2000,COR,Murtèl-Corvatsch,Engadine,GR,2007,2.47,exact,,reported_max_alt_date,,2.0,2.5,,borehole,2672.3,2500,3300,63.2,0.0,10.0,315.0,rock glacier,coarse blocks,>62 m,IB,CH 14,870.0,,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",
COR_0200,PERMOS_2024,2008-09-06,46.428534,9.82202,1,248.0,248.0,,temp,123,39,COR_0200,2/2000,COR,Murtèl-Corvatsch,Engadine,GR,2008,2.48,exact,,reported_max_alt_date,,2.0,2.5,,borehole,2672.3,2500,3300,63.2,0.0,10.0,315.0,rock glacier,coarse blocks,>62 m,IB,CH 14,870.0,,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",
COR_0200,PERMOS_2024,2009-09-03,46.428534,9.82202,1,248.0,248.0,,temp,124,39,COR_0200,2/2000,COR,Murtèl-Corvatsch,Engadine,GR,2009,2.48,exact,,reported_max_alt_date,,2.0,2.5,,borehole,2672.3,2500,3300,63.2,0.0,10.0,315.0,rock glacier,coarse blocks,>62 m,IB,CH 14,870.0,,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",
COR_0200,PERMOS_2024,2010-08-24,46.428534,9.82202,1,243.00000000000003,243.00000000000003,,temp,125,39,COR_0200,2/2000,COR,Murtèl-Corvatsch,Engadine,GR,2010,2.43,exact,,reported_max_alt_date,,2.0,2.5,,borehole,2672.3,2500,3300,63.2,0.0,10.0,315.0,rock glacier,coarse blocks,>62 m,IB,CH 14,870.0,,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",
COR_0200,PERMOS_2024,2011-09-06,46.428534,9.82202,1,247.00000000000003,247.00000000000003,,temp,159,39,COR_0200,2/2000,COR,Murtèl-Corvatsch,Engadine,GR,2011,2.47,exact,,reported_max_alt_date,,2.0,2.5,,borehole,2672.3,2500,3300,63.2,0.0,10.0,315.0,rock glacier,coarse blocks,>62 m,IB,CH 14,870.0,,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",
COR_0200,PERMOS_2024,2012-08-24,46.428534,9.82202,1,244.0,244.0,,temp,199,39,COR_0200,2/2000,COR,Murtèl-Corvatsch,Engadine,GR,2012,2.44,exact,,reported_max_alt_date,,2.0,2.5,,borehole,2672.3,2500,3300,63.2,0.0,10.0,315.0,rock glacier,coarse blocks,>62 m,IB,CH 14,870.0,,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",
COR_0200,PERMOS_2024,2013-09-09,46.428534,9.82202,1,247.00000000000003,247.00000000000003,,temp,232,39,COR_0200,2/2000,COR,Murtèl-Corvatsch,Engadine,GR,2013,2.47,exact,,reported_max_alt_date,,2.0,2.5,,borehole,2672.3,2500,3300,63.2,0.0,10.0,315.0,rock glacier,coarse blocks,>62 m,IB,CH 14,870.0,,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",
COR_0200,PERMOS_2024,2014-10-13,46.428534,9.82202,1,245.00000000000003,245.00000000000003,,temp,267,39,COR_0200,2/2000,COR,Murtèl-Corvatsch,Engadine,GR,2014,2.45,exact,,reported_max_alt_date,,2.0,2.5,,borehole,2672.3,2500,3300,63.2,0.0,10.0,315.0,rock glacier,coarse blocks,>62 m,IB,CH 14,870.0,,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",
COR_0200,PERMOS_2024,2015-09-18,46.428534,9.82202,1,250.0,250.0,,temp,266,39,COR_0200,2/2000,COR,Murtèl-Corvatsch,Engadine,GR,2015,2.5,exact,,reported_max_alt_date,,2.0,2.5,,borehole,2672.3,2500,3300,63.2,0.0,10.0,315.0,rock glacier,coarse blocks,>62 m,IB,CH 14,870.0,,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",
COR_0200,PERMOS_2024,2016-09-06,46.428534,9.82202,1,246.0,246.0,,temp,503,39,COR_0200,2/2000,COR,Murtèl-Corvatsch,Engadine,GR,2016,2.46,exact,,reported_max_alt_date,,2.0,2.5,,borehole,2672.3,2500,3300,63.2,0.0,10.0,315.0,rock glacier,coarse blocks,>62 m,IB,CH 14,870.0,,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",
