FID,SiteID,DataType,Date,Lon_WGS84,Lat_WGS84,x_UTMz6N,y_UTMz6N,Altitude,ALT,OLT,Vegetation,Comments,xERT_plan,xERT_true
54,AK21LTER,ERT,20210912,-148.2964086,64.7121611,438212,7177008.21,137.62,-9999,-9999,Bl spruce unburned,-9999,81,81.86
55,AK21LTER,ERT,20210912,-148.2963952,64.71214856,438212.61,7177006.8,137.95,-9999,-9999,Bl spruce unburned,-9999,82.5,83.4
56,AK21LTER,ERT,20210912,-148.2963839,64.71214049,438213.13,7177005.89,138.15,72,14,-9999,-9999,84,84.44
57,AK21LTER,ERT,20210912,-148.2963697,64.71212581,438213.77,7177004.24,138.59,-9999,-9999,-9999,-9999,85.5,86.21
58,AK21LTER,ERT,20210912,-148.2963514,64.71211574,438214.62,7177003.1,138.21,-9999,-9999,-9999,-9999,87,87.64
59,AK21LTER,ERT,20210912,-148.2963376,64.71210437,438215.25,7177001.82,138.23,-9999,-9999,-9999,-9999,88.5,89.06
60,AK21LTER,ERT,20210912,-148.2963224,64.71209257,438215.95,7177000.49,138.1,76,12,Bl spruce unburned,-9999,90,90.56
61,AK21LTER,ERT,20210912,-148.296305,64.71207899,438216.75,7176998.96,137.91,-9999,-9999,-9999,-9999,91.5,92.29
62,AK21LTER,ERT,20210912,-148.2962902,64.71206808,438217.43,7176997.73,137.98,-9999,-9999,-9999,-9999,93,93.7
63,AK21LTER,ERT,20210912,-148.2962745,64.7120561,438218.15,7176996.38,137.9,-9999,-9999,-9999,-9999,94.5,95.23
64,AK21LTER,ERT,20210912,-148.2962592,64.71204268,438218.85,7176994.87,137.34,79,14,Bl spruce unburned,-9999,96,96.89
65,AK21LTER,ERT,20210912,-148.2962506,64.71203109,438219.23,7176993.57,137.41,-9999,-9999,-9999,-9999,97.5,98.25
66,AK21LTER,ERT,20210912,-148.2962364,64.71201928,438219.88,7176992.24,137.52,-9999,-9999,-9999,-9999,99,99.73
67,AK21LTER,ERT,20210912,-148.2962251,64.71200268,438220.38,7176990.38,137.66,-9999,-9999,-9999,-9999,100.5,101.65
68,AK21LTER,ERT,20210912,-148.2962102,64.71198881,438221.06,7176988.82,137.78,76,13,Bl spruce unburned,-9999,102,103.36
69,AK21LTER,ERT,20210912,-148.2961985,64.71197563,438221.59,7176987.34,137.72,-9999,-9999,-9999,-9999,103.5,104.93
70,AK21LTER,ERT,20210912,-148.2961925,64.71196438,438221.85,7176986.08,137.61,-9999,-9999,-9999,-9999,105,106.21
71,AK21LTER,ERT,20210912,-148.2961855,64.71195555,438222.16,7176985.09,137.85,-9999,-9999,-9999,-9999,106.5,107.25
72,AK21LTER,ERT,20210912,-148.2961626,64.71194095,438223.22,7176983.44,137.79,54,13,Bl spruce unburned,-9999,108,109.21
73,AK21LTER,ERT,20210912,-148.2961544,64.71192756,438223.58,7176981.94,137.64,-9999,-9999,-9999,-9999,109.5,110.76
74,AK21LTER,ERT,20210912,-148.296145,64.71191481,438224,7176980.51,137.53,-9999,-9999,-9999,-9999,111,112.25
75,AK21LTER,ERT,20210912,-148.2961427,64.71190208,438224.08,7176979.09,137.4,-9999,-9999,-9999,-9999,112.5,113.66
76,AK21LTER,ERT,20210912,-148.2961275,64.71188741,438224.77,7176977.44,137.78,57,16,Bl spruce unburned,-9999,114,115.46
77,AK21LTER,ERT,20210912,-148.2961164,64.71187835,438225.28,7176976.42,138.23,-9999,-9999,-9999,-9999,115.5,116.6
78,AK21LTER,ERT,20210912,-148.2961083,64.71186397,438225.63,7176974.81,138.54,-9999,-9999,-9999,-9999,117,118.24
79,AK21LTER,ERT,20210912,-148.2961036,64.71185252,438225.83,7176973.53,138.31,-9999,-9999,-9999,-9999,118.5,119.54
80,AK21LTER,ERT,20210912,-148.2960948,64.71183878,438226.22,7176971.99,138.14,52,17,Bl spruce unburned,-9999,120,121.13
81,AK21LTER,ERT,20210912,-148.2960836,64.71182488,438226.72,7176970.43,137.45,-9999,-9999,-9999,-9999,121.5,122.77
82,AK21LTER,ERT,20210912,-148.296079,64.71181262,438226.91,7176969.06,137.36,-9999,-9999,-9999,-9999,123,124.14
83,AK21LTER,ERT,20210912,-148.2960713,64.71180102,438227.25,7176967.76,137.2,68,17,Bl spruce unburned,-9999,124.5,125.49
84,Vault lake,ERT,20210914,-147.6994181,65.02861501,467053.59,7211825.97,229.87,76,-9999,Bl spruce,ALT > 132 cm reported as 999,0,0
85,Vault lake,ERT,20210914,-147.6994247,65.02862997,467053.3,7211827.64,228.65,-9999,-9999,-9999,-9999,2,1.69
86,Vault lake,ERT,20210914,-147.6994248,65.0286498,467053.32,7211829.85,228.79,-9999,-9999,-9999,-9999,4,3.9
87,Vault lake,ERT,20210914,-147.6994266,65.02866962,467053.26,7211832.06,228.78,-9999,-9999,-9999,-9999,6,6.11
88,Vault lake,ERT,20210914,-147.6994272,65.02868559,467053.25,7211833.84,228.61,-9999,-9999,-9999,-9999,8,7.89
89,Vault lake,ERT,20210914,-147.6994245,65.02870427,467053.4,7211835.92,228.79,71,-9999,-9999,-9999,10,9.98
90,Vault lake,ERT,20210914,-147.6994198,65.02872152,467053.64,7211837.84,228.67,-9999,-9999,-9999,-9999,12,11.91
91,Vault lake,ERT,20210914,-147.6994188,65.02874019,467053.71,7211839.92,228.58,-9999,-9999,-9999,-9999,14,13.99
92,Vault lake,ERT,20210914,-147.699417,65.02875841,467053.82,7211841.95,228.77,-9999,-9999,-9999,-9999,16,16.03
93,Vault lake,ERT,20210914,-147.6994155,65.02877636,467053.91,7211843.95,229.11,-9999,-9999,-9999,-9999,18,18.03
94,Vault lake,ERT,20210914,-147.699416,65.02879404,467053.91,7211845.92,229.26,71,-9999,-9999,-9999,20,20
95,Vault lake,ERT,20210914,-147.6994104,65.0288147,467054.2,7211848.22,229.36,-9999,-9999,-9999,-9999,22,22.31
96,Vault lake,ERT,20210914,-147.6994063,65.02882935,467054.41,7211849.85,229.48,-9999,-9999,-9999,-9999,24,23.96
97,Vault lake,ERT,20210914,-147.6994083,65.02884756,467054.34,7211851.88,229.42,-9999,-9999,-9999,-9999,26,25.99
