pf_depth,obs_limit,site_id,lat,lon,source,date,pf_observed,thaw_depth,method
50.0,154.0,PH-UV-016,71.32767366920555,-156.66914429866839,Wagner_2019,2015-09-01,1,,aug
94.0,181.0,PH-UV-017,71.32775233040765,-156.66880561535288,Wagner_2019,2015-09-01,1,,aug
66.0,133.0,PH-UV-018,71.32783676911785,-156.66856133576664,Wagner_2019,2015-09-01,1,,aug
64.0,156.0,PH-UV-019,71.32797962735268,-156.66810180735476,Wagner_2019,2015-09-01,1,,aug
26.0,126.0,PH-UV-020,71.32805377256405,-156.66759680735322,Wagner_2019,2015-09-01,1,,aug
60.0,164.0,PH-UV-021,71.32812775401368,-156.66705690131695,Wagner_2019,2015-09-01,1,,aug
,174.0,PH-UV-022,71.32824142174923,-156.6664325631189,Wagner_2019,2015-09-01,0,,aug
32.0,139.0,PH-UV-023,71.32830370732626,-156.66606362635417,Wagner_2019,2015-09-01,1,,aug
,161.0,PH-UV-024,71.32838958246448,-156.66556733324697,Wagner_2019,2015-09-01,0,,aug
95.0,160.0,PH-UV-025,71.32853773064458,-156.66510881127178,Wagner_2019,2015-09-01,1,,aug
123.0,173.0,PH-UV-026,71.32863790220932,-156.66538877293706,Wagner_2019,2015-09-01,1,,aug
43.0,133.0,PH-UV-027,71.32855411341605,-156.66586222155036,Wagner_2019,2015-09-01,1,,aug
41.0,109.00000000000001,PH-UV-028,71.32847374663287,-156.6663360656886,Wagner_2019,2015-09-01,1,,aug
2.0,112.99999999999999,PH-UV-029,71.32844037612504,-156.6667883924137,Wagner_2019,2015-09-01,1,,aug
51.0,149.0,PH-UV-030,71.32830285223139,-156.6673329941067,Wagner_2019,2015-09-01,1,,aug
43.0,142.0,PH-UV-031,71.32822362554793,-156.66783911776434,Wagner_2019,2015-09-01,1,,aug
25.0,115.99999999999999,PH-UV-032,71.32811323040698,-156.6684004904113,Wagner_2019,2015-09-01,1,,aug
118.0,120.0,PH-UV-033,71.32800951812452,-156.6686779834396,Wagner_2019,2015-09-01,1,,aug
46.0,180.0,PH-UV-034,71.32830393512023,-156.66856602927388,Wagner_2019,2015-09-01,1,,aug
30.0,123.0,PH-UV-035,71.3283961795697,-156.6680633519484,Wagner_2019,2015-09-01,1,,aug
100.0,179.0,PH-UV-036,71.32846126792789,-156.66759211373127,Wagner_2019,2015-09-01,1,,aug
50.0,206.99999999999997,PH-UV-037,71.3285525841686,-156.6683333348073,Wagner_2019,2015-09-01,1,,aug
,136.0,PH-UV-038,71.32869455777424,-156.66856887643098,Wagner_2019,2015-09-01,0,,aug
,209.0,PH-UV-039,71.32859841438406,-156.66911554846465,Wagner_2019,2015-09-01,0,,aug
50.0,176.0,PH-UV-040,71.32847667607317,-156.66954915796185,Wagner_2019,2015-09-01,1,,aug
138.0,154.0,PH-UV-041,71.32861166236646,-156.6697886008149,Wagner_2019,2015-09-01,1,,aug
56.00000000000001,128.0,PH-UV-042,71.32854570825207,-156.66712094928621,Wagner_2019,2015-09-01,1,,aug
,130.0,PH-UV-043,71.3286269301822,-156.66659494188184,Wagner_2019,2015-09-01,0,,aug
14.000000000000002,111.00000000000001,PH-UV-044,71.32871365618435,-156.66613032663693,Wagner_2019,2015-09-01,1,,aug
,193.0,PH-UV-045,71.32879235858839,-156.66565687238656,Wagner_2019,2015-09-01,0,,aug
67.0,161.0,PH-UV-046,71.32879073795974,-156.6668880810935,Wagner_2019,2015-09-01,1,,aug
20.0,139.0,PH-UV-047,71.32888781067618,-156.66754171668225,Wagner_2019,2015-09-01,1,,aug
,147.0,PH-UV-048,71.32898243486079,-156.6679865338952,Wagner_2019,2015-09-01,0,,aug
53.0,167.0,PH-UV-049,71.32899714652169,-156.66690283971846,Wagner_2019,2015-09-01,1,,aug
9.0,183.0,PH-UV-050,71.32908988515624,-156.66579999148342,Wagner_2019,2015-09-01,1,,aug
37.0,143.0,PH-UV-051,71.32908034271341,-156.6657052772059,Wagner_2019,2015-09-01,1,,aug
,142.0,PH-UV-052,71.32934318482438,-156.66521829134157,Wagner_2019,2015-09-01,0,,aug
107.0,184.0,PH-UV-053,71.32941647999034,-156.6656740254487,Wagner_2019,2015-09-01,1,,aug
101.0,134.0,PH-UV-054,71.32944639069714,-156.66755584681974,Wagner_2019,2015-09-01,1,,aug
112.00000000000001,147.0,PH-UV-055,71.32926404897854,-156.66913070041582,Wagner_2019,2015-09-01,1,,aug
17.0,140.0,PH-UV-056,71.32933020479507,-156.66870351037102,Wagner_2019,2015-09-01,1,,aug
