site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,obs_limit,method,source,site_name,transect_name,transect_point,natali_source_thaw_depth_cm,natali_notes,natali_coordinate_source,quality_flag_coord_lookup_or_interpolated,quality_flag_source_unit_or_code_recoded,quality_flag_refusal_or_obstruction_note
Natali_2023_HCU_T3_L2,2016-08-09,65.567296,-148.9250126,42.0,1,42.0,,tp,Natali_2023,Hess Creek Unburned,3,2,42.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L3,2016-08-09,65.5673055,-148.92501439999998,45.0,1,45.0,,tp,Natali_2023,Hess Creek Unburned,3,3,45.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L4,2016-08-09,65.56731500000001,-148.9250162,43.0,1,43.0,,tp,Natali_2023,Hess Creek Unburned,3,4,43.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L5,2016-08-09,65.5673245,-148.925018,30.0,1,30.0,,tp,Natali_2023,Hess Creek Unburned,3,5,30.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L6,2016-08-09,65.567334,-148.9250198,37.0,1,37.0,,tp,Natali_2023,Hess Creek Unburned,3,6,37.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L7,2016-08-09,65.5673435,-148.92502159999998,33.0,1,33.0,,tp,Natali_2023,Hess Creek Unburned,3,7,33.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L8,2016-08-09,65.567353,-148.9250234,34.0,1,34.0,,tp,Natali_2023,Hess Creek Unburned,3,8,34.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L9,2016-08-09,65.5673625,-148.9250252,37.0,1,37.0,,tp,Natali_2023,Hess Creek Unburned,3,9,37.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L10,2016-08-09,65.567372,-148.925027,36.0,1,36.0,,tp,Natali_2023,Hess Creek Unburned,3,10,36.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L11,2016-08-09,65.5673815,-148.92502879999998,48.0,1,48.0,,tp,Natali_2023,Hess Creek Unburned,3,11,48.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L12,2016-08-09,65.567391,-148.92503059999999,43.0,1,43.0,,tp,Natali_2023,Hess Creek Unburned,3,12,43.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L13,2016-08-09,65.5674005,-148.9250324,57.0,1,57.0,,tp,Natali_2023,Hess Creek Unburned,3,13,57.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L14,2016-08-09,65.56741,-148.9250342,40.0,1,40.0,,tp,Natali_2023,Hess Creek Unburned,3,14,40.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L15,2016-08-09,65.5674195,-148.92503599999998,54.0,1,54.0,,tp,Natali_2023,Hess Creek Unburned,3,15,54.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L16,2016-08-09,65.567429,-148.92503779999998,41.0,1,41.0,,tp,Natali_2023,Hess Creek Unburned,3,16,41.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L17,2016-08-09,65.5674385,-148.9250396,47.0,1,47.0,,tp,Natali_2023,Hess Creek Unburned,3,17,47.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L18,2016-08-09,65.567448,-148.9250414,44.0,1,44.0,,tp,Natali_2023,Hess Creek Unburned,3,18,44.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L19,2016-08-09,65.5674575,-148.9250432,42.0,1,42.0,,tp,Natali_2023,Hess Creek Unburned,3,19,42.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L20,2016-08-09,65.567467,-148.92504499999998,42.0,1,42.0,,tp,Natali_2023,Hess Creek Unburned,3,20,42.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L21,2016-08-09,65.5674765,-148.9250468,41.0,1,41.0,,tp,Natali_2023,Hess Creek Unburned,3,21,41.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L22,2016-08-09,65.567486,-148.9250486,43.0,1,43.0,,tp,Natali_2023,Hess Creek Unburned,3,22,43.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L23,2016-08-09,65.56749549999999,-148.9250504,41.0,1,41.0,,tp,Natali_2023,Hess Creek Unburned,3,23,41.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L24,2016-08-09,65.567505,-148.92505219999998,51.0,1,51.0,,tp,Natali_2023,Hess Creek Unburned,3,24,51.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L25,2016-08-09,65.5675145,-148.925054,40.0,1,40.0,,tp,Natali_2023,Hess Creek Unburned,3,25,40.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L26,2016-08-09,65.56752399999999,-148.9250558,35.0,1,35.0,,tp,Natali_2023,Hess Creek Unburned,3,26,35.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T3_L27,2016-08-09,65.5675335,-148.9250576,57.0,1,57.0,,tp,Natali_2023,Hess Creek Unburned,3,27,57.0,,interpolated_transect,True,False,False
