name,thaw_depth,comment,Easting,Northing,year,Elevation (m),Detected_CRS
Fence-2022-1-24,0.36,,583551.9765630196,7911473.603381176,2022,5.512,EPSG:32604
Fence-2022-1-26,0.48,,583553.8916023846,7911474.089495809,2022,5.512,EPSG:32604
Fence-2022-1-28,0.38,,583555.8122260143,7911474.487093409,2022,5.543,EPSG:32604
Fence-2022-1-30,0.36,,583557.715,7911474.730342381,2022,5.614,EPSG:32604
Fence-2022-1-32,0.32,,583559.9480874041,7911475.058376856,2022,5.658,EPSG:32604
Fence-2022-1-34,0.4,,583561.6845980707,7911475.469866564,2022,5.693,EPSG:32604
Fence-2022-1-36,0.43,,583563.701,7911475.69,2022,5.653,EPSG:32604
Fence-2022-1-38,0.52,,583565.6382695385,7911475.913837753,2022,5.632,EPSG:32604
Fence-2022-1-40,0.5,,583567.6631325444,7911476.269250507,2022,5.632,EPSG:32604
Fence-2022-1-42,0.42,,583569.5922310516,7911476.447507769,2022,5.671,EPSG:32604
Fence-2022-1-44,0.4,,583571.544,7911476.847295107,2022,5.662,EPSG:32604
Fence-2022-1-46,0.47,,583573.5227603286,7911477.093,2022,5.643,EPSG:32604
Fence-2022-1-48,0.46,,583575.5560580825,7911477.436456159,2022,5.607,EPSG:32604
Fence-2022-1-50,0.59,,583577.5468059619,7911477.652582125,2022,5.523,EPSG:32604
Fence-2022-1-52,0.54,,583579.4957637851,7911478.107,2022,5.527,EPSG:32604
Fence-2022-1-54,0.6,,583581.4610226088,7911478.348369434,2022,5.472,EPSG:32604
Fence-2022-1-56,0.59,,583583.3791845841,7911478.672129561,2022,5.485,EPSG:32604
Fence-2022-1-58,0.54,,583585.3415704553,7911479.029234093,2022,5.519,EPSG:32604
Fence-2022-1-60,0.64,,583587.3684092588,7911479.369764691,2022,5.556,EPSG:32604
Fence-2022-1-62,0.53,,583589.3179057025,7911479.694735498,2022,5.602,EPSG:32604
Fence-2022-1-64,0.37,,583591.3164,7911479.999001995,2022,5.67,EPSG:32604
Fence-2022-1-66,0.39,,583593.2323313563,7911480.3793597855,2022,5.693,EPSG:32604
Fence-2022-1-68,0.47,,583595.2452382201,7911480.743572242,2022,5.657,EPSG:32604
Fence-2022-1-70,0.5,,583597.1956093637,7911480.988246271,2022,5.637,EPSG:32604
Fence-2022-1-72,0.4,,583599.1406630806,7911481.431504432,2022,5.58,EPSG:32604
Fence-2022-1-74,0.45,,583601.0665,7911482.086844466,2022,5.554,EPSG:32604
Fence-2022-1-76,0.41,,583603.0558200601,7911482.507434519,2022,5.544,EPSG:32604
Fence-2022-1-78,0.31,,583605.0300581553,7911482.603095116,2022,5.562,EPSG:32604
Fence-2022-1-80,0.32,,583607.0132412729,7911482.927712529,2022,5.608,EPSG:32604
Fence-2022-1-82,0.38,,583608.9848153756,7911483.299907907,2022,5.635,EPSG:32604
Fence-2022-1-84,0.4,,583610.9223613101,7911483.628586348,2022,5.762,EPSG:32604
Fence-2022-1-86,0.32,,583612.9046,7911483.917362477,2022,5.81,EPSG:32604
Fence-2022-1-88,0.28,,583614.8701380518,7911484.263894889,2022,5.816,EPSG:32604
Fence-2022-1-90,0.3,,583616.8811335803,7911484.586977124,2022,5.635,EPSG:32604
Fence-2022-1-92,0.32,,583618.8136049659,7911484.9,2022,5.73,EPSG:32604
Fence-2022-1-94,0.46,,583620.7645,7911485.177755054,2022,5.727,EPSG:32604
Fence-2022-1-96,0.3,,583622.7934753357,7911485.558437094,2022,5.724,EPSG:32604
Fence-2022-1-98,0.45,,583624.7482788601,7911485.867158639,2022,5.693,EPSG:32604
