lon,lat,date,pf_depth,pf_observed,thaw_depth,obs_limit,site_id,transect_direction,source,comments,method
-148.827031,69.041894,2018-08-23,42,1,42,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,33,1,33,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,56,1,56,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,54,1,54,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,36,1,36,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,47,1,47,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,48,1,48,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,44,1,44,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,40,1,40,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,52,1,52,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,41,1,41,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,38,1,38,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,36,1,36,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,50,1,50,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,42,1,42,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,52,1,52,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,44,1,44,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,43,1,43,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,36,1,36,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,37,1,37,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,47,1,47,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,55,1,55,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,53,1,53,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,45,1,45,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,38,1,38,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,38,1,38,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,31,1,31,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,56,1,56,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,43,1,43,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,42,1,42,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,53,1,53,,ICC,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,59,1,59,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,47,1,47,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,64,1,64,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,53,1,53,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,44,1,44,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,55,1,55,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,38,1,38,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,38,1,38,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,39,1,39,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,41,1,41,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,53,1,53,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,50,1,50,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,45,1,45,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,39,1,39,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,36,1,36,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,48,1,48,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,44,1,44,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,58,1,58,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,55,1,55,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,32,1,32,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,52,1,52,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,42,1,42,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,59,1,59,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,44,1,44,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,53,1,53,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,46,1,46,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,57,1,57,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,50,1,50,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,40,1,40,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,45,1,45,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,39,1,39,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,52,1,52,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,36,1,36,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,54,1,54,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,55,1,55,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,48,1,48,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,45,1,45,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,38,1,38,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,40,1,40,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,52,1,52,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,43,1,43,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,40,1,40,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,60,1,60,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,54,1,54,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,53,1,53,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,41,1,41,,ICC,E-W,Bakian_Dogaheh_2020,,tp/pit
