X,Y,PF
442924.3478,7206571.014,0
442924.1639,7206576.011,0
442923.9675,7206581.007,0
442923.4665,7206600.973,0
442923.2642,7206610.97,0
442922.9401,7206620.965,0
442922.771,7206630.962,0
442922.418,7206640.954,0
442921.9527,7206660.946,1
442921.6513,7206670.94,0
442921.3868,7206680.933,0
442921.0737,7206690.922,0
442920.9074,7206700.92,0
442920.6857,7206705.915,0
442920.5528,7206710.908,0
442920.3837,7206715.896,0
442920.4577,7206720.885,0
442920.3376,7206725.87,0
442920.2406,7206730.866,0
442920.7088,7206740.731,0
442920.5103,7206750.723,0
442920.2843,7206761.716,0
442919.9812,7206770.704,0
442919.6773,7206781.68,0
442919.5598,7206790.673,0
442919.5291,7206795.664,0
442919.3331,7206800.645,0
442919.1392,7206805.64,0
442650.223,7206816.228,0
442643.5549,7206808.82,0
442632.076,7206792.451,1
442626.1687,7206784.385,1
442620.35,7206776.254,1
442614.5516,7206768.107,1
442608.8035,7206759.928,0
442603.0325,7206751.764,1
442597.4292,7206743.496,0
442591.6689,7206735.324,0
442586.0661,7206727.049,0
442580.6315,7206718.658,0
442575.2296,7206710.244,0
442570.1204,7206701.648,1
442564.9564,7206693.092,0
442560.0102,7206684.402,0
442554.8936,7206675.82,0
442549.6382,7206667.313,0
442544.5416,7206658.71,0
442539.5798,7206650.035,0
442534.5432,7206641.398,0
442529.4816,7206632.777,0
442524.5833,7206624.061,0
442519.4288,7206615.504,0
442773.718,7206619.411,0
442764.5905,7206623.413,0
442759.996,7206625.373,0
442755.415,7206627.36,0
442750.8821,7206629.461,0
442746.3174,7206631.501,1
442737.149,7206635.48,1
442727.9641,7206639.426,0
442723.2971,7206641.173,0
442718.7605,7206643.261,0
442714.1395,7206645.169,0
442709.5753,7206647.21,0
442704.9803,7206649.176,0
442700.3842,7206651.138,1
442691.2115,7206655.117,1
442682.1344,7206659.312,1
442677.5456,7206661.277,0
442672.9826,7206663.291,1
442664.0565,7206667.792,0
442659.5752,7206670.004,0
442655.103,7206672.189,1
442650.5584,7206674.239,0
442646.1395,7206676.564,1
442641.6822,7206678.827,1
442637.2189,7206681.062,1
442632.7499,7206683.279,1
442628.2936,7206685.534,1
442623.8398,7206687.793,1
442619.4001,7206690.086,1
442614.9688,7206692.401,1
442610.4978,7206694.639,1
442605.9505,7206696.717,1
442601.4809,7206698.958,0
442596.9882,7206701.152,1
442592.6124,7206703.568,0
442583.7053,7206708.102,0
442579.2369,7206710.346,0
442574.7806,7206712.612,0
442570.2891,7206714.809,0
442565.8526,7206717.114,1
442556.8747,7206721.505,1
442552.3453,7206723.623,0
442547.8705,7206725.852,0
442538.9152,7206730.3,0
442529.9657,7206734.726,0
442525.462,7206736.897,0
442521.0357,7206739.222,0
442516.55,7206741.43,0
442511.9928,7206743.462,0
442507.5581,7206745.762,1
442503.0417,7206747.901,1
442498.5933,7206750.18,0
442494.0548,7206752.271,0
442485.079,7206756.669,0
442476.1002,7206761.062,0
442471.5451,7206763.122,0
442462.5213,7206767.393,0
442453.638,7206771.972,0
442449.0572,7206773.966,0
442444.5819,7206776.194,0
442435.6625,7206780.699,1
442431.1157,7206782.778,0
442426.6974,7206785.101,0
442422.14,7206787.14,1
442412.302,7206792.05,0
442404.1937,7206795.915,1
442399.714,7206798.136,0
442395.2175,7206800.321,1
442390.739,7206802.533,1
442386.3013,7206804.822,1
442381.786,7206806.966,1
442372.746,7206811.237,0
442367.3617,7206813.878,1
442363.777,7206815.618,1
442359.282,7206817.799,1
442354.7491,7206819.909,1
442350.2888,7206822.167,1
442345.8772,7206824.508,1
442341.3201,7206826.554,1
442336.8958,7206828.883,1
442332.3834,7206831.032,1
442327.9196,7206833.284,1
442323.4007,7206835.421,1
442318.9242,7206837.648,1
442314.419,7206839.816,1
442309.9287,7206842.013,1
442305.4592,7206844.247,1
442300.9112,7206846.324,1
442296.4081,7206848.477,1
442291.9764,7206850.792,1
442287.5447,7206853.107,1
442283.113,7206855.422,1
442278.6813,7206857.737,1
442307.865,7206507.828,0
442308.0725,7206502.847,0
442308.3494,7206497.855,1
442308.7695,7206492.873,0
442309.1073,7206487.887,0
442309.4853,7206482.902,0
442309.8693,7206477.917,0
442310.2022,7206472.928,1
442310.9116,7206462.953,1
442311.2879,7206457.968,1
442311.6912,7206452.984,1
442312.4836,7206443.018,1
442312.7629,7206438.025,1
442313.0425,7206433.033,1
442313.3521,7206428.043,1
442313.6974,7206423.056,1
