pf_observed,date,lon,lat,site_id,source,pf_depth,thaw_depth,obs_limit,method
0,2019-09-15,-164.82243843439386,65.16491276540873,KG,Seward,,,,unknown
0,2019-09-15,-164.82262221936793,65.16486776063562,KG,Seward,,,,unknown
0,2019-09-15,-164.82280840180962,65.16482439148457,KG,Seward,,,,unknown
0,2019-09-15,-164.8229944087567,65.16478068990901,KG,Seward,,,,unknown
0,2019-09-15,-164.82318169019075,65.16473776124982,KG,Seward,,,,unknown
0,2019-09-15,-164.82337078983366,65.16469630600635,KG,Seward,,,,unknown
0,2019-09-15,-164.8235567258443,65.16465272926833,KG,Seward,,,,unknown
0,2019-09-15,-164.82374689681092,65.16461235152545,KG,Seward,,,,unknown
0,2019-09-15,-166.2065509749779,64.97659082669185,T47,Seward,,,,unknown
0,2019-09-15,-166.21440884012847,64.97790912428908,T47,Seward,,,,unknown
0,2019-09-15,-166.21451964185198,64.9780159122965,T47,Seward,,,,unknown
0,2019-09-15,-166.2159153234093,64.97795070677152,T47,Seward,,,,unknown
0,2019-09-15,-166.22662002829853,64.97801569685673,T47,Seward,,,,unknown
0,2019-09-15,-166.20730553069995,64.97875645837064,T47,Seward,,,,unknown
0,2019-09-15,-166.2196192539351,64.98110630740287,T47,Seward,,,,unknown
0,2019-09-15,-166.22182648142615,64.97838704826262,T47,Seward,,,,unknown
0,2019-09-15,-166.22138919846788,64.9776278254397,T47,Seward,,,,unknown
