site_id,lat,lon,date,org_thick,thaw_depth,pf_depth,pf_observed,obs_limit,method,source
JG-DI2,69.74,-143.6,2011-07-30,,41.0,,0,41.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DI2,69.74,-143.6,2018-08-01,,50.0,54.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DI3,69.74,-143.6,2009-08-12,,33.0,38.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DI3,69.74,-143.6,2011-07-30,,41.0,,0,41.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-G02,69.74,-143.6,2011-08-03,,40.0,,0,40.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-G04,69.74,-143.6,2011-08-03,,43.0,,0,43.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-G05,69.74,-143.6,2011-08-03,44.0,44.0,,0,44.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-G09,69.74,-143.6,2011-08-03,,34.0,,0,34.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-G10,69.74,-143.6,2011-08-03,,34.0,,0,34.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-G10,69.74,-143.6,2018-08-01,26.0,29.0,40.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-G12,69.74,-143.6,2011-08-03,,45.0,,0,45.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-G13,69.74,-143.6,2011-08-03,,32.0,,0,32.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-G15,69.74,-143.6,2011-08-03,,38.0,,0,38.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-G16,69.71,-143.61,2009-08-12,,42.0,,0,42.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-G17,69.7,-143.61,2009-08-12,,41.0,,0,41.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-JR1,69.74,-143.59,2009-08-13,,45.0,45.0,1,270.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-JR2,69.74,-143.59,2009-08-13,,60.0,60.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-JR3,69.74,-143.59,2009-08-13,,50.0,,0,300.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-MS1,69.74,-143.6,2009-08-12,,32.0,32.0,1,250.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-MS1,69.74,-143.6,2018-08-01,,55.0,66.0,1,257.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SA1,69.74,-143.6,2009-08-10,13.0,49.0,49.0,1,120.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SA1,69.74,-143.6,2011-07-29,,46.0,,0,46.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SA1,69.74,-143.6,2018-07-28,27.0,49.0,60.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SA2,69.74,-143.6,2009-08-11,12.0,55.0,55.0,1,115.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SA2,69.74,-143.6,2011-07-29,,42.0,,0,42.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SA2,69.74,-143.6,2018-07-31,31.0,40.0,45.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SA3,69.74,-143.6,2009-08-11,,32.0,32.0,1,104.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SA3,69.74,-143.6,2011-07-29,,42.0,,0,42.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SA3,69.74,-143.6,2018-07-31,,49.0,60.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SA4,69.74,-143.6,2009-08-12,35.0,47.0,47.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SA4,69.74,-143.6,2018-07-31,35.0,41.0,50.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SI1,69.74,-143.6,2009-08-10,6.0,53.0,53.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SI1,69.74,-143.6,2011-07-29,,56.0,,0,56.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SI1,69.74,-143.6,2018-07-27,27.0,48.0,54.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SI2,69.74,-143.6,2009-08-10,,58.0,61.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SI2,69.74,-143.6,2011-07-29,,47.0,,0,47.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SI2,69.74,-143.6,2018-07-30,28.0,43.0,53.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SI3,69.74,-143.6,2009-08-10,,50.0,58.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SI3,69.74,-143.6,2011-07-29,,55.0,,0,55.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-SI3,69.74,-143.6,2018-07-31,,50.0,68.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-TT1,69.74,-143.6,2009-08-10,,38.0,38.0,1,110.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-TT1,69.74,-143.6,2011-07-29,,36.0,,0,36.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-TT1b,69.74,-143.6,2009-08-10,,31.0,31.0,1,250.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-TT2,69.74,-143.6,2009-08-12,,32.0,37.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-TT2,69.74,-143.6,2011-07-29,,29.0,,0,29.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-TT3,69.74,-143.6,2011-07-29,18.0,23.0,,0,23.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-UD1,69.74,-143.6,2018-07-29,,45.0,51.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-UD2,69.74,-143.6,2018-07-29,,28.0,42.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-UD3,69.74,-143.6,2018-07-29,,41.0,47.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-WTA1,69.74,-143.6,2018-01-29,34.0,59.0,67.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-WTA2,69.74,-143.6,2018-08-02,18.0,48.0,60.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
