Site,Date,Sample_ID,Latitude,Longitude,Elevation,Thaw_Depth,Soil_Moisture,Veg_Height,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0030,65.39266205,-164.6468767,90.291,17,55.5,10,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0031,65.3877817,-164.6577113,88.175,17,84.4,5,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0032,65.3877719,-164.6573579,88.402,19,56.8,10,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0033,65.38775427,-164.6569824,88.495,12,51.3,20,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0034,65.38772924,-164.6566163,88.48,18,52.5,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0035,65.38769844,-164.6562511,88.059,33,90.4,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0036,65.38766745,-164.6559187,88.28,16,58.4,10,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0037,65.38764708,-164.6555494,88.273,22,75.5,5,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0038,65.38762086,-164.6551434,88.258,46,50.6,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0039,65.38759254,-164.6547506,88.292,16,52.7,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0040,65.38759346,-164.6543614,88,26,51.4,20,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0041,65.38760618,-164.6539779,87.357,27,57.2,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0042,65.3876118,-164.6535787,87.117,23,92.3,10,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0043,65.38758807,-164.6532051,87.123,20,86.3,10,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0044,65.38759261,-164.6528232,87.375,9,49.8,5,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0045,65.38759764,-164.6524229,87.017,22,78.2,10,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0046,65.38759564,-164.6520306,87.127,18,53.8,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0047,65.38757389,-164.6516569,86.893,21,82.7,10,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0048,65.38756643,-164.651493,87.099,14,45.9,20,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0049,65.3875337,-164.6512795,86.676,29,81.7,10,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0050,65.38752996,-164.6509352,87.358,12,34.2,5,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0051,65.38752049,-164.6505737,87.201,14,57.9,10,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0052,65.38751686,-164.6502006,87.415,11,63.5,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0053,65.38755794,-164.6500808,86.962,28,89.7,40,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0054,65.38753832,-164.6497158,88.102,8,36.2,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0055,65.38753227,-164.6493727,89.597,6,49,45,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0056,65.38751122,-164.649024,90.427,30,49.3,30,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0057,65.38748653,-164.6486711,90.564,25,52.8,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0058,65.38746336,-164.6483193,90.446,25,56.2,25,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0059,65.38744705,-164.6479574,90.444,45,51.3,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0060,65.3874399,-164.6475918,90.008,21,58.6,35,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0061,65.36791464,-164.678176,92.452,35,51.4,20,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0062,65.36798636,-164.6784544,92.285,30,50.7,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0063,65.36803046,-164.6787815,92.165,40,49.2,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0064,65.36804785,-164.6791283,92.172,13,52.9,35,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0065,65.36806829,-164.6794409,91.867,16,59,5,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0066,65.3681013,-164.6797411,92.07,10,34.8,45,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0067,65.36811836,-164.6799755,90.358,18,50.8,50,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0068,65.36813822,-164.6801431,89.668,27,86.6,45,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0069,65.36815026,-164.6803365,91.752,34,27.7,20,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0070,65.36819131,-164.6806208,92.08,15,47.1,5,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0071,65.36823269,-164.6809405,92.133,21,45.5,5,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0072,65.36825747,-164.6812846,92.024,7,45.3,35,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0073,65.36831792,-164.6815962,92.336,5,39.7,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0074,65.36835712,-164.6819116,92.412,16,51.5,20,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0075,65.36839673,-164.6822212,92.713,30,29.3,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0076,65.36842001,-164.6823477,92.186,14,89,5,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0077,65.36846037,-164.6824947,92.757,13,52,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0078,65.3685156,-164.6827983,92.513,24,83.6,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0079,65.36858733,-164.6830595,92.965,15,48.4,10,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0080,65.3686544,-164.6833738,92.596,25,96.5,25,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0081,65.36870467,-164.6836814,93.165,20,52.3,5,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0082,65.36874785,-164.6840109,93.17,24,90.9,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0083,65.36879597,-164.6843333,93.758,12,51.7,5,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0084,65.36882211,-164.6846737,94.085,13,51.9,10,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0085,65.36884931,-164.6849722,94.18,16,54.5,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0086,65.36887018,-164.6853132,94.28,17,92.6,5,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0087,65.36888911,-164.6856343,94.438,14,52.4,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0088,65.36891423,-164.6859618,94.885,18,44.8,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0089,65.36893516,-164.6862523,94.95,24,93.5,30,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0090,65.36895122,-164.686551,95.296,44,49.8,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0091,65.36338015,-164.6738742,88.483,45,48.3,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0092,65.36333383,-164.6735437,87.689,32,44.9,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0093,65.36327795,-164.6732231,87.303,13,30.9,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0094,65.36322246,-164.6729015,86.067,12,46.2,25,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0095,65.36316241,-164.6725442,84.826,32,52.3,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0096,65.3631121,-164.6722455,84.169,8,64.7,10,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0097,65.36307559,-164.671952,84.248,11,59.7,15,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0098,65.36304015,-164.6716669,83.847,10,53.2,20,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0099,65.36298918,-164.6713089,83.981,9,63.1,10,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0100,65.36294446,-164.6710012,83.99,7,50.6,5,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0101,65.36289755,-164.6708226,83.627,27,89.2,10,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0102,65.3628419,-164.6705985,83.645,31,92.1,10,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0103,65.36275962,-164.6703819,83.85,16,52.5,5,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0104,65.36267695,-164.6701418,83.496,39,89.7,10,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0105,65.36258923,-164.6699787,83.342,33,90.7,10,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0106,65.36249362,-164.6698621,84.077,10,52.9,5,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0107,65.36237709,-164.6697214,85.093,13,44.6,5,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0108,65.3622936,-164.6694233,85.29,42,51.1,10,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0109,65.36221078,-164.6691351,85.244,20,52.1,5,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0110,65.36213531,-164.6688161,84.936,13,51.6,40,,,,,,,,,,,,,,,,,,
Kougarok_MM80,20220723,K82_0111,65.36209767,-164.6684626,84.769,18,51.2,20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
