site_location,source_site_identifier,lat,lon,thaw_depth,pf_observed,deepest_temperature_depth_m,date,source_active_layer_text,source_period,site_id,obs_limit,method,source,pf_depth,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_source_unit_or_code_recoded
Fort McPherson site,MP #3,67.43333333333334,-135.41666666666666,150.0,1,23.6,1972-07-01,150,03/72-07/72,Fort McPherson site | MP #3,,unknown,Smith_Burgess_2000,150.0,True,True,True
Great Bear River,C12,64.92,-125.58,71.0,1,1.5,1992-07-01,71,1989-1996,Great Bear River | C12,,unknown,Smith_Burgess_2000,71.0,True,True,True
Pump Stn 1,C10,65.28,-126.88,65.0,1,1.5,1992-07-01,65,1989-1996,Pump Stn 1 | C10,,unknown,Smith_Burgess_2000,65.0,True,True,True
Tulita (10 km North),SEEDS control site,64.9,-125.58,61.0,1,2.0,1990-07-01,61.4,02/90-019/90,Tulita (10 km North) | SEEDS control site,,unknown,Smith_Burgess_2000,61.0,True,True,True
Norman Wells,Hole #7,65.28,-126.83,80.0,1,60.96,1974-07-01,80,06/73-09/75,Norman Wells | Hole #7,,unknown,Smith_Burgess_2000,80.0,True,True,True
Norman Wells,Hole #10,65.28,-126.83,80.0,1,60.96,1974-07-01,80,06/73-09/75,Norman Wells | Hole #10,,unknown,Smith_Burgess_2000,80.0,True,True,True
Norman Wells,Hole #17,65.28,-126.83,,0,18.36,1974-07-01,no pf,04/73-09/75,Norman Wells | Hole #17,1836.0,temp,Smith_Burgess_2000,,True,True,True
Norman Wells,Water Treatment Plant,65.28,-126.84,370.0,1,30.0,1998-07-01,~370,07/1998-07/1999,Norman Wells | Water Treatment Plant,,unknown,Smith_Burgess_2000,370.0,True,True,True
Norman Wells,Hockey Arena,65.28,-126.83,172.0,1,18.0,1998-07-01,~172,07/1998-07/1999,Norman Wells | Hockey Arena,,unknown,Smith_Burgess_2000,172.0,True,True,True
Manners Ck.,undisturbed site,61.6,-120.87,105.0,1,1.5,1989-07-01,105,1988-1991,Manners Ck. | undisturbed site,,unknown,Smith_Burgess_2000,105.0,True,True,True
Tuichita,Peat plateau,61.5,-131.0,80.0,1,1.1,1984-07-01,80,1979-1989,Tuichita | Peat plateau,,unknown,Smith_Burgess_2000,80.0,True,True,True
Mayo,Glaciolacustrine A,63.58,-135.58,80.0,1,5.0,1986-07-01,80,08/85-08/87,Mayo | Glaciolacustrine A,,unknown,Smith_Burgess_2000,80.0,True,True,True
Mayo,Glaciolacustrine B,63.58,-135.58,80.0,1,5.0,1986-07-01,80,08/85-08/87,Mayo | Glaciolacustrine B,,unknown,Smith_Burgess_2000,80.0,True,True,True
Mayo,Alluvial C,63.58,-135.58,80.0,1,5.0,1986-07-01,80,08/85-08/87,Mayo | Alluvial C,,unknown,Smith_Burgess_2000,80.0,True,True,True
Summit Lake A,Summit Pass,58.63,-124.7,350.0,1,21.5,1984-07-01,350,1979-1989,Summit Lake A | Summit Pass,,unknown,Smith_Burgess_2000,350.0,True,True,True
Plateau Mtn.,#2,50.2,-114.53,550.0,1,150.0,1982-07-01,550,1976-1989,Plateau Mtn. | #2,,unknown,Smith_Burgess_2000,550.0,True,True,True
Petitot River N,84-5A,59.75,-119.5,100.0,1,20.6,1984-07-01,<100,09/84-09/85,Petitot River N | 84-5A,,unknown,Smith_Burgess_2000,100.0,True,True,True
Petitot River N,84-5B,59.75,-119.51,100.0,1,20.5,1984-07-01,<100,11/84-10-86,Petitot River N | 84-5B,,unknown,Smith_Burgess_2000,100.0,True,True,True
Petitot River S,84-6,59.45,-119.25,100.0,1,20.7,1984-07-01,<100,09/84-09/85,Petitot River S | 84-6,,unknown,Smith_Burgess_2000,100.0,True,True,True
Plateau Mtn,Blocky slope,50.182,-114.503,45.0,1,0.75,1996-07-01,45,10/4-10/96,Plateau Mtn | Blocky slope,,unknown,Smith_Burgess_2000,45.0,True,True,True
Thompson,D,55.8,-97.86666666666666,75.0,1,5.0,1969-07-01,75,01/1969 - 12/1969,Thompson | D,,unknown,Smith_Burgess_2000,75.0,True,True,True
Thompson,A,55.8,-97.86666666666666,,0,5.0,1969-07-01,no permafrost,01/1969 - 12/1969,Thompson | A,500.0,temp,Smith_Burgess_2000,,True,True,True
Thompson,B,55.8,-97.86666666666666,,0,5.0,1969-07-01,no permafrost,01/1969 - 12/1969,Thompson | B,500.0,temp,Smith_Burgess_2000,,True,True,True
Thompson,C,55.8,-97.86666666666666,48.0,1,5.0,1969-07-01,48,01/1969 - 12/1969,Thompson | C,,unknown,Smith_Burgess_2000,48.0,True,True,True
Charlebois Siding,R69-2-6 Peat Plateau,56.69,-94.07,100.0,1,12.2,1976-07-01,~100,12/1976-08/1977,Charlebois Siding | R69-2-6 Peat Plateau,,unknown,Smith_Burgess_2000,100.0,True,True,True
Charlebois Siding,R69-2-7 Fen,56.69,-94.07,,0,9.1,1977-07-01,no pf,03/1977-08/1977,Charlebois Siding | R69-2-7 Fen,910.0,temp,Smith_Burgess_2000,,True,True,True
Charlebois Siding,R69-2-11 Peat Plateau,56.69,-94.07,100.0,1,18.2,1977-07-01,~100,05/1977-08/1977,Charlebois Siding | R69-2-11 Peat Plateau,,unknown,Smith_Burgess_2000,100.0,True,True,True
