OBJECTID,Point_Id,Lat,Lon,Time,Thaw depth [cm],Rock_depth [cm],NEAR_DIST [m],Permafrost_Table [m amsl],Surface_Elev [m amsl],Differential elev [m],Slope [m/m]
58,TRANA029,69.17143302,-148.8840629,12/30/1899 0:00:00,43,no rocks,16.61038122,325.91832,326.34832,2.45199,0.147617924
59,TRANA030,69.17140678,-148.8839972,12/30/1899 0:00:00,54,no rocks,20.51239543,326.38238,326.92238,3.02605,0.147522995
60,TRANA031,69.17135555,-148.8838433,12/30/1899 0:00:00,52,no rocks,28.87906307,327.18868,327.70868,3.81235,0.132010862
61,TRANA032,69.17130069,-148.8836741,12/30/1899 0:00:00,62,no rocks,37.96507398,327.93638,328.55638,4.66005,0.122745711
62,TRANA033,69.1712533,-148.8835072,12/30/1899 0:00:00,43,no rocks,46.41495873,328.6994,329.1294,5.23307,0.112745333
63,TRANA034,69.17120733,-148.8833515,12/30/1899 0:00:00,43,no rocks,54.43488144,329.32594,329.75594,5.85961,0.107644397
64,TRANA035,69.17114901,-148.8831923,12/30/1899 0:00:00,62,no rocks,63.49369526,329.68147,330.30147,6.40514,0.100878362
65,TRANA036,69.17108893,-148.8830391,12/30/1899 0:00:00,43,no rocks,72.51206876,330.28809,330.71809,6.82176,0.094077581
66,TRANA037,69.17102505,-148.8828557,12/30/1899 0:00:00,33,no rocks,82.69650062,330.79209,331.12209,7.22576,0.087376853
67,TRANA038,69.17095358,-148.8826818,12/30/1899 0:00:00,46,no rocks,93.18172024,331.26424,331.72424,7.82791,0.084006927
68,TRANA039,69.1708983,-148.8825213,12/30/1899 0:00:00,54,no rocks,102.046869,331.67078,332.21078,8.31445,0.081476777
69,TRANA040,69.17083342,-148.882335,12/30/1899 0:00:00,44,no rocks,112.393266,332.2659,332.7059,8.80957,0.078381653
70,TRANA041,69.17152983,-148.8843908,12/30/1899 0:00:00,c.n.p.,no rocks,0.276349322,,322.41324,0,0
71,TRAN001,69.17360341,-148.8771979,12/30/1899 0:00:00,c.n.p.,no rocks,2.302852098,,322.21472,-0.19852,-0.086206144
72,TRAN002,69.17359983,-148.8771915,12/30/1899 0:00:00,99,no rocks,2.757135395,321.61228,322.60228,0.18904,0.068563916
