GridID,Lat_Decimal_Degrees,Long_Decimal_Degrees,Northing_m,Easting_m,ThawDepth1_cm,ThawDepth2_cm,ThawDepth3_cm,Mean_ThawDepth_cm,Soil_Temperature_degCelsius_12cm,Volumetric_Water_Content_Upper12cm_Percent,WaterLevel_cm,Maximum_Vegetation_ Height_cm,Snow_Depth_May_2024_cm,NDVI_July2024,MTI_2024
86,70.73378632,-153.8555112,7847928.481,468495.819,28,29,32,30,6.7,79,-9999,26,38,0.73,-0.35
87,70.73377825,-153.8557822,7847927.721,468485.826,24,26,26,25,4.6,100,12,39,47,0.56,-0.3
88,70.73368776,-153.8557531,7847917.615,468486.754,28,28,28,28,6.7,100,5,25,45,0.53,-0.37
89,70.73369637,-153.8554825,7847918.435,468496.735,24,25,26,25,4.5,53,-9999,21,34,0.57,-0.32
90,70.73370624,-153.8552144,7847919.396,468506.62,17,19,20,19,1.9,47.2,-9999,24,41,0.65,-0.31
91,70.73371618,-153.8549417,7847920.363,468516.678,30,31,31,31,6.6,100,10,34,27,0.6,-0.24
92,70.73372636,-153.854673,7847921.359,468526.588,28,28,27,28,6.4,100,8,27,23,0.64,-0.15
93,70.73373612,-153.8544029,7847922.308,468536.549,23,23,24,23,4.2,66.4,-9999,21,25,0.59,-0.22
94,70.73374486,-153.8541318,7847923.142,468546.547,17,17,18,17,2.6,63.4,-9999,17,39,0.48,-0.34
95,70.73375451,-153.8538639,7847924.079,468556.425,20,20,20,20,3.6,72.5,-9999,22,37,0.62,-0.34
96,70.73376424,-153.853591,7847925.023,468566.489,28,28,28,28,4.9,100,6,38,54,0.6,-0.16
97,70.733773,-153.8533243,7847925.862,468576.324,22,22,22,22,3.6,100,5,23,58,0.6,-0.24
98,70.73378158,-153.8530532,7847926.678,468586.321,25,25,25,25,5.1,100,14,47,40,0.67,-0.29
99,70.73369089,-153.8530225,7847916.549,468587.311,24,24,24,24,2.6,69.3,-9999,32,40,0.66,-0.27
100,70.73368194,-153.8532922,7847915.69,468577.363,24,24,24,24,5.2,100,17,35,46,0.53,-0.23
101,70.733673,-153.853563,7847914.834,468567.379,27,27,27,27,6.2,100,11,32,22,0.62,-0.23
102,70.73366387,-153.8538314,7847913.954,468557.482,28,27,26,27,5.6,62.4,-9999,23,39,0.61,-0.2
103,70.73365452,-153.8541006,7847913.051,468547.552,19,19,19,19,0.9,57.2,-9999,24,53,0.67,-0.16
104,70.73364539,-153.8543679,7847912.172,468537.695,23,23,25,24,4.1,76.9,-9999,40,43,0.71,-0.21
105,70.73363583,-153.854637,7847911.245,468527.773,20,22,19,20,1.1,61.5,-9999,22,37,0.66,-0.15
106,70.73362807,-153.854911,7847910.522,468517.672,25,26,27,26,5,88.6,-9999,32,26,0.7,-0.32
107,70.733618,-153.8551881,7847909.542,468507.451,27,27,27,27,6.2,100,17,42,31,0.43,-0.37
108,70.73360847,-153.8554546,7847908.618,468497.623,26,26,26,26,5.9,100,15,38,36,0.61,-0.34
109,70.73359844,-153.8557251,7847907.64,468487.645,27,27,27,27,6.3,80,-9999,20,19,0.64,-0.3
110,70.73351019,-153.8557037,7847897.788,468488.296,21,22,23,22,2.5,58,-9999,20,50,0.69,-0.18
111,70.73351949,-153.8554239,7847898.679,468498.614,31,30,30,30,6.7,100,6,32,51,0.72,-0.17
112,70.73352967,-153.8551533,7847899.674,468508.594,30,31,31,31,6.3,100,6,27,34,0.62,-0.22
113,70.73353926,-153.8548863,7847900.605,468518.439,22,19,22,21,3.3,73.9,-9999,25,20,0.67,-0.09
114,70.73354935,-153.8546146,7847901.589,468528.462,33,34,35,34,7.6,70.8,-9999,25,51,0.57,-0.34
115,70.73355842,-153.8543472,7847902.462,468538.321,22,22,23,22,3.9,61.5,-9999,25,28,0.65,-0.2
116,70.73356868,-153.854077,7847903.466,468548.288,32,32,32,32,7.1,100,7,27,50,0.72,-0.36
117,70.73357831,-153.8538033,7847904.399,468558.382,15,15,13,14,0.3,51.2,-9999,28,44,0.71,-0.26
118,70.73358567,-153.8535351,7847905.08,468568.27,29,27,26,27,5.6,80.2,-9999,27,37,0.56,-0.35
119,70.73359581,-153.8532647,7847906.071,468578.243,24,25,26,25,4.7,66.6,-9999,22,23,0.61,-0.36
120,70.73360572,-153.8529947,7847907.037,468588.198,24,24,24,24,3,61.2,-9999,22,15,0.56,-0.25
