site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,method,obs_limit,source
LCP_2024_17.0,07/21/2024,70.73435008,-153.8548806,30.0,1,,tp,100,Jones_Jones_2025
LCP_2024_18.0,07/21/2024,70.7343399,-153.8551479,18.0,1,,tp,100,Jones_Jones_2025
LCP_2024_19.0,07/21/2024,70.73433021,-153.8554179,18.0,1,,tp,100,Jones_Jones_2025
LCP_2024_20.0,07/21/2024,70.73432031,-153.8556884,16.0,1,,tp,100,Jones_Jones_2025
LCP_2024_21.0,07/21/2024,70.73431144,-153.8559566,19.0,1,,tp,100,Jones_Jones_2025
LCP_2024_22.0,07/21/2024,70.73422413,-153.8559302,17.0,1,,tp,100,Jones_Jones_2025
LCP_2024_23.0,07/21/2024,70.73423408,-153.8556627,21.0,1,,tp,100,Jones_Jones_2025
LCP_2024_24.0,07/21/2024,70.73424361,-153.8553916,27.0,1,,tp,100,Jones_Jones_2025
LCP_2024_25.0,07/21/2024,70.73425277,-153.8551214,30.0,1,,tp,100,Jones_Jones_2025
LCP_2024_26.0,07/21/2024,70.73426178,-153.8548515,22.0,1,,tp,100,Jones_Jones_2025
LCP_2024_27.0,07/21/2024,70.7342711,-153.8545817,19.0,1,,tp,100,Jones_Jones_2025
LCP_2024_28.0,07/21/2024,70.73428061,-153.8543118,14.0,1,,tp,100,Jones_Jones_2025
LCP_2024_29.0,07/21/2024,70.73428905,-153.8540428,22.0,1,,tp,100,Jones_Jones_2025
LCP_2024_30.0,07/21/2024,70.7342978,-153.8537701,23.0,1,,tp,100,Jones_Jones_2025
LCP_2024_31.0,07/21/2024,70.73430693,-153.8535025,19.0,1,,tp,100,Jones_Jones_2025
LCP_2024_32.0,07/21/2024,70.73431533,-153.8532295,21.0,1,,tp,100,Jones_Jones_2025
LCP_2024_33.0,07/21/2024,70.73422585,-153.8532036,21.0,1,,tp,100,Jones_Jones_2025
LCP_2024_34.0,07/21/2024,70.73421578,-153.8534707,30.0,1,,tp,100,Jones_Jones_2025
LCP_2024_35.0,07/21/2024,70.73420531,-153.8537417,24.0,1,,tp,100,Jones_Jones_2025
LCP_2024_36.0,07/21/2024,70.73419637,-153.8540122,20.0,1,,tp,100,Jones_Jones_2025
LCP_2024_37.0,07/21/2024,70.73418702,-153.8542817,30.0,1,,tp,100,Jones_Jones_2025
LCP_2024_38.0,07/21/2024,70.73417855,-153.8545538,17.0,1,,tp,100,Jones_Jones_2025
LCP_2024_39.0,07/21/2024,70.73417099,-153.8548221,23.0,1,,tp,100,Jones_Jones_2025
LCP_2024_40.0,07/21/2024,70.73416177,-153.8550926,19.0,1,,tp,100,Jones_Jones_2025
LCP_2024_41.0,07/21/2024,70.73415257,-153.8553613,19.0,1,,tp,100,Jones_Jones_2025
LCP_2024_42.0,07/21/2024,70.73414313,-153.8556319,24.0,1,,tp,100,Jones_Jones_2025
LCP_2024_43.0,07/21/2024,70.73413479,-153.8558986,28.0,1,,tp,100,Jones_Jones_2025
LCP_2024_44.0,07/21/2024,70.7340448,-153.8558714,25.0,1,,tp,100,Jones_Jones_2025
LCP_2024_45.0,07/21/2024,70.73405408,-153.8556012,22.0,1,,tp,100,Jones_Jones_2025
LCP_2024_46.0,07/21/2024,70.73406379,-153.8553333,23.0,1,,tp,100,Jones_Jones_2025
LCP_2024_47.0,07/21/2024,70.73407316,-153.8550606,22.0,1,,tp,100,Jones_Jones_2025
LCP_2024_48.0,07/21/2024,70.73408156,-153.8547927,30.0,1,,tp,100,Jones_Jones_2025
LCP_2024_49.0,07/21/2024,70.73409006,-153.8545234,26.0,1,,tp,100,Jones_Jones_2025
LCP_2024_50.0,07/21/2024,70.73409901,-153.8542541,24.0,1,,tp,100,Jones_Jones_2025
LCP_2024_51.0,07/21/2024,70.73410883,-153.8539846,27.0,1,,tp,100,Jones_Jones_2025
LCP_2024_52.0,07/21/2024,70.73411799,-153.8537157,17.0,1,,tp,100,Jones_Jones_2025
LCP_2024_53.0,07/21/2024,70.73412821,-153.8534449,18.0,1,,tp,100,Jones_Jones_2025
LCP_2024_54.0,07/21/2024,70.73413585,-153.8531712,23.0,1,,tp,100,Jones_Jones_2025
LCP_2024_55.0,07/21/2024,70.73404714,-153.8531451,32.0,1,,tp,100,Jones_Jones_2025
LCP_2024_56.0,07/21/2024,70.7340386,-153.8534164,26.0,1,,tp,100,Jones_Jones_2025
LCP_2024_57.0,07/21/2024,70.73402863,-153.8536862,24.0,1,,tp,100,Jones_Jones_2025
LCP_2024_58.0,07/21/2024,70.73401985,-153.8539554,22.0,1,,tp,100,Jones_Jones_2025
LCP_2024_59.0,07/21/2024,70.73401096,-153.8542266,26.0,1,,tp,100,Jones_Jones_2025
LCP_2024_60.0,07/21/2024,70.73400188,-153.8544937,34.0,1,,tp,100,Jones_Jones_2025
LCP_2024_61.0,07/21/2024,70.73399269,-153.8547652,31.0,1,,tp,100,Jones_Jones_2025
LCP_2024_62.0,07/21/2024,70.73398431,-153.8550344,29.0,1,,tp,100,Jones_Jones_2025
LCP_2024_63.0,07/21/2024,70.73397432,-153.855305,22.0,1,,tp,100,Jones_Jones_2025
LCP_2024_64.0,07/21/2024,70.73396499,-153.8555736,19.0,1,,tp,100,Jones_Jones_2025
LCP_2024_65.0,07/21/2024,70.73395538,-153.8558436,23.0,1,,tp,100,Jones_Jones_2025
LCP_2024_66.0,07/21/2024,70.73386848,-153.8558108,30.0,1,,tp,100,Jones_Jones_2025
LCP_2024_67.0,07/21/2024,70.73387982,-153.8555434,22.0,1,,tp,100,Jones_Jones_2025
LCP_2024_68.0,07/21/2024,70.73388856,-153.855275,26.0,1,,tp,100,Jones_Jones_2025
LCP_2024_69.0,07/21/2024,70.73389772,-153.8550017,28.0,1,,tp,100,Jones_Jones_2025
LCP_2024_70.0,07/21/2024,70.73390401,-153.8547335,19.0,1,,tp,100,Jones_Jones_2025
LCP_2024_71.0,07/21/2024,70.73391466,-153.8544665,21.0,1,,tp,100,Jones_Jones_2025
LCP_2024_72.0,07/21/2024,70.73392399,-153.854195,24.0,1,,tp,100,Jones_Jones_2025
LCP_2024_73.0,07/21/2024,70.73393271,-153.8539239,25.0,1,,tp,100,Jones_Jones_2025
LCP_2024_74.0,07/21/2024,70.73394168,-153.8536542,27.0,1,,tp,100,Jones_Jones_2025
LCP_2024_75.0,07/21/2024,70.73394967,-153.8533846,20.0,1,,tp,100,Jones_Jones_2025
LCP_2024_76.0,07/21/2024,70.73395877,-153.8531144,17.0,1,,tp,100,Jones_Jones_2025
LCP_2024_77.0,07/21/2024,70.73387031,-153.8530834,20.0,1,,tp,100,Jones_Jones_2025
LCP_2024_78.0,07/21/2024,70.73386129,-153.8533535,27.0,1,,tp,100,Jones_Jones_2025
LCP_2024_79.0,07/21/2024,70.7338518,-153.8536213,21.0,1,,tp,100,Jones_Jones_2025
LCP_2024_80.0,07/21/2024,70.73384231,-153.8538929,28.0,1,,tp,100,Jones_Jones_2025
LCP_2024_81.0,07/21/2024,70.7338326,-153.8541622,21.0,1,,tp,100,Jones_Jones_2025
LCP_2024_82.0,07/21/2024,70.73382411,-153.8544298,27.0,1,,tp,100,Jones_Jones_2025
LCP_2024_83.0,07/21/2024,70.73381533,-153.854701,23.0,1,,tp,100,Jones_Jones_2025
