GridID,Lat_Decimal_Degrees,Long_Decimal_Degrees,Northing_m,Easting_m,ThawDepth1_cm,ThawDepth2_cm,ThawDepth3_cm,Mean_ThawDepth_cm,Soil_Temperature_degCelsius_12cm,Volumetric_Water_Content_Upper12cm_Percent,WaterLevel_cm,Maximum_Vegetation_ Height_cm,Snow_Depth_May_2024_cm,NDVI_July2024,MTI_2024
35,70.72344975,-153.8352323,7846765.374,469226.6848,27,28,28,28,5.4,52.8,-9999,21,40,0.71,-0.34
36,70.72344849,-153.8355036,7846765.371,469216.6848,24,26,26,25,3.7,51.6,-9999,23,22,0.76,-0.23
37,70.72344723,-153.835775,7846765.368,469206.6848,25,27,28,27,4.7,53.9,-9999,32,41,0.78,-0.31
38,70.72344597,-153.8360464,7846765.366,469196.6848,25,25,24,25,3.4,55.3,-9999,30,45,0.6,-0.45
39,70.72344471,-153.8363178,7846765.363,469186.6848,32,33,33,33,4.6,43.3,-9999,22,40,0.63,-0.62
40,70.72344345,-153.8365891,7846765.36,469176.6848,17,18,19,18,2.4,48.6,-9999,18,38,0.83,-0.32
41,70.72344219,-153.8368605,7846765.357,469166.6848,20,20,20,20,3.1,55.2,-9999,18,47,0.82,-0.34
42,70.72344093,-153.8371319,7846765.354,469156.6848,34,34,35,34,6.2,67.7,-9999,22,63,0.82,-0.54
43,70.72343967,-153.8374033,7846765.352,469146.6848,37,38,39,38,7.2,100,3,18,47,0.59,-0.48
44,70.72335001,-153.8373995,7846755.352,469146.6848,32,34,36,34,8.2,100,1,24,32,0.8,-0.42
45,70.72335127,-153.8371281,7846755.354,469156.6848,16,16,20,17,2.4,53.2,-9999,16,51,0.66,-0.45
46,70.72335253,-153.8368568,7846755.357,469166.6848,20,21,20,20,2.9,53.9,-9999,20,34,0.69,-0.4
47,70.72335379,-153.8365854,7846755.36,469176.6848,25,26,26,26,5.5,55.9,-9999,24,28,0.71,-0.44
48,70.72335506,-153.836314,7846755.363,469186.6848,25,26,30,27,4.8,74.4,-9999,28,41,0.64,-0.58
49,70.72335632,-153.8360426,7846755.366,469196.6848,24,25,26,25,4,51.4,-9999,24,21,0.69,-0.39
50,70.72335757,-153.8357713,7846755.368,469206.6848,25,25,24,25,5,46.5,-9999,17,34,0.67,-0.35
51,70.72335883,-153.8354999,7846755.371,469216.6848,21,22,23,22,3.1,49.1,-9999,35,17,0.65,-0.33
52,70.72336009,-153.8352285,7846755.374,469226.6848,20,20,21,20,3.1,50.9,-9999,40,24,0.73,-0.37
53,70.72336135,-153.8349571,7846755.377,469236.6848,30,32,32,31,8,74.1,-9999,40,32,0.74,-0.53
54,70.72336261,-153.8346858,7846755.379,469246.6848,20,20,18,19,3,47.9,-9999,22,14,0.47,-0.35
55,70.72327295,-153.834682,7846745.379,469246.6848,26,27,28,27,4.4,61.6,-9999,26,13,0.73,-0.5
56,70.7232717,-153.8349534,7846745.377,469236.6848,14,16,17,16,1.6,51.7,-9999,20,13,0.68,-0.47
57,70.72327044,-153.8352248,7846745.374,469226.6848,38,40,41,40,6.4,100,9,53,63,0.73,-0.46
58,70.72326918,-153.8354962,7846745.371,469216.6848,30,31,33,31,7.8,90,-9999,36,39,0.56,-0.45
59,70.72326792,-153.8357675,7846745.368,469206.6848,26,25,23,25,4.4,54.5,-9999,32,29,0.8,-0.45
60,70.72326666,-153.8360389,7846745.366,469196.6848,14,14,14,14,1.3,66.8,-9999,25,36,0.77,-0.43
61,70.7232654,-153.8363103,7846745.363,469186.6848,21,21,23,22,2.7,59.4,-9999,25,42,0.72,-0.38
62,70.72326414,-153.8365817,7846745.36,469176.6848,14,15,16,15,0.3,51.9,-9999,23,45,0.63,-0.34
