GridID,Lat_Decimal_Degrees,Long_Decimal_Degrees,Northing_m,Easting_m,ThawDepth1_cm,ThawDepth2_cm,ThawDepth3_cm,Mean_ThawDepth_cm,Soil_Temperature_degCelsius_12cm,Volumetric_Water_Content_Upper12cm_Percent,WaterLevel_cm,Maximum_Vegetation_ Height_cm
20,70.73432031,-153.8556884,7847988.122,468490.134,16,16,15,16,1,64.5,-9999,15
21,70.73431144,-153.8559566,7847987.272,468480.243,19,18,19,19,1.5,63.3,-9999,25
22,70.73422413,-153.8559302,7847977.521,468481.078,17,20,17,18,2.9,65.9,-9999,19
23,70.73423408,-153.8556627,7847978.492,468490.944,22,22,22,22,3.4,57.7,-9999,22
24,70.73424361,-153.8553916,7847979.414,468500.94,29,30,28,29,6.1,100,7,26
25,70.73425277,-153.8551214,7847980.295,468510.904,30,30,31,30,6.6,100,13,31
26,70.73426178,-153.8548515,7847981.16,468520.858,21,22,22,22,2.9,74.9,-9999,24
27,70.7342711,-153.8545817,7847982.06,468530.808,18,18,18,18,1.6,55.7,-9999,15
28,70.73428061,-153.8543118,7847982.98,468540.758,17,18,20,18,2.2,100,11,32
29,70.73428905,-153.8540428,7847983.782,468550.676,14,13,13,13,4.1,67.4,-9999,14
30,70.7342978,-153.8537701,7847984.616,468560.734,25,22,24,24,1.6,61.5,-9999,21
31,70.73430693,-153.8535025,7847985.496,468570.601,23,22,21,22,3.8,100,11,40
32,70.73431533,-153.8532295,7847986.292,468580.668,22,21,21,21,4.2,100,16,48
33,70.73422585,-153.8532036,7847976.3,468581.479,21,20,21,21,3.7,66.5,-9999,26
34,70.73421578,-153.8534707,7847975.315,468571.628,29,30,29,29,6.1,100,9,17
35,70.73420531,-153.8537417,7847974.288,468561.632,21,20,23,21,2.8,100,10,47
36,70.73419637,-153.8540122,7847973.431,468551.659,18,18,19,18,1.9,52.1,-9999,24
37,70.73418702,-153.8542817,7847972.528,468541.721,28,29,30,29,5.9,100,8,35
38,70.73417855,-153.8545538,7847971.724,468531.689,16,17,19,17,3.6,100,14,33
39,70.73417099,-153.8548221,7847971.02,468521.796,21,21,23,22,2.6,63.4,-9999,24
40,70.73416177,-153.8550926,7847970.132,468511.821,24,22,23,23,1.9,64.9,-9999,36
41,70.73415257,-153.8553613,7847969.246,468501.912,19,19,19,19,1.9,61.3,-9999,18
42,70.73414313,-153.8556319,7847968.334,468491.934,22,24,22,23,3.9,70.2,-9999,22
