easting_m	northing_m	elevation_m	twt_ns	alt_m
353935.1599	7047317.024	1194.367965	14.461274	0.7231
353935.2086	7047317.032	1194.370686	14.666398	0.7333
353935.2557	7047317.049	1194.369187	14.871523	0.7436
353935.3028	7047317.066	1194.367688	15.076647	0.7538
353935.3499	7047317.083	1194.366189	15.281772	0.7641
353935.397	7047317.1	1194.36469	15.281772	0.7641
353935.4441	7047317.116	1194.363191	15.486896	0.7743
353942.9706	7047302.129	1189.724348	17.640703	0.882
353942.9325	7047302.096	1189.716425	17.845827	0.8923
353942.8944	7047302.064	1189.708502	17.897108	0.8949
353942.8533	7047302.035	1189.711126	17.94839	0.8974
353942.8123	7047302.007	1189.71375	17.999671	0.9
353942.7666	7047301.988	1189.737322	18.050952	0.9025
353942.721	7047301.969	1189.760895	17.94839	0.8974
353942.6794	7047301.942	1189.759955	17.845827	0.8923
353942.6379	7047301.914	1189.759015	17.845827	0.8923
353942.5964	7047301.886	1189.758075	17.538141	0.8769
353942.5548	7047301.858	1189.757136	17.127892	0.8564
353942.5141	7047301.829	1189.762429	16.922767	0.8461
353942.4734	7047301.8	1189.767722	16.717643	0.8359
353942.434	7047301.769	1189.782526	16.615081	0.8308
353942.3945	7047301.739	1189.79733	16.615081	0.8308
353942.351	7047301.715	1189.821594	16.717643	0.8359
353942.3075	7047301.691	1189.845858	16.717643	0.8359
353942.2677	7047301.661	1189.893536	16.922767	0.8461
353942.2279	7047301.63	1189.941211	17.127892	0.8564
353942.1937	7047301.595	1189.970997	17.435578	0.8718
353942.1594	7047301.559	1190.000782	17.640703	0.882
353942.1344	7047301.516	1190.011992	17.743265	0.8872
353942.1095	7047301.473	1190.023203	18.256076	0.9128
353942.0823	7047301.431	1190.036018	18.666325	0.9333
353942.0551	7047301.389	1190.048833	18.666325	0.9333
353942.0213	7047301.352	1190.066445	18.666325	0.9333
353941.9875	7047301.316	1190.084058	18.563763	0.9282
353941.9533	7047301.279	1190.094474	18.461201	0.9231
353941.9191	7047301.243	1190.10489	18.256076	0.9128
353941.8847	7047301.206	1190.113211	18.050952	0.9025
353941.8503	7047301.17	1190.121532	17.94839	0.8974
353941.8159	7047301.134	1190.129853	18.050952	0.9025
353941.7816	7047301.097	1190.138174	18.050952	0.9025
353941.7419	7047301.068	1190.155775	18.050952	0.9025
353941.7022	7047301.038	1190.173375	17.743265	0.8872
353941.6593	7047301.013	1190.200876	17.538141	0.8769
353941.6164	7047300.987	1190.228377	17.02533	0.8513
353941.5772	7047300.957	1190.267132	16.820205	0.841
353941.538	7047300.926	1190.305885	16.409956	0.8205
353941.5048	7047300.889	1190.315696	16.307394	0.8154
353941.4716	7047300.852	1190.325508	16.307394	0.8154
353941.4318	7047300.823	1190.364164	16.512518	0.8256
353941.3921	7047300.794	1190.402823	16.717643	0.8359
353941.3521	7047300.765	1190.432287	17.333016	0.8667
353941.3121	7047300.736	1190.461752	17.435578	0.8718
353941.2799	7047300.698	1190.466349	17.845827	0.8923
353941.2477	7047300.66	1190.470946	17.94839	0.8974
353941.2197	7047300.618	1190.477786	18.050952	0.9025
353941.1918	7047300.577	1190.484626	18.256076	0.9128
353941.1659	7047300.534	1190.492582	18.256076	0.9128
353941.1401	7047300.491	1190.500537	18.256076	0.9128
353941.1144	7047300.449	1190.507997	18.256076	0.9128
