easting_m	northing_m	elevation_m	twt_ns	alt_m
638528.7838	7040144.064	1178.857625	12.01	0.6005
638528.8174	7040144.101	1178.852566	11.813115	0.5907
638528.8509	7040144.138	1178.847506	11.025574	0.5513
638528.8845	7040144.175	1178.842447	10.631803	0.5316
638528.9161	7040144.214	1178.838085	10.434918	0.5217
638528.9459	7040144.254	1178.834376	10.434918	0.5217
638528.9757	7040144.294	1178.830667	10.238033	0.5119
638529.0055	7040144.335	1178.826959	10.238033	0.5119
638529.0353	7040144.375	1178.82325	10.238033	0.5119
638529.0651	7040144.415	1178.819541	10.631803	0.5316
638529.1034	7040144.442	1178.80639	10.828688	0.5414
638529.1291	7040144.485	1178.810109	10.828688	0.5414
638529.1528	7040144.529	1178.816643	10.828688	0.5414
638529.1699	7040144.576	1178.832986	10.828688	0.5414
638529.1871	7040144.623	1178.84933	10.828688	0.5414
638529.2042	7040144.67	1178.865673	10.828688	0.5414
638529.2213	7040144.717	1178.882017	10.828688	0.5414
638529.2384	7040144.764	1178.89836	10.828688	0.5414
638529.2644	7040144.806	1178.898331	10.828688	0.5414
638529.2921	7040144.848	1178.895148	11.025574	0.5513
638529.3198	7040144.889	1178.891964	11.025574	0.5513
638529.3475	7040144.931	1178.888781	11.222459	0.5611
638529.3752	7040144.973	1178.885598	11.222459	0.5611
638529.4029	7040145.014	1178.882414	11.222459	0.5611
638529.4306	7040145.056	1178.879231	11.222459	0.5611
638529.4583	7040145.097	1178.876048	11.222459	0.5611
638529.486	7040145.139	1178.872864	11.025574	0.5513
638529.5164	7040145.179	1178.862617	11.025574	0.5513
638529.5506	7040145.215	1178.842382	10.828688	0.5414
638529.5848	7040145.252	1178.822148	10.828688	0.5414
638529.619	7040145.288	1178.801914	10.828688	0.5414
638529.6531	7040145.325	1178.783581	10.828688	0.5414
638529.6863	7040145.362	1178.779925	10.828688	0.5414
638529.7195	7040145.399	1178.77627	10.828688	0.5414
638529.7528	7040145.437	1178.772614	10.828688	0.5414
638529.7873	7040145.473	1178.770733	10.828688	0.5414
638529.8228	7040145.508	1178.770254	10.828688	0.5414
638529.8584	7040145.543	1178.769775	10.828688	0.5414
638529.8939	7040145.578	1178.769296	10.828688	0.5414
638529.9294	7040145.613	1178.768817	11.025574	0.5513
638542.4779	7040163.284	1178.39119	11.025574	0.5513
638542.4993	7040163.329	1178.397293	11.025574	0.5513
638542.5207	7040163.374	1178.403395	11.419344	0.571
638542.542	7040163.419	1178.409498	11.419344	0.571
638542.5634	7040163.464	1178.4156	11.517787	0.5759
638542.5848	7040163.51	1178.421703	11.616229	0.5808
638542.6062	7040163.555	1178.427806	11.616229	0.5808
638542.6275	7040163.6	1178.433909	11.616229	0.5808
638542.6489	7040163.645	1178.440011	11.616229	0.5808
638542.6699	7040163.691	1178.436386	11.616229	0.5808
638542.6906	7040163.736	1178.428059	11.616229	0.5808
638542.7114	7040163.782	1178.419731	11.616229	0.5808
638543.7498	7040165.079	1178.467382	12.206885	0.6103
638543.7629	7040165.127	1178.490013	12.206885	0.6103
638543.7759	7040165.176	1178.512642	12.206885	0.6103
638543.7889	7040165.224	1178.535272	12.206885	0.6103
638543.802	7040165.272	1178.557902	12.206885	0.6103
638543.815	7040165.32	1178.58053	12.40377	0.6202
638543.846	7040165.36	1178.582497	12.40377	0.6202
638543.8774	7040165.398	1178.584026	12.40377	0.6202
638543.9088	7040165.437	1178.585555	12.40377	0.6202
638543.9402	7040165.476	1178.587084	12.600656	0.63
638543.9716	7040165.515	1178.588613	13.191311	0.6596
638544.003	7040165.554	1178.590142	13.388197	0.6694
638544.0344	7040165.593	1178.591671	13.486639	0.6743
638544.0658	7040165.632	1178.5932	13.585082	0.6793
638544.0972	7040165.671	1178.594729	13.781967	0.6891
638544.1248	7040165.712	1178.590445	13.781967	0.6891
638544.1515	7040165.755	1178.584907	13.781967	0.6891
638544.1782	7040165.797	1178.57937	13.781967	0.6891
638544.2049	7040165.839	1178.573833	13.781967	0.6891
638544.2316	7040165.882	1178.568295	13.781967	0.6891
638544.2501	7040165.927	1178.574954	14.372623	0.7186
638544.2628	7040165.976	1178.590249	14.766393	0.7383
638544.2754	7040166.024	1178.605543	14.766393	0.7383
638544.2905	7040166.072	1178.620137	14.766393	0.7383
638544.3094	7040166.118	1178.633599	14.766393	0.7383
638544.3283	7040166.164	1178.647061	14.766393	0.7383
638544.3471	7040166.211	1178.660524	14.766393	0.7383
638544.366	7040166.257	1178.673986	14.766393	0.7383
638544.3849	7040166.303	1178.687448	15.1326	0.7566
638544.4038	7040166.349	1178.70091	15.1326	0.7566
638544.8475	7040167.156	1178.998228	13.9316	0.6966
638544.8859	7040167.188	1179.010016	13.9316	0.6966
638544.9205	7040167.224	1179.012838	13.9316	0.6966
638544.9548	7040167.26	1179.014844	13.9316	0.6966
638544.9891	7040167.296	1179.01685	13.9316	0.6966
638545.0234	7040167.333	1179.018856	13.9316	0.6966
638545.0577	7040167.369	1179.020861	13.9316	0.6966
638545.092	7040167.406	1179.022867	13.9316	0.6966
638545.1263	7040167.442	1179.024873	13.9316	0.6966
638545.1606	7040167.478	1179.026879	13.99165	0.6996
638545.1933	7040167.516	1179.02983	14.0517	0.7026
638545.2239	7040167.556	1179.033981	14.201825	0.7101
638545.2546	7040167.595	1179.038132	14.35195	0.7176
638545.2852	7040167.635	1179.042283	14.502075	0.7251
638545.3163	7040167.674	1179.046651	14.6522	0.7326
638545.3504	7040167.71	1179.052868	14.71225	0.7356
638545.3845	7040167.747	1179.059086	14.7723	0.7386
638545.4186	7040167.784	1179.065304	14.8924	0.7446
638545.4527	7040167.82	1179.071522	14.972467	0.7486
638545.4868	7040167.857	1179.077739	15.052533	0.7526
638545.5249	7040167.889	1179.070014	15.1326	0.7566
638545.5654	7040167.918	1179.054324	15.1326	0.7566
638545.6058	7040167.947	1179.038633	15.1326	0.7566
638545.6455	7040167.978	1179.024578	15.0125	0.7506
