easting_m,northing_m,elevation_m,twt_ns,alt_m
638511.3861,7040144.432,1181.731141,13.012299,0.6506
638511.3401,7040144.452,1181.707814,12.924378,0.6462
638511.2925,7040144.466,1181.681837,13.012299,0.6506
638511.2437,7040144.477,1181.654251,13.10022,0.655
638511.195,7040144.489,1181.626663,13.188141,0.6594
638511.1501,7040144.508,1181.607826,13.188141,0.6594
638511.1097,7040144.538,1181.598916,13.188141,0.6594
638511.0692,7040144.567,1181.590005,13.188141,0.6594
638511.0288,7040144.597,1181.581095,13.188141,0.6594
638510.9853,7040144.62,1181.563876,13.188141,0.6594
638510.9392,7040144.64,1181.539592,13.10022,0.655
638510.8931,7040144.659,1181.515308,12.924378,0.6462
638510.847,7040144.679,1181.491023,12.836457,0.6418
638510.8009,7040144.698,1181.466738,12.660616,0.633
638510.7548,7040144.717,1181.442453,12.484774,0.6242
638510.7082,7040144.735,1181.489832,12.396853,0.6198
638510.6583,7040144.738,1181.501693,12.660616,0.633
638510.6084,7040144.741,1181.513555,13.10022,0.655
638510.5599,7040144.75,1181.525923,13.276062,0.6638
638505.8035,7040147.38,1181.978422,4.308126,0.2154
638505.7634,7040147.41,1181.954801,3.69268,0.1846
638505.7232,7040147.44,1181.93118,3.69268,0.1846
638505.6831,7040147.469,1181.907558,3.69268,0.1846
638505.6429,7040147.499,1181.883938,3.69268,0.1846
638505.6023,7040147.528,1181.861139,3.7806,0.189
638505.5556,7040147.546,1181.849055,4.308126,0.2154
638505.5089,7040147.564,1181.836972,4.308126,0.2154
638505.4622,7040147.582,1181.824888,4.65981,0.233
638505.4155,7040147.6,1181.812805,4.791691,0.2396
638505.3684,7040147.616,1181.806473,4.923573,0.2462
638505.3209,7040147.632,1181.80546,5.055454,0.2528
638505.2734,7040147.647,1181.804446,5.187336,0.2594
638505.2311,7040147.672,1181.799948,5.275256,0.2638
638505.1929,7040147.705,1181.792714,5.363177,0.2682
638505.1547,7040147.737,1181.785481,5.451098,0.2726
638505.1165,7040147.769,1181.778247,5.539019,0.277
638505.0783,7040147.801,1181.771014,5.62694,0.2813
638505.0403,7040147.834,1181.764093,5.714861,0.2857
638505.0089,7040147.873,1181.767151,5.978624,0.2989
638504.9774,7040147.912,1181.77021,6.242387,0.3121
638504.946,7040147.95,1181.773268,6.330308,0.3165
638504.9146,7040147.989,1181.776327,6.418229,0.3209
638504.8825,7040148.028,1181.778162,6.418229,0.3209
638504.8455,7040148.061,1181.771504,6.418229,0.3209
638504.8086,7040148.095,1181.764846,6.418229,0.3209
638504.7717,7040148.129,1181.758188,6.418229,0.3209
638504.7347,7040148.162,1181.751531,6.418229,0.3209
638504.6953,7040148.193,1181.750332,6.418229,0.3209
638504.6531,7040148.22,1181.755296,6.462189,0.3231
638504.6109,7040148.246,1181.760261,6.50615,0.3253
638504.5687,7040148.273,1181.765226,6.681992,0.3341
638504.5265,7040148.3,1181.77019,6.681992,0.3341
638504.4843,7040148.327,1181.775871,6.857833,0.3429
638504.442,7040148.354,1181.803746,7.209517,0.3605
638504.3996,7040148.38,1181.828706,7.297438,0.3649
638504.3563,7040148.405,1181.825576,7.47328,0.3737
638504.3129,7040148.43,1181.822447,7.561201,0.3781
638504.2696,7040148.455,1181.819317,7.649122,0.3825
638504.2266,7040148.48,1181.815768,7.649122,0.3825
638504.1846,7040148.507,1181.811022,7.737043,0.3869
638504.1425,7040148.535,1181.806275,7.737043,0.3869
638504.1005,7040148.562,1181.801529,7.737043,0.3869
638504.0582,7040148.588,1181.797093,7.737043,0.3869
638504.0109,7040148.604,1181.79913,7.737043,0.3869
638503.9636,7040148.621,1181.801167,7.649122,0.3825
638503.9163,7040148.637,1181.803204,7.649122,0.3825
638503.869,7040148.653,1181.805241,7.649122,0.3825
638503.8219,7040148.67,1181.802539,7.649122,0.3825
638503.7749,7040148.687,1181.797022,7.649122,0.3825
638503.7279,7040148.704,1181.791506,7.649122,0.3825
638503.679,7040148.713,1181.802114,7.649122,0.3825
638503.6294,7040148.719,1181.818777,7.649122,0.3825
638503.5798,7040148.725,1181.835441,7.649122,0.3825
638503.5317,7040148.735,1181.852195,7.649122,0.3825
638503.4938,7040148.768,1181.869577,7.824964,0.3912
638503.456,7040148.8,1181.88696,7.824964,0.3912
638503.4182,7040148.833,1181.904342,7.912885,0.3956
638503.3804,7040148.866,1181.921725,8.000806,0.4
638503.3426,7040148.899,1181.939108,8.088727,0.4044
