Name,Longitude,Latitude,Description,Permafrost?,Hit bedrock?,Moss thickness (cm),Active layer thickness (cm),Maximum probe depth,Date and time
EAFB19S3,-146.7971488,64.746047,"cleared area
115 cm
clayey soil
gravel at top
hard to determine if refusal is actually permafrost",0,1,0,,,2024-09-25 12:01:23.8 UTC-07:00
EAFB19S4,-146.797182,64.74623331,"cleared area
too rocky to measure",0,1,0,,,2024-09-25 12:03:39.2 UTC-07:00
EAFB19S5,-146.7983783,64.74604932,"tried many locations to avoid very shallow bedrock
rock at 2 cm",0,1,0,,,2024-09-25 12:07:37.4 UTC-07:00
EAFB19S6,-146.79734,64.74647429,probably rock but hit refusal at 132 cm,0,1,0,,,2024-09-25 12:11:36.0 UTC-07:00
EAFB3S2,-146.8509458,64.77138062,"86 cm to rock
clearing 
gravel layer",0,1,0,,,2024-09-25 12:35:57.2 UTC-07:00
EAFB3S3,-146.8510561,64.77148274,"81 cm to rock
clearing 
gravel layer",0,1,0,,,2024-09-25 12:37:01.2 UTC-07:00
EAFB3S4,-146.8504513,64.77128675,"117 cm to rock
thick birch forest
gravel layer",0,1,0,,,2024-09-25 12:40:06.6 UTC-07:00
EAFB3S5,-146.8509852,64.77164789,"96 cm to rock
thick birch forest
gravel layer",0,1,0,,,2024-09-25 12:42:39.8 UTC-07:00
EAFB3S6,-146.8516928,64.77126109,"81 cm to rock
thick birch forest
gravel layer",0,1,0,,,2024-09-25 12:45:34.6 UTC-07:00
EAFB11S2,-146.8973165,64.74147082,"cleared area 
possibly pf
refusal at 145 cm",0,1,0,,,2024-09-25 13:08:42.6 UTC-07:00
EAFB11S3,-146.8971116,64.74156338,"cleared 
probably gravel or bedrock
124 cm refusal
not sure if pf",0,1,0,,,2024-09-25 13:12:30.8 UTC-07:00
EAFB11S4,-146.8985085,64.74167531,"past human berm
beoke through gravelly layer
refusal at 97 cm

",0,1,0,,,2024-09-25 13:17:12.6 UTC-07:00
EAFB11S5,-146.8967714,64.7413331,"no berm this side
beoke through gravelly layer
refusal at 83 cm
probably
rock",0,1,0,,,2024-09-25 13:20:52.0 UTC-07:00
EAFB12S2,-146.9433151,64.74474486,"98 cm to rock
clearing",0,1,0,,,2024-09-25 13:33:12.2 UTC-07:00
EAFB12S3,-146.943687,64.74476868,"51 cm to rock
clearing",0,1,0,,,2024-09-25 13:34:01.0 UTC-07:00
EAFB12S4,-146.9435419,64.744634,"125 cm to rock
clearing",0,1,0,,,2024-09-25 13:36:01.0 UTC-07:00
EAFB12S5,-146.9422947,64.74450884,"61 cm to rock
spruce forest",0,1,0,,,2024-09-25 13:38:58.2 UTC-07:00
EAFB12S6,-146.9435164,64.74423893,"76 cm to rock
spruce forest",0,1,0,,,2024-09-25 13:42:05.8 UTC-07:00
EAFB13S2,-146.9864874,64.74785719,"cleared area
rock at 55cm",0,1,0,,,2024-09-25 13:52:38.0 UTC-07:00
EAFB13S3,-146.9865635,64.74798065,"cleared area
rock at 65 cm",0,1,0,,,2024-09-25 13:54:42.4 UTC-07:00
EAFB13S4,-146.9870054,64.74831824,"tall birch
109 cm refusal
likely not pf but not sure",0,1,0,,,2024-09-25 14:00:13.4 UTC-07:00
EAFB13S5,-146.9870977,64.74739927,"tall birch
109 cm refusal
likely not pf but not sure
doesnt feel rocky but not same as poker flats
",0,1,0,,,2024-09-25 14:09:45.6 UTC-07:00
EAFB13S6,-146.9850581,64.7476367,"tall birch with some spruce
refusal at 119 cm
does not feel like rock, potentiallypf along with other two non cleared points at this site",0,1,0,,,2024-09-25 14:15:03.2 UTC-07:00
