site,year,date,thaw_depth_cm,pf_observed,temp_C,site_key,Latitude (°N),Longitude (°E)
QT01,2007,2007-08-26,100.0,1,1.8287083333333338,QT01,35.14,93.04
QT01,2008,2008-08-28,100.0,1,1.9742499999999996,QT01,35.14,93.04
QT01,2009,2009-09-15,100.0,1,2.6224166666666666,QT01,35.14,93.04
QT01,2010,2010-08-12,100.0,1,2.674833333333334,QT01,35.14,93.04
QT01,2011,2011-09-07,100.0,1,2.9474583333333335,QT01,35.14,93.04
QT01,2012,2012-08-17,100.0,1,3.087166666666666,QT01,35.14,93.04
QT01,2013,2013-08-23,100.0,1,3.172333333333333,QT01,35.14,93.04
QT03,2004,2004-10-04,200.0,1,0.23,QT03,34.82,92.92
QT03,2005,2005-10-17,200.0,1,0.17,QT03,34.82,92.92
QT03,2006,2006-10-01,200.0,1,0.40195833333333336,QT03,34.82,92.92
QT03,2007,2007-10-07,200.0,1,0.3667916666666666,QT03,34.82,92.92
QT03,2008,2008-10-05,200.0,1,0.3845416666666666,QT03,34.82,92.92
QT03,2009,2009-09-24,200.0,1,0.7523749999999998,QT03,34.82,92.92
QT03,2010,2010-09-25,200.0,1,0.9729166666666665,QT03,34.82,92.92
QT03,2011,2011-09-26,200.0,1,0.9210833333333333,QT03,34.82,92.92
QT03,2012,2012-09-18,240.0,0,0.065125,QT03,34.82,92.92
QT03,2013,2013-10-12,240.0,0,0.05683333333333335,QT03,34.82,92.92
QT03,2014,2014-10-04,240.0,0,0.058434782608695654,QT03,34.82,92.92
Ch01,2003,2003-09-01,100.0,1,1.41,Ch01,34.73,92.89
Ch01,2004,2004-09-07,100.0,1,1.41,Ch01,34.73,92.89
Ch01,2005,2005-09-03,100.0,1,1.54,Ch01,34.73,92.89
Ch01,2006,2006-09-09,160.0,0,0.11,Ch01,34.73,92.89
Ch01,2007,2007-09-12,160.0,0,0.17458333333333334,Ch01,34.73,92.89
Ch01,2008,2008-09-27,160.0,0,0.17850000000000002,Ch01,34.73,92.89
Ch01,2009,2009-09-14,160.0,0,0.2880833333333333,Ch01,34.73,92.89
Ch01,2010,2010-09-23,160.0,0,0.4825,Ch01,34.73,92.89
Ch01,2011,2011-09-06,160.0,0,0.53875,Ch01,34.73,92.89
Ch01,2012,2012-08-20,160.0,0,0.6625,Ch01,34.73,92.89
Ch01,2013,2013-08-24,160.0,0,0.8200833333333333,Ch01,34.73,92.89
Ch01,2014,2014-09-12,160.0,0,0.6861666666666667,Ch01,34.73,92.89
QT05,2004,2004-10-04,210.0,1,1.81,QT05,33.96,92.34
QT05,2005,2005-09-18,210.0,1,1.83,QT05,33.96,92.34
QT05,2006,2006-09-16,210.0,1,2.2507083333333333,QT05,33.96,92.34
QT05,2007,2007-09-06,210.0,1,2.0140833333333332,QT05,33.96,92.34
QT05,2008,2008-09-01,210.0,1,1.7322083333333333,QT05,33.96,92.34
QT05,2009,2009-09-23,210.0,1,2.0424583333333337,QT05,33.96,92.34
QT05,2010,2010-09-27,210.0,1,2.385833333333333,QT05,33.96,92.34
QT05,2011,2011-09-12,210.0,1,2.0883749999999996,QT05,33.96,92.34
QT05,2012,2012-09-15,210.0,1,2.066333333333333,QT05,33.96,92.34
QT05,2013,2013-08-31,210.0,1,2.6501249999999996,QT05,33.96,92.34
Ch04,2002,2002-08-24,50.0,1,2.53025,Ch04,31.82,91.74
Ch04,2003,2003-09-24,95.0,1,0.65,Ch04,31.82,91.74
Ch04,2005,2005-09-29,95.0,1,0.7631666666666667,Ch04,31.82,91.74
Ch04,2006,2006-09-29,95.0,1,0.7631666666666667,Ch04,31.82,91.74
Ch04,2007,2007-10-03,95.0,1,0.29783333333333334,Ch04,31.82,91.74
Ch04,2008,2008-10-04,95.0,1,1.0549166666666665,Ch04,31.82,91.74
Ch04,2009,2009-09-27,95.0,1,0.8085,Ch04,31.82,91.74
Ch04,2010,2010-09-28,95.0,1,0.811,Ch04,31.82,91.74
Ch04,2011,2011-09-23,95.0,1,0.6501666666666667,Ch04,31.82,91.74
Ch04,2012,2012-10-03,95.0,1,0.5074166666666667,Ch04,31.82,91.74
Ch04,2013,2013-10-22,120.0,0,0.04324999999999999,Ch04,31.82,91.74
Ch04,2014,2014-09-25,95.0,1,0.5451666666666667,Ch04,31.82,91.74
Ch04,2015,2015-09-30,50.0,1,1.713583333333333,Ch04,31.82,91.74
Ch04,2016,2016-10-12,120.0,0,0.06166666666666667,Ch04,31.82,91.74
Ch04,2017,2017-10-02,120.0,0,0.34850000000000003,Ch04,31.82,91.74
Ch04,2018,2018-09-29,120.0,0,0.4409166666666666,Ch04,31.82,91.74
ZNHAL,2014,2014-11-01,40.0,0,17.95,ZNHAL,,
ZNHAL,2015,2015-12-25,40.0,0,12.94,ZNHAL,,
ZNHAL,2016,2016-12-26,40.0,0,13.68,ZNHAL,,
ZNHAL,2017,2017-11-23,40.0,0,13.06,ZNHAL,,
ZNHAL,2018,2018-11-17,40.0,0,14.43,ZNHAL,,
ZNHAL,2019,2019-12-01,40.0,0,12.65,ZNHAL,,
ZNHAL,2020,2020-01-05,40.0,0,11.52,ZNHAL,,
AYKAL,2015,2015-09-23,260.0,0,1.86,AYKAL,,
TSHAL,2016,2016-08-24,120.0,1,2.12,TSHAL,,
TSHAL,2017,2017-08-23,120.0,1,1.91,TSHAL,,
TSHAL,2018,2018-08-27,120.0,1,2.1,TSHAL,,
TSHAL,2019,2019-06-16,60.0,1,1.53,TSHAL,,
QT04,2006,2006-09-21,300.0,0,0.5308333333333333,QT04,33.07,91.94
QT04,2007,2007-10-05,300.0,0,0.6,QT04,33.07,91.94
QT04,2008,2008-09-29,300.0,0,0.366083333,QT04,33.07,91.94
QT04,2009,2009-09-29,300.0,0,0.5235416666666668,QT04,33.07,91.94
QT04,2010,2010-09-14,300.0,0,0.7204166666666666,QT04,33.07,91.94
QT04,2011,2011-09-19,300.0,0,0.661,QT04,33.07,91.94
QT04,2012,2012-09-19,300.0,0,0.7535833333333333,QT04,33.07,91.94
QT04,2013,2013-09-04,300.0,0,1.18275,QT04,33.07,91.94
