site_location,source_site_identifier,lat,lon,thaw_depth,pf_observed,date,source_active_layer_text,source_period,site_id,obs_limit,method,source,pf_depth,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_source_unit_or_code_recoded
Yukon Territory,101,60.3,-133.23333333333332,56.0,1,1964-07-01,56,09/1964,Yukon Territory | 101,,unknown,Smith_Burgess_2002,56.0,True,True,True
Yukon Territory,100,60.3,-133.23333333333332,48.0,1,1964-07-01,48,09/1964,Yukon Territory | 100,,unknown,Smith_Burgess_2002,48.0,True,True,True
Yukon Territory,103,60.43333333333333,-133.95,48.0,1,1964-07-01,48,09/1964,Yukon Territory | 103,,unknown,Smith_Burgess_2002,48.0,True,True,True
Yukon Territory,108,60.516666666666666,-134.5,56.0,1,1964-07-01,56,09/1964,Yukon Territory | 108,,unknown,Smith_Burgess_2002,56.0,True,True,True
Kathleen Canyon Dam Site,-,60.75,-137.41666666666666,50.0,1,1961-07-01,30 to 50,09/1961,Kathleen Canyon Dam Site,,unknown,Smith_Burgess_2002,50.0,True,True,True
Alsek River,-,60.583333333333336,-137.25,36.0,1,1961-07-01,30 to 36,09/1961,Alsek River,,unknown,Smith_Burgess_2002,36.0,True,True,True
Yukon Territory,128,61.13333333333333,-135.66666666666666,30.0,1,1964-07-01,30,09/1964,Yukon Territory | 128,,unknown,Smith_Burgess_2002,30.0,True,True,True
Yukon Territory,131,61.38333333333333,-135.91666666666666,61.0,1,1964-07-01,61,09/1964,Yukon Territory | 131,,unknown,Smith_Burgess_2002,61.0,True,True,True
Yukon Territory,116,61.7,-139.95,61.0,1,1964-07-01,61,09/1964,Yukon Territory | 116,,unknown,Smith_Burgess_2002,61.0,True,True,True
Yukon Territory,117,61.733333333333334,-140.01666666666668,76.0,1,1964-07-01,76,09/1964,Yukon Territory | 117,,unknown,Smith_Burgess_2002,76.0,True,True,True
Yukon Territory,118,61.833333333333336,-140.16666666666666,61.0,1,1964-07-01,61,09/1964,Yukon Territory | 118,,unknown,Smith_Burgess_2002,61.0,True,True,True
Yukon Territory,119,61.95,-140.33333333333334,61.0,1,1964-07-01,61,09/1964,Yukon Territory | 119,,unknown,Smith_Burgess_2002,61.0,True,True,True
Yukon Territory,138,62.833333333333336,-136.7,46.0,1,1964-07-01,46,09/1964,Yukon Territory | 138,,unknown,Smith_Burgess_2002,46.0,True,True,True
Yukon Territory,134,62.166666666666664,-136.4,46.0,1,1964-07-01,46,09/1964,Yukon Territory | 134,,unknown,Smith_Burgess_2002,46.0,True,True,True
Yukon Territory,140,63.38333333333333,-136.5,46.0,1,1964-07-01,46,09/1964,Yukon Territory | 140,,unknown,Smith_Burgess_2002,46.0,True,True,True
Yukon Territory,141,63.43333333333333,-137.26666666666668,53.0,1,1964-07-01,53,09/1964,Yukon Territory | 141,,unknown,Smith_Burgess_2002,53.0,True,True,True
Yukon Territory,141,63.43333333333333,-137.26666666666668,79.0,1,1964-07-01,79,09/1964,Yukon Territory | 141,,unknown,Smith_Burgess_2002,79.0,True,True,True
Yukon Territory,143,63.733333333333334,-138.01666666666668,107.0,1,1964-07-01,107,09/1964,Yukon Territory | 143,,unknown,Smith_Burgess_2002,107.0,True,True,True
British Columbia,5,56.7,-122.0,53.0,1,1964-07-01,53,09/1964,British Columbia | 5,,unknown,Smith_Burgess_2002,53.0,True,True,True
British Columbia,11,57.06666666666667,-122.83333333333333,76.0,1,1964-07-01,76,09/1964,British Columbia | 11,,unknown,Smith_Burgess_2002,76.0,True,True,True
British Columbia,13,57.21666666666667,-122.85,61.0,1,1964-07-01,61,09/1964,British Columbia | 13,,unknown,Smith_Burgess_2002,61.0,True,True,True
British Columbia,29,57.833333333333336,-122.96666666666667,53.0,1,1964-07-01,53,09/1964,British Columbia | 29,,unknown,Smith_Burgess_2002,53.0,True,True,True
British Columbia,30,57.833333333333336,-122.96666666666667,53.0,1,1964-07-01,53,09/1964,British Columbia | 30,,unknown,Smith_Burgess_2002,53.0,True,True,True
British Columbia,29,57.833333333333336,-122.96666666666667,61.0,1,1964-07-01,61,09/1964,British Columbia | 29,,unknown,Smith_Burgess_2002,61.0,True,True,True
British Columbia,31,57.95,-122.98333333333333,53.0,1,1964-07-01,53,09/1964,British Columbia | 31,,unknown,Smith_Burgess_2002,53.0,True,True,True
British Columbia,25,57.71666666666667,-123.0,61.0,1,1964-07-01,61,09/1964,British Columbia | 25,,unknown,Smith_Burgess_2002,61.0,True,True,True
British Columbia,26,57.71666666666667,-123.0,38.0,1,1964-07-01,38,09/1964,British Columbia | 26,,unknown,Smith_Burgess_2002,38.0,True,True,True
British Columbia,28,57.71666666666667,-123.0,41.0,1,1964-07-01,41,09/1964,British Columbia | 28,,unknown,Smith_Burgess_2002,41.0,True,True,True
British Columbia,18,57.38333333333333,-123.0,61.0,1,1964-07-01,61,09/1964,British Columbia | 18,,unknown,Smith_Burgess_2002,61.0,True,True,True
British Columbia,16,57.3,-123.0,61.0,1,1964-07-01,61,09/1964,British Columbia | 16,,unknown,Smith_Burgess_2002,61.0,True,True,True
British Columbia,20,57.483333333333334,-123.01666666666667,107.0,1,1964-07-01,107,09/1964,British Columbia | 20,,unknown,Smith_Burgess_2002,107.0,True,True,True
British Columbia,20,57.483333333333334,-123.01666666666667,46.0,1,1964-07-01,46,09/1964,British Columbia | 20,,unknown,Smith_Burgess_2002,46.0,True,True,True
British Columbia,22,57.63333333333333,-123.01666666666667,41.0,1,1964-07-01,41,09/1964,British Columbia | 22,,unknown,Smith_Burgess_2002,41.0,True,True,True
British Columbia,23,57.63333333333333,-123.01666666666667,46.0,1,1964-07-01,46,09/1964,British Columbia | 23,,unknown,Smith_Burgess_2002,46.0,True,True,True
British Columbia,44,58.516666666666666,-122.76666666666667,53.0,1,1964-07-01,53,09/1964,British Columbia | 44,,unknown,Smith_Burgess_2002,53.0,True,True,True
