lat,lon,pf_observed,thaw_depth,obs_limit,site_id,source,date,pf_depth,method
65.74451857,-156.5573192,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.76412583,-156.5062233,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.76593932,-156.5075784,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.76530006,-156.509333,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.76210515,-156.5029668,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.76294675,-156.507933,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.76194568,-156.5070457,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.76630682,-156.5097332,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.76353884,-156.5039876,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85858089,-156.2387191,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85863433,-156.235803,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85974061,-156.2388877,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.86060488,-156.233363,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85991481,-156.2301151,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85768482,-156.2397572,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.86058456,-156.2372045,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.86101905,-156.2305986,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.8587799,-156.2333753,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85132826,-156.2618784,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85229769,-156.2604636,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85056393,-156.2633051,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.86042966,-156.2614328,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.86021204,-156.2650546,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85937536,-156.2679487,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85944612,-156.2724658,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.86127369,-156.2596517,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.8617048,-156.2576162,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85955619,-156.2758746,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.84950161,-156.3388791,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.8472745,-156.339982,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85746744,-156.3157082,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85697554,-156.3223063,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85394441,-156.3363976,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85570087,-156.3292361,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85570051,-156.3263996,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85014882,-156.3404232,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.84851659,-156.3405181,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85139233,-156.3400084,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82301362,-156.3676853,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.8235582,-156.3706903,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.8241896,-156.374675,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82431227,-156.377305,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82538843,-156.3794582,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82287954,-156.3643117,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82426499,-156.3723031,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82204687,-156.3672464,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.83034312,-156.3732755,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82953702,-156.3714037,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.82985532,-156.3691724,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.83156876,-156.3711234,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.83153999,-156.368678,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.83097414,-156.3651427,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
