site_id,source,date,lat,lon,pf_observed,pf_depth,pf_depth_std,n_measurements,thaw_depth,obs_limit,method,timeSinceFire,org_thick,burn_unburn,measured_thaw_depth,measured_date
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.1397,-162.7072,1,57.24,6.0,21,57.24,,unknown,45,32.0,burned,,
F7-1,Talucci_2024,2019-10-05,61.14931,-119.515,1,151.0,0.0,5,151.0,,unknown,,20.35,unburned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.1516,-162.7237,1,51.68,4.76,19,51.68,,unknown,,35.0,unburned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.1536,-162.7134,1,63.62,4.91,21,63.62,,unknown,11,30.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.1608,-162.7287,1,81.0,16.29,23,81.0,,unknown,11,30.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.1622,-162.7197,1,65.15,10.67,20,65.15,,unknown,11,40.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.1649,-162.7319,1,70.0,9.78,19,70.0,,unknown,11,8.0,burned,,
YKD,Talucci_2024,2016-10-03,61.18675,-162.791,1,68.26,5.31,31,68.26,,unknown,,,unburned,,
YKD,Talucci_2024,2015-10-16,61.19168,-162.7927,1,61.07,5.35,15,61.07,,unknown,,,unburned,,
samba_2013,Talucci_2024,2015-10-11,61.195,-120.0903,1,90.79,18.03,124,90.79,,unknown,2,290.0,burned,,
samba_2013,Talucci_2024,2016-09-26,61.195,-120.0903,1,104.18,20.43,124,104.18,,unknown,3,290.0,burned,,
samba_2013,Talucci_2024,2015-10-11,61.195,-120.0902778,1,101.13,25.9,63,101.13,,unknown,2,290.0,burned,,
samba_unburn,Talucci_2024,2015-09-30,61.19972,-120.1139,1,76.05,24.61,125,76.05,,unknown,,290.0,unburned,,
samba_unburn,Talucci_2024,2015-10-11,61.19972222,-120.1138889,1,82.19,30.36,57,82.19,,unknown,,290.0,unburned,,
YKD,Talucci_2024,2016-10-03,61.20016,-162.79,1,67.9,5.66,21,67.9,,unknown,1,,burned,,
YKD,Talucci_2024,2016-10-03,61.20066,-162.796,1,61.25,11.1,93,61.25,,unknown,1,,burned,,
YKD,Talucci_2024,2015-10-16,61.20091,-162.7881,1,58.0,11.16,15,58.0,,unknown,0,,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.2051,-162.9661,1,60.29,9.38,21,60.29,,unknown,46,30.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.2079,-162.9592,1,55.16,13.82,19,55.16,,unknown,46,41.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.2107,-162.9711,1,53.57,6.1,21,53.57,,unknown,,33.0,unburned,,
c,Talucci_2024,2018-10-15,61.2313,-163.21,1,73.09,10.91,90,73.09,,unknown,3,25.0,burned,,
e,Talucci_2024,2019-10-03,61.2362,-163.222,1,81.33,21.67,12,81.33,,unknown,4,25.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-15,61.2362,-162.7415,1,96.17,14.73,12,96.17,,unknown,3,-999.0,burned,,
e,Talucci_2024,2019-10-03,61.2363,-163.222,1,92.0,29.84,15,92.0,,unknown,4,25.0,burned,,
e,Talucci_2024,2019-10-03,61.2366,-163.223,1,70.53,18.09,30,70.53,,unknown,,25.0,unburned,,
e,Talucci_2024,2019-10-03,61.2367,-163.223,1,105.53,24.12,15,105.53,,unknown,,25.0,unburned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-15,61.2368,-162.7322,1,91.33,38.83,12,91.33,,unknown,3,-999.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2018-10-15,61.2374,-162.723,1,81.67,8.94,12,81.67,,unknown,3,-999.0,burned,,
c,Talucci_2024,2018-10-15,61.2378,-163.209,1,60.43,6.76,90,60.43,,unknown,,25.0,unburned,,
