"id","borehole_id","year","alt","date","guess","upper_therm","lower_therm","comment","created_at","updated_at"
240,6,2014,4.22,2014-09-03,,3.55,4.55,"",2018-10-18 13:56:39.000 +0200,
210,6,2012,4.06,2012-10-06,,3.55,4.55,"",2018-10-18 13:56:39.000 +0200,
236,6,2013,4.18,2013-09-26,,3.55,4.55,"",2018-10-18 13:56:39.000 +0200,
198,10,2012,4.99,2012-08-17,,4.00,5.00,"",2018-10-18 13:56:39.000 +0200,
214,24,2006,3.81,2006-09-23,,3.50,4.00,"",2018-10-18 13:56:39.000 +0200,
265,10,2015,4.99,2015-08-04,,4.00,5.00,"",2018-10-18 13:56:39.000 +0200,
223,10,2013,5.50,2013-09-25,,5.00,7.00,"",2018-10-18 13:56:39.000 +0200,
219,24,2010,3.42,2010-08-31,,3.00,3.50,"",2018-10-18 13:56:39.000 +0200,
242,24,2014,3.17,2014-09-24,,3.00,3.50,"",2018-10-18 13:56:39.000 +0200,
205,4,2012,4.75,2012-10-11,,4.50,5.00,"",2018-10-18 13:56:39.000 +0200,
206,2,2012,4.53,2012-09-24,,4.00,4.75,"",2018-10-18 13:56:39.000 +0200,
245,2,2014,4.66,2014-09-22,,4.00,4.75,"",2018-10-18 13:56:39.000 +0200,
270,3,2010,5.40,2010-10-03,false,5.00,5.60,"",2018-10-18 13:56:39.000 +0200,
271,3,2011,5.56,2011-10-10,false,5.00,5.60,"",2018-10-18 13:56:39.000 +0200,
258,19,2015,1.73,2015-09-16,,1.00,2.00,"",2018-10-18 13:56:39.000 +0200,
272,3,2012,5.57,2012-10-09,false,5.00,5.60,"",2018-10-18 13:56:39.000 +0200,
273,3,2013,5.60,2013-09-16,false,4.50,5.60,"",2018-10-18 13:56:39.000 +0200,
274,3,2014,5.68,2014-09-20,false,5.60,6.70,"",2018-10-18 13:56:39.000 +0200,
224,21,2012,3.36,2012-09-16,,2.00,4.00,"",2018-10-18 13:56:39.000 +0200,
250,21,2013,3.42,2013-09-11,,2.00,4.00,"",2018-10-18 13:56:39.000 +0200,
234,20,2012,2.81,2012-08-01,,1.00,3.00,"no data 2 m depth, ALT <2.8 m",2018-10-18 13:56:39.000 +0200,
200,20,2011,2.81,2011-08-27,,1.00,3.00,"no data 2 m depth, ALT <2.8 m",2018-10-18 13:56:39.000 +0200,
259,23,2012,5.13,2012-08-31,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
260,23,2013,5.13,2013-09-11,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
261,23,2014,5.13,2014-08-22,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
262,23,2015,5.17,2015-09-07,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
208,12,2011,7.04,2011-12-12,false,6.45,7.93,"",2018-10-18 13:56:39.000 +0200,
248,8,2014,3.99,2014-11-14,,3.50,4.00,Thermistor at 4 m drifting?,2018-10-18 13:56:39.000 +0200,
238,12,2013,7.65,2013-09-19,true,6.45,7.93,no data for oct/nov,2018-10-18 13:56:39.000 +0200,
193,16,2012,6.81,2012-09-30,,5.00,7.00,"",2018-10-18 13:56:39.000 +0200,
227,16,2013,7.42,2013-11-19,,7.00,10.00,"",2018-10-18 13:56:39.000 +0200,
263,16,2014,4.82,2014-10-19,,4.00,5.00,"",2018-10-18 13:56:39.000 +0200,
255,16,2015,9.86,2015-11-17,,7.00,10.00,"",2018-10-18 13:56:39.000 +0200,
229,14,2012,6.71,2012-08-23,,5.00,7.00,"",2018-10-18 13:56:39.000 +0200,
228,14,2013,6.78,2013-09-23,,5.00,7.00,"",2018-10-18 13:56:39.000 +0200,
196,15,2010,2.90,2010-09-15,true,2.50,3.00,Guess due to gaps,2018-10-18 13:56:39.000 +0200,
195,15,2011,2.72,2011-11-20,true,2.50,3.00,Guess due to gaps,2018-10-18 13:56:39.000 +0200,
194,15,2012,3.23,2012-10-10,,3.00,3.50,"",2018-10-18 13:56:39.000 +0200,
226,15,2013,3.21,2013-10-04,,3.00,3.50,"",2018-10-18 13:56:39.000 +0200,
246,15,2014,2.88,2014-10-26,,2.50,3.00,"",2018-10-18 13:56:39.000 +0200,
232,39,2013,2.47,2013-09-09,,2.00,2.50,"",2018-10-18 13:56:39.000 +0200,
266,39,2015,2.50,2015-09-18,,2.00,2.50,"",2018-10-18 13:56:39.000 +0200,
199,39,2012,2.44,2012-08-24,,2.00,2.50,"",2018-10-18 13:56:39.000 +0200,
267,39,2014,2.45,2014-10-13,,2.00,2.50,"",2018-10-18 13:56:39.000 +0200,
237,12,2012,7.67,2012-09-17,false,6.45,7.93,"",2018-10-18 13:56:39.000 +0200,
282,12,2014,7.28,2014-10-18,true,6.45,7.93,no data for aug/sep,2018-10-18 13:56:39.000 +0200,
283,3,1999,3.70,1999-10-07,true,,,"Guess by PI, +/-0.2 m",2018-10-18 13:56:39.000 +0200,
284,3,2000,3.80,2000-10-14,true,,,"Guess by PI, +/-0.2 m",2018-10-18 13:56:39.000 +0200,
285,3,2001,3.90,2001-09-15,true,,,"Guess by PI, +/-0.2 m",2018-10-18 13:56:39.000 +0200,
286,3,2002,,,,,,,2018-10-18 13:56:39.000 +0200,
287,3,2003,4.40,2003-10-01,true,,,"Guess by PI, +/-0.2 m",2018-10-18 13:56:39.000 +0200,
288,3,2004,4.50,2004-10-15,true,,,"Guess by PI, +/-0.2 m",2018-10-18 13:56:39.000 +0200,
289,3,2005,4.60,2005-10-15,true,,,"Guess by PI, +/-0.2 m",2018-10-18 13:56:39.000 +0200,
290,3,2006,,,,,,,2018-10-18 13:56:39.000 +0200,
291,3,2007,4.60,2007-10-20,true,,,"Guess by PI, +/-0.2 m",2018-10-18 13:56:39.000 +0200,
268,13,2015,4.99,2015-09-01,true,1.50,5.09,Thermistor at 3.6 m erroneous,2018-10-18 13:56:39.000 +0200,2023-10-30 16:54:46.000 +0100
292,3,2008,,,,,,,2018-10-18 13:56:39.000 +0200,
293,9,2016,3.98,2016-09-18,,3.00,4.00,"",2018-10-18 13:56:39.000 +0200,
298,18,2016,2.93,2016-09-14,,2.00,3.00,,2018-10-18 13:56:39.000 +0200,
301,2,2016,4.73,2016-09-18,,4.00,4.75,,2018-10-18 13:56:39.000 +0200,
302,19,2016,1.41,2016-09-16,,1.00,2.00,,2018-10-18 13:56:39.000 +0200,
303,20,2015,3.59,2015-09-07,,2.60,4.60,,2018-10-18 13:56:39.000 +0200,
307,21,2015,,,,,,no data,2018-10-18 13:56:39.000 +0200,
308,19,2010,,,,,1.00,ALT < 1m,2018-10-18 13:56:39.000 +0200,
309,19,2011,,,,,1.00,ALT < 1m,2018-10-18 13:56:39.000 +0200,
310,19,2012,,,,,,no data,2018-10-18 13:56:39.000 +0200,
311,19,2013,,,,,,no data,2018-10-18 13:56:39.000 +0200,
314,22,2010,,,,,,no data,2018-10-18 13:56:39.000 +0200,
315,22,2011,,,,,,no data,2018-10-18 13:56:39.000 +0200,
316,22,2012,,,,,,no data,2018-10-18 13:56:39.000 +0200,
321,23,2016,5.15,2016-09-18,,3.20,5.20,,2018-10-18 13:56:39.000 +0200,
327,9,2017,3.98,2017-08-26,,3.00,4.00,,2018-10-18 13:56:39.000 +0200,
328,10,2017,4.98,2017-08-14,,4.00,5.00,,2018-10-18 13:56:39.000 +0200,
330,18,2017,2.89,2017-09-01,,2.00,3.00,,2018-11-05 21:42:00.000 +0100,
331,19,2017,1.71,2017-09-02,,1.00,2.00,,2018-11-05 21:52:43.000 +0100,
332,20,2017,3.70,2017-11-06,,2.60,4.60,,2018-11-05 21:57:28.000 +0100,
333,16,2017,9.25,2017-10-04,,7.00,10.00,,2018-11-05 21:59:06.000 +0100,
295,7,2016,3.90,2016-09-18,true,3.30,5.30,Data gap in August 2016,2018-10-18 13:56:39.000 +0200,
341,18,2018,2.90,2018-09-24,,2.00,3.00,,2019-01-25 12:30:25.000 +0100,
