SiteIDYear,SiteID,Year,Date,Project,ObservEnv,ObservSoil,ObservVeg,LocEcoregion,LocLandmark,LatWGS84,LonWGS84,ElevEllip_m,PlotType,PlotSize,PhysiogName,TopoMacroName,TopoMicroName,Terrain Title,TkarstName,DrainageName,NWI_name,SoilMoistureName,WaterDep_cm,DomText_Name,SiteChem_name,SitepH,SiteEC_uScm,SoilOrgSurfThk_cm,SoilOrgCum40_cm,SoilOrgPostTK_cm,SoilThawDep_cm,SoilCryoturb,SoilPFrost,SoilRockDep_cm,SoilIceWdgDep_cm,SoilObsDep_cm,SoilStrat,SoilSamples,VegetationTitle,EcoStructName,VegMethod,Disturbance_Name
GOSL-T2-150-2014,GOSL-T2-150,2014,8/14/2014 0:00,NPS LTEM,Jorgenson,,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,209,TopoSurv,point,Lowland,no data,no data,Bogs,Not determined,no data,no data,no data,,No Data,no data,,,,,,74,,,,,,Y,,No data,No data,,Absent/none (mature vegetation)
GOSL-T2-168-BM-2019,GOSL-T2-168-BM,2019,5/21/2019 0:00,NPS LTEM,Jorgenson,,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,210.336,BM,point,no data,no data,no data,Bogs,Not determined,no data,no data,no data,,No Data,no data,,,,,,999,,,,,,Y,,No data,No data,,Absent/none (mature vegetation)
GOSL-T1-100-ST-2005,GOSL-T1-100-ST,2005,9/25/2005 0:00,NSF PF Dynamics,Jorgenson,Jorg/Kanev,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,212.3065,Dlog,point,Lowland,no data,no data,Peat plateau Bog,Not determined,no data,no data,no data,,No Data,no data,,,,,,999,,,,,,Y,,No data,No data,,Absent/none (mature vegetation)
GOSL-T2-080-2005,GOSL-T2-080,2005,9/23/2005 0:00,NSF PF Dynamics,Jorgenson,Jorg/Schiro,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,210.18,Photo,3,no data,no data,no data,Bogs,Not determined,no data,no data,no data,,No Data,no data,,,,,,999,,,,,,n,n,No data,No data,O,Absent/none (mature vegetation)
GOSL-T2-000-2014,GOSL-T2-000,2014,8/14/2014 0:00,NPS LTEM,Jorgenson,Jorg/Schiro,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,210.154,Perm-Soil,point,Lowland,no data,no data,Bogs,Not determined,no data,Saturated,no data,-35,Peat,no data,,,122,40,80,43,,,,,,Y,,No data,No data,,Absent/none (mature vegetation)
GOSL-T2-014-2005,GOSL-T2-014,2005,9/24/2005 0:00,NSF PF Dynamics,mtj,Jorgenson/Kanevskiy,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,209,Soil-Veg,5 m rad,Lowland,Basins Or Depressions,NONPATTERNED,Collapse Scar Bog,Thermokarst Bog,Very poorly drained,Seasonally flooded,Wet,-3,Peat,Acidic,999,999,999,40,2,257,n,y,999,999,27,y,n,Subartic Lowland Sedge-Moss Bog Meadow,Bog Meadow,O,Thermokarst
GOSL-T2-014-2014,GOSL-T2-014,2014,8/14/2014 0:00,NPS LTEM,Jorgenson,,Roland/Stehn,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,209,Veg,5 m rad,no data,no data,no data,Collapse Scar Bog,Thermokarst Bog,Very poorly drained,Seasonally flooded,Wet,0,Peat,Acidic,999,999,999,999,,352,U,u,999,,,n,y,Subartic Lowland Sedge-Moss Bog Meadow,Bog Meadow,PM,Thermokarst
GOSL-T2-034-2014,GOSL-T2-034,2014,8/14/2014 0:00,NPS LTEM,Jorgenson,Jorgenson/Schirokauer,Roland/Stehn,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,209,Veg,5 m rad,no data,no data,no data,Collapse Scar Bog,Thermokarst Bog,Very poorly drained,Seasonally flooded,Wet,-3,Peat,Acidic,999,999,999,999,,999,U,u,999,,,n,n,Open Low Ericaceous Shrub Bog,Bog Dwarf Scrub,PM,Thermokarst
GOSL-T2-090-2014,GOSL-T2-090,2014,8/14/2014 0:00,NPS LTEM,Jorgenson,Jorg/Schiro,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,209,Perm-Soil,1 m rad,Lowland,Basins Or Depressions,NONPATTERNED,Collapse Scar Bog,Thermokarst Bog,Very poorly drained,Seasonally flooded,Wet,-41,Peat,Acidic,999,999,118,40,20,43,n,y,999,999,220,y,n,Open Low Ericaceous Shrub Bog,Bog Dwarf Scrub,O,Absent/none (mature vegetation)
GOSL-T1-049-2014,GOSL-T1-049,2014,8/16/2014 0:00,NPS LTEM,Jorgenson,Jorgenson/Schirokauer,Roland/Stehn,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,211,Soil-Veg,2x10 m,Lowland,Basins Or Depressions,NONPATTERNED,Collapse Scar Bog,Thermokarst Bog,Very poorly drained,Seasonally flooded,Wet,1,Peat,Acidic,999,999,999,40,5,255,n,n,999,999,40,y,n,Subartic Lowland Sedge-Moss Bog Meadow,Bog Meadow,PM,Thermokarst
GOSL-T1-055-2014,GOSL-T1-055,2014,8/16/2014 0:00,NPS LTEM,Jorgenson,,Roland/Stehn,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,211,Veg,3 m rad,no data,no data,no data,Collapse Scar Bog,Thermokarst Bog,Very poorly drained,Seasonally flooded,Wet,-3,Peat,Acidic,999,999,999,999,,461.5,U,N,999,,,n,n,Open Low Ericaceous Shrub Bog,Bog Dwarf Scrub,PM,Thermokarst
GOSL-T1-055-2005,GOSL-T1-055,2005,9/25/2005 0:00,NSF PF Dynamics,mtj,Jorgenson/Kanevskiy,mtj,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,220,Soil-Veg,10,Lowland,Basins Or Depressions,NONPATTERNED,Collapse Scar Bog,Thermokarst Bog,Very poorly drained,Seasonally flooded,Wet,-9,Peat,Acidic,999,999,999,40,31,422,n,n,999,999,37,y,n,Open Low Ericaceous Shrub Bog,Bog Dwarf Scrub,O,Thermokarst
GOSL-T2-115-2005,GOSL-T2-115,2005,9/23/2005 0:00,NSF PF Dynamics,mtj,Jorgenson/Kanevskiy,mtj,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,220,Soil-Veg,10,Lowland,Basins Or Depressions,NONPATTERNED,Collapse Scar Bog,Thermokarst Bog,Very poorly drained,Seasonally flooded,Wet,-5,Peat,Acidic,999,999,999,40,110,999,n,N,999,999,110,y,n,Subartic Lowland Sedge-Moss Bog Meadow,Bog Meadow,O,Thermokarst
GOSL-T2-160-2014,GOSL-T2-160,2014,8/14/2014 0:00,NPS LTEM,Jorgenson,"Jorg/Kanev, Jorg/Sch",Roland/Stehn,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,209,Soil-Veg,3 m rad,Lowland,Basins Or Depressions,NONPATTERNED,Collapse Scar Bog,Thermokarst Bog,Very poorly drained,Seasonally flooded,Wet,-3,Peat,Acidic,999,999,999,40,999,424,n,n,999,999,69,y,n,Subartic Lowland Sedge-Moss Bog Meadow,Bog Meadow,PM,Thermokarst
GOSL-T2-160-2005,GOSL-T2-160,2005,9/24/2005 0:00,NSF PF Dynamics,Jorgenson,,mtj,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,208,Soil-Veg,10,Lowland,Basins Or Depressions,NONPATTERNED,Collapse Scar Bog,Thermokarst Bog,Very poorly drained,Seasonally flooded,Wet,-1,Peat,Acidic,999,999,120,40,80,367,n,N,999,999,120,y,n,Subartic Lowland Sedge-Moss Bog Meadow,Bog Meadow,O,Thermokarst
GOSL-T2-216-2005,GOSL-T2-216,2005,9/24/2005 0:00,NSF PF Dynamics,Jorgenson,Jorgenson,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,211.8,Soil-Veg,3 m rad,Lowland,Basins Or Depressions,NONPATTERNED,Collapse Scar Bog,Shore Fen,Very poorly drained,Saturated,Wet,-15,Peat,Acidic,999,999,120,40,12,999,n,n,999,999,120,y,n,Open Low Ericaceous Shrub Bog,Bog Dwarf Scrub,O,Thermokarst
Gosl-T2-G2-2021,Gosl-T2-G2,2021,9/23/2021 0:00,NPS LTEM,Jorgenson,Jorg Hill,Jorgenson,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,199,Photo,2 m,Lowland,"Basin, Drained",Hummocks (mineral cored),Collapse Scar Bog,Thermokarst Bog,Very poorly drained,Saturated,Wet,-1,Peat,Acidic,999,999,999,40,,999,a,a,999,999,,n,n,Subartic Lowland Sedge-Moss Bog Meadow,Barren Bog,O,Thermokarst
GOSL-T2-115-2014,GOSL-T2-115,2014,8/14/2014 0:00,NPS LTEM,Jorgenson,Jorgenson/Schirokauer,Roland/Stehn,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,220,Soil-Veg,10,Lowland,Basins Or Depressions,NONPATTERNED,Collapse Scar Bog,Thermokarst Bog,Very poorly drained,Seasonally flooded,Wet,-3,Peat,Acidic,999,999,999,40,999,999,n,N,999,999,63,y,n,Subartic Lowland Sedge-Moss Bog Meadow,Bog Meadow,PM,Thermokarst
GOSL-T1-059-2014,GOSL-T1-059,2014,8/16/2014 0:00,NPS LTEM,Jorgenson,Jorgenson/Schirokauer,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,210.4127,Soil,3 m rad,Lowland,Basins Or Depressions,NONPATTERNED,Collapse Scar Bog,Thermokarst Bog,Very poorly drained,Seasonally flooded,Wet,-5,Peat,Acidic,999,999,999,40,19,460.5,n,n,999,999,52,y,n,Open Low Ericaceous Shrub Bog,Bog Dwarf Scrub,O,Thermokarst
