site_id,lat,lon,date,pf_observed,pf_depth,thaw_depth,obs_limit,method,source,candidate_type,absence_latitude_threshold_abs_ge,pedon_key,site_key,pedlabsampnum,upedonid,usiteid,country_key,state_key,county_key,mlra_key,ssa_key,frozen_horizons,all_horizons,n_frozen_layers,n_layers,corr_classification_name,corr_taxorder,corr_taxsuborder,corr_taxgrtgroup,corr_taxsubgrp,samp_classification_name,samp_taxorder,samp_taxsuborder,samp_taxgrtgroup,samp_taxsubgrp,SSL_classification_name,SSL_taxorder,SSL_taxsuborder,SSL_taxgrtgroup,SSL_taxsubgrp
S2001AK122002,60.5236816,-151.0400543,2001-08-07,0,,,207.0,pit,NCSS_Lab_Data_Mart,absence,55.0,30450,30334,01N1160,S2001AK122002,S2001AK122002,244,3946,4271.0,7797.0,,,Oe|E|Bs1|Bs2|2BC|3C1|3C2|3C3|3C4,0,9,,,,,,"Medial over loamy, amorphic over mixed, superactive Andic Haplocryods",spodosols,cryods,haplocryods,andic haplocryods,,,,,
S2001AK122003,60.357811,-151.3574524,2001-08-07,0,,,200.0,pit,NCSS_Lab_Data_Mart,absence,55.0,30451,30335,01N1161,S2001AK122003,S2001AK122003,244,3946,4271.0,,,,Oe|E|Bhs|Eb|Bbhs|Bs|Bw|2C1|3C2|3C3|3C4,0,11,,,,,,"Medial over sandy or sandy-skeletal, amorphic over mixed Andic Haplocryods",spodosols,cryods,haplocryods,andic haplocryods,,,,,
S2001AK122004,60.0496826,-151.5054016,2001-08-08,0,,,207.0,pit,NCSS_Lab_Data_Mart,absence,55.0,30452,30336,01N1162,S2001AK122004,S2001AK122004,244,3946,4271.0,,,,Oi|Oe|E|Bhs|Eb|Bbhs1|Bbhs2|Bsb|Bwb|2BC|3C1|3C2,0,12,,,,,,"Medial over loamy, amorphic over mixed Andic Haplocryods",spodosols,cryods,haplocryods,andic haplocryods,,,,,
S2001AK122005,60.0509033,-151.5046234,2001-08-08,0,,,185.0,pit,NCSS_Lab_Data_Mart,absence,55.0,30453,30337,01N1163,S2001AK122005,S2001AK122005,244,3946,4271.0,7797.0,,,Oe|E|Bs1|Bs2|Bw|2BC1|2BC2|3C1|3C2,0,9,,,,,,"Medial over loamy, amorphic over mixed Andic Haplorthods",spodosols,orthods,haplorthods,andic haplorthods,,,,,
S2001AK122006,60.0494308,-151.5327759,2001-08-08,0,,,200.0,pit,NCSS_Lab_Data_Mart,absence,55.0,30454,30338,01N1164,S2001AK122006,S2001AK122006,244,3946,4271.0,7797.0,,,Oe|E|Bs|Bw|2Cg1|3C2|3C3,0,7,,,,,,"Medial over loamy, amorphic over mixed Andic Haplocryods",spodosols,cryods,haplocryods,andic haplocryods,,,,,
S2001AK122007,60.1672363,-151.3894958,2001-08-09,0,,,180.0,pit,NCSS_Lab_Data_Mart,absence,55.0,30455,30339,01N1165,S2001AK122007,S2001AK122007,244,3946,4271.0,7797.0,,,Oe|E|Bs1|Bs2|Bw|BC|2C1|2C2|3C3|3C4|3C5,0,11,,,,,,"Medial over loamy, amorphic over mixed, superactive Andic Haplocryods",spodosols,cryods,haplocryods,andic haplocryods,,,,,
S2001AK122008,60.5444489,-151.0001984,2001-08-09,0,,,159.0,pit,NCSS_Lab_Data_Mart,absence,55.0,30456,30340,01N1166,S2001AK122008,S2001AK122008,244,3946,4271.0,,,,Oe|Oa|A|Cg1|Cg2|Cg3|Cg4,0,7,,,,,,"Fine-silty, mixed Humic Cryaquepts",inceptisols,aquepts,cryaquepts,humic cryaquepts,,,,,
S2001AK175001,61.5266953,-159.7784729,2001-09-05,0,,,200.0,pit,NCSS_Lab_Data_Mart,absence,55.0,28501,28440,01N1175,S2001AK175001,S2001AK175001,244,3946,4264.0,11332.0,11223.0,,Oi|Oa|AE|Bs|BC1|BC2|C,0,7,Silty Typic Haplocryod,,cryods,haplocryods,typic haplocryods,"Coarse-loamy, mixed, superactive, nonacid, subgelic Typic Cryaquepts",inceptisols,aquepts,cryaquepts,typic cryaquepts,,,,,
S2001AK176001,63.0611115,-141.8271942,2001-09-22,0,,,90.0,pit,NCSS_Lab_Data_Mart,absence,55.0,28888,28815,02N0081,S2001AK176001,S2001AK176001,244,3946,4282.0,,,,Oi|A|E|Bw|BC|C1|C2,0,7,,,,,,"Coarse-loamy, mixed, superactive, nonacid, frigid Vitrandic Dystrocryepts",inceptisols,cryepts,dystrocryepts,vitrandic dystrocryepts,,,,,
S2001AK176002,63.2849998,-142.5136871,2001-09-23,0,,,100.0,pit,NCSS_Lab_Data_Mart,absence,55.0,28889,28816,02N0082,S2001AK176002,S2001AK176002,244,3946,4282.0,,,,Oi2|A|E|Bw|C1|C2,0,6,,,,,,"Mixed, active, frigid Vitrandic Cryopsamment",entisols,psamments,cryopsamments,vitrandic cryopsamments,,,,,
S2001AK178001,61.5833321,-159.5771942,2001-09-04,0,,,230.0,pit,NCSS_Lab_Data_Mart,absence,55.0,28500,28439,01N1174,S2001AK178001,S2001AK178001,244,3946,4264.0,11332.0,11223.0,,Ap|C1|C2|C3|Cg|C4,0,6,Typic Cryofluvent,,fluvents,cryofluvents,typic cryofluvents,"Coarse-silty, mixed, superactive, nonacid, frigid Typic Cryofluvents",entisols,fluvents,cryofluvents,typic cryofluvents,,,,,
