    172.58      9.77      9.78      4.06      1.32      -.27      -.96     -1.58     -2.00     -2.26     -2.84     -4.06     -5.09     -6.06
    172.67     12.85     12.82      5.32      1.85      -.24      -.97     -1.57     -1.99     -2.26     -2.83     -4.07     -5.08     -6.02
    172.75     11.04     11.50      5.57      2.21      -.21      -.97     -1.55     -1.99     -2.25     -2.83     -4.03     -5.06     -6.03
    172.83      7.36      8.88      5.09      2.33      -.21      -.97     -1.55     -1.99     -2.23     -2.83     -4.03     -5.06     -6.03
    172.92      4.13      6.57      4.18      2.19      -.21      -.97     -1.55     -1.99     -2.22     -2.83     -4.03     -5.05     -6.03
    173.00      -.05      1.74      2.50      1.70      -.20      -.96     -1.54     -1.98     -2.22     -2.80     -4.02     -5.05     -6.02
    173.08     -1.71      -.11      1.31      1.15      -.20      -.95     -1.53     -1.97     -2.20     -2.81     -4.01     -5.04     -6.01
    173.17     -1.32      -.28       .66       .74      -.24      -.94     -1.53     -1.96     -2.22     -2.80     -4.00     -5.03     -5.98
    173.25       .55       .83       .66       .48      -.25      -.94     -1.53     -1.94     -2.20     -2.78     -4.00     -4.99     -5.96
    173.33      2.56      2.78      1.01       .42      -.28      -.93     -1.53     -1.92     -2.20     -2.77     -4.01     -4.99     -5.96
    173.42     11.45     10.02      3.18       .83      -.25      -.92     -1.52     -1.93     -2.19     -2.73     -3.99     -4.97     -5.92
    173.50     12.48     13.22      5.52      1.66      -.20      -.91     -1.49     -1.92     -2.18     -2.73     -3.96     -4.97     -5.93
    173.58     14.41     14.07      6.13      2.18      -.16      -.90     -1.48     -1.91     -2.19     -2.71     -3.95     -4.93     -5.94
    173.67     11.55     11.82      6.11      2.52      -.12      -.90     -1.48     -1.92     -2.15     -2.72     -3.95     -4.93     -5.95
    173.75      5.55      7.26      5.05      2.48      -.10      -.90     -1.48     -1.91     -2.15     -2.71     -3.95     -4.93     -5.94
    173.83      2.83      4.57      3.86      2.19      -.11      -.89     -1.47     -1.90     -2.14     -2.70     -3.94     -4.92     -5.91
    173.92      2.55      3.79      3.18      1.88      -.12      -.88     -1.46     -1.90     -2.13     -2.70     -3.91     -4.91     -5.93
    174.00      1.58      2.57      2.49      1.56      -.12      -.88     -1.46     -1.89     -2.13     -2.70     -3.89     -4.91     -5.88
    174.08       .63      1.46      1.80      1.22      -.15      -.87     -1.46     -1.89     -2.13     -2.69     -3.88     -4.91     -5.87
    174.17       .58      1.19      1.33       .93      -.17      -.83     -1.46     -1.89     -2.13     -2.69     -3.88     -4.91     -5.87
    174.25       .64      1.10      1.06       .73      -.18      -.83     -1.43     -1.88     -2.10     -2.69     -3.88     -4.90     -5.87
    174.33      1.66      2.02      1.17       .60      -.18      -.83     -1.41     -1.87     -2.08     -2.69     -3.88     -4.88     -5.85
    174.42      2.03      2.58      1.40       .62      -.19      -.83     -1.42     -1.85     -2.09     -2.67     -3.88     -4.86     -5.83
    174.50      4.48      4.04      1.78       .69      -.19      -.83     -1.42     -1.85     -2.09     -2.65     -3.88     -4.86     -5.83
    174.58      8.34      9.75      3.75      1.16      -.17      -.82     -1.42     -1.85     -2.05     -2.63     -3.87     -4.85     -5.81
    174.67     12.87     13.09      5.26      1.77      -.13      -.81     -1.41     -1.82     -2.06     -2.62     -3.86     -4.83     -5.80
    174.75      7.30      9.70      5.35      2.21      -.09      -.82     -1.40     -1.79     -2.07     -2.63     -3.84     -4.84     -5.80
    174.83      5.60      7.14      4.41      2.23      -.09      -.81     -1.39     -1.81     -2.06     -2.63     -3.86     -4.84     -5.80
    174.92      3.58      5.95      3.92      2.09      -.07      -.81     -1.39     -1.80     -2.06     -2.60     -3.81     -4.81     -5.79
    175.00       .77      2.54      2.73      1.79      -.08      -.81     -1.39     -1.78     -2.06     -2.62     -3.81     -4.83     -5.79
    175.08      -.87       .52      1.53      1.31      -.09      -.80     -1.38     -1.77     -2.05     -2.57     -3.80     -4.82     -5.78
    175.17      -.68       .10       .92       .90      -.13      -.79     -1.37     -1.76     -2.04     -2.58     -3.80     -4.77     -5.76
    175.25       .29       .77       .79       .62      -.16      -.79     -1.37     -1.76     -2.04     -2.56     -3.79     -4.77     -5.73
    175.33      3.02      3.24      1.30       .56      -.18      -.79     -1.35     -1.76     -2.00     -2.56     -3.80     -4.75     -5.74
