lon,lat,pf_depth,pf_observed,obs_limit,site_id,thaw_depth,year,month,day,date,method,source,comments
134.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
134.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
135.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
135.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
136.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
136.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
137.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
137.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
138.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
138.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
139.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
139.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
140.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
140.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
141.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
141.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
142.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
142.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
143.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
143.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
144.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
144.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
145.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
145.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
146.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
146.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
147.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
147.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
148.25,77.25,73.75932,1,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
148.75,77.25,71.499756,1,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
149.25,77.25,69.99722,1,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
