lon,lat,date,source,site_id,pf_observed,pf_depth,thaw_depth,obs_limit,method,source_point_id,source_thaw_depth_m,source_comment,source_easting,source_northing,source_elevation_m,source_detected_crs
-156.76772997128688,71.2904891741558,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,22.0,22.0,,tp,TNHA-2021-2-61,0.22,To refusal,579902.2453289063,7911269.955477648,10.0,EPSG:32604
-156.76770309255878,71.29049172660697,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,28.999999999999996,28.999999999999996,,tp,TNHA-2021-2-62,0.29,To refusal,579903.1965394507,7911270.275496337,10.0,EPSG:32604
-156.767676215219,71.29049427907084,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,9.0,9.0,,tp,TNHA-2021-2-63,0.09,To refusal,579904.1477,7911270.595515024,10.0,EPSG:32604
-156.76764933508144,71.29049683149782,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,12.0,12.0,,tp,TNHA-2021-2-64,0.12,To refusal,579905.0989605393,7911270.915533711,10.0,EPSG:32604
-156.76762245633228,71.29049938393742,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,0,,,100.0,tp,TNHA-2021-2-65,,Frost probe bottomed out,579906.0501710837,7911271.235552399,10.0,EPSG:32604
-156.76756869881282,71.29050448880517,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,14.000000000000002,14.000000000000002,,tp,TNHA-2021-2-67,0.14,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,579907.9525921723,7911271.875589774,10.0,EPSG:32604
-156.76751494163543,71.29050959366192,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,10.0,10.0,,tp,TNHA-2021-2-69,0.1,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,579909.855,7911272.515627149,10.0,EPSG:32604
-156.76746118368968,71.29051469849455,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,18.0,18.0,,tp,TNHA-2021-2-71,0.18,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,579911.7574343496,7911273.155664525,10.0,EPSG:32604
-156.76740742608598,71.29051980331617,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,17.0,17.0,,tp,TNHA-2021-2-73,0.17,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,579913.6598554383,7911273.7957019005,10.0,EPSG:32604
-156.76735366845418,71.29052490812238,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,15.0,15.0,,tp,TNHA-2021-2-75,0.15,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,579915.5622765269,7911274.435739275,10.0,EPSG:32604
-156.76729991079432,71.29053001291325,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,5.0,5.0,,tp,TNHA-2021-2-77,0.05,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,579917.4646976156,7911275.075776651,10.0,EPSG:32604
-156.76724615310638,71.29053511768875,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,18.0,18.0,,tp,TNHA-2021-2-79,0.18,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,579919.3671187042,7911275.715814026,10.0,EPSG:32604
-156.76719239539034,71.29054022244883,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,22.0,22.0,,tp,TNHA-2021-2-81,0.22,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,579921.2695397929,7911276.355851401,10.0,EPSG:32604
-156.7671386376462,71.29054532719356,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,9.0,9.0,,tp,TNHA-2021-2-83,0.09,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,579923.1719608816,7911276.995888776,10.0,EPSG:32604
-156.7070390547329,71.31041286122206,2021-09-01,Utqiagvik_ERT_GPR,Old road-2021-1,1,25.0,25.0,,tp,Old road-2021-1-0,0.25,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,581989.4898792916,7913571.960544341,10.0,EPSG:32604
-156.70702513496582,71.31040497263805,2021-09-01,Utqiagvik_ERT_GPR,Old road-2021-1,1,24.0,24.0,,tp,Old road-2021-1-1,0.24,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,581990.0207487746,7913571.100133589,10.0,EPSG:32604
-156.70701121521006,71.31039708405305,2021-09-01,Utqiagvik_ERT_GPR,Old road-2021-1,1,33.0,33.0,,tp,Old road-2021-1-2,0.33,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,581990.5516182575,7913570.239722838,10.0,EPSG:32604
-156.70699729546558,71.31038919546704,2021-09-01,Utqiagvik_ERT_GPR,Old road-2021-1,1,35.0,35.0,,tp,Old road-2021-1-3,0.35,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,581991.0824877406,7913569.379312086,10.0,EPSG:32604
-156.7069833757324,71.31038130687998,2021-09-01,Utqiagvik_ERT_GPR,Old road-2021-1,1,30.0,30.0,,tp,Old road-2021-1-4,0.3,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,581991.6133572236,7913568.518901334,10.0,EPSG:32604
-156.7069694560105,71.31037341829192,2021-09-01,Utqiagvik_ERT_GPR,Old road-2021-1,1,27.0,27.0,,tp,Old road-2021-1-5,0.27,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,581992.1442267065,7913567.658490582,10.0,EPSG:32604
-156.70695553629992,71.31036552970279,2021-09-01,Utqiagvik_ERT_GPR,Old road-2021-1,1,27.0,27.0,,tp,Old road-2021-1-6,0.27,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,581992.6750961895,7913566.798079831,10.0,EPSG:32604
