site_id,pf_observed,pf_depth,org_thick,org_thick_lower_bound,Canopy and Surface,Burn Year,Relief,Soil Type,lat,lon,source,thaw_depth,obs_limit,date,method,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_obs_limit_assumed,quality_flag_model_or_estimate,quality_flag_method_approximate_or_unknown,quality_flag_upper_bound_presence
60,1,144.0,46,False,"Spruce, willow; hummocky moss, horse tails, lab tea, wet",,Sloping,"Sand, clay, silt",59.75018,-117.08062,Holloway_2019,144.0,,2018-08-15,temp,True,True,False,True,,False
61,0,,15,False,"Poplar, spruce",,High,Sand and gravel,59.739,-117.08811,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
62,1,110.0,46,False,"Spruce; moss and sphagnum, lichen, lab tea, horsetail, grass",,Low,"Silt, sand",59.6741,-117.1509,Holloway_2019,110.0,,2018-08-15,temp,True,True,False,True,,False
63,1,67.0,55,False,"Spruce, hummocky sphagnum, moss, lab tea, lichen",,Low,"Organic, silt, sand",59.61908,-117.17265,Holloway_2019,67.0,,2018-08-15,tp,True,True,False,False,,False
64,0,,30,False,"Spruce; hummocky moss, lab tea, lichen.",,Low,Sand,59.61836,-117.17267,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
64A,1,,50,True,"Spruce; hummocky moss and sphagnum, lab tea, lichen",,Low,Sand,59.61836,-117.17267,Holloway_2019,,,2018-08-15,tp,True,True,False,False,,True
65,1,73.0,30,False,"Spruce, tamarack; hummocky sphagnum, moss, lab tea",,Low,"Silt, sand",59.58442,-117.19044,Holloway_2019,73.0,,2018-08-15,tp,True,True,False,False,,False
66,0,,7,False,"Spruce, poplar, willow; roses, forest litter",,River or stream valley,Gravel,59.57549,-117.19389,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
67,1,,40,False,"Spruce; hummocky moss, lab tea, lichen",,Low,"Silt, clay",59.54106,-117.18603,Holloway_2019,,,2018-08-15,tp,True,True,False,False,,True
68,1,63.0,50,True,"Spruce; hummocky sphagnum and moss, lichen, lab tea",2000/2012,Low,"Silt, clay",59.52972,-117.18673,Holloway_2019,63.0,,2018-08-15,tp,True,True,False,False,,False
69,1,126.0,140,False,"Spruce; hummocky sphagnum and moss, lab tea",2007,Low,"Silt, clay",59.44915,-117.23153,Holloway_2019,126.0,,2018-08-15,tp,True,True,False,False,,False
70,0,,10,False,"Poplar, willow; moss, fire weed",,River or stream valley,Gravel and  clay,59.40496,-117.285,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
