site_ID,lon_gpr,lat_gpr,alt_gpr,unc_alt_gpr
BS,-156.55381,71.256298,0.426472,0.059232
BS,-156.55381,71.256297,0.429171,0.059607
BS,-156.55381,71.256295,0.421074,0.058482
BS,-156.553807,71.256292,0.410277,0.056983
BS,-156.553804,71.256289,0.412976,0.057358
BS,-156.553802,71.256287,0.421074,0.058482
BS,-156.5538,71.256285,0.43187,0.059982
BS,-156.553799,71.256282,0.421074,0.058482
BS,-156.553798,71.25628,0.418374,0.058108
BS,-156.553797,71.256278,0.410277,0.056983
BS,-156.553795,71.256276,0.412976,0.057358
BS,-156.553793,71.256273,0.404878,0.056233
BS,-156.553792,71.256272,0.415675,0.057733
BS,-156.55379,71.256271,0.412976,0.057358
BS,-156.553788,71.25627,0.412976,0.057358
BS,-156.553787,71.256265,0.407578,0.056608
BS,-156.553785,71.25626,0.412976,0.057358
BS,-156.553785,71.256258,0.412976,0.057358
BS,-156.553784,71.256255,0.415675,0.057733
BS,-156.553784,71.256253,0.423773,0.058857
BS,-156.553783,71.25625,0.43187,0.059982
BS,-156.553783,71.256248,0.43187,0.059982
BS,-156.553782,71.256247,0.43187,0.059982
BS,-156.553783,71.256246,0.43457,0.060357
BS,-156.553783,71.256245,0.43457,0.060357
BS,-156.553783,71.256244,0.43187,0.059982
BS,-156.553782,71.256243,0.426472,0.059232
BS,-156.553782,71.256242,0.415675,0.057733
BS,-156.55378,71.25624,0.429171,0.059607
BS,-156.553778,71.256238,0.426472,0.059232
BS,-156.553777,71.256237,0.426472,0.059232
BS,-156.553775,71.256235,0.412976,0.057358
BS,-156.553773,71.256232,0.412976,0.057358
BS,-156.553772,71.25623,0.407578,0.056608
BS,-156.553772,71.256228,0.404878,0.056233
BS,-156.553772,71.256227,0.407578,0.056608
BS,-156.553771,71.256225,0.407578,0.056608
BS,-156.55377,71.256223,0.407578,0.056608
BS,-156.553769,71.25622,0.418374,0.058108
BS,-156.553768,71.256218,0.421074,0.058482
BS,-156.553768,71.256216,0.426472,0.059232
BS,-156.553767,71.256213,0.426472,0.059232
BS,-156.553767,71.25621,0.418374,0.058108
BS,-156.553766,71.256209,0.418374,0.058108
BS,-156.553766,71.256208,0.421074,0.058482
BS,-156.553765,71.256207,0.426472,0.059232
BS,-156.553767,71.256203,0.43187,0.059982
BS,-156.553766,71.256201,0.439968,0.061107
BS,-156.553764,71.256198,0.429171,0.059607
BS,-156.553763,71.256195,0.43457,0.060357
BS,-156.553763,71.256193,0.439968,0.061107
BS,-156.553763,71.256191,0.437269,0.060732
BS,-156.553763,71.256189,0.439968,0.061107
BS,-156.553763,71.256187,0.442667,0.061482
BS,-156.553765,71.256185,0.437269,0.060732
BS,-156.553767,71.256183,0.439968,0.061107
BS,-156.553766,71.256181,0.439968,0.061107
BS,-156.553765,71.25618,0.437269,0.060732
BS,-156.553764,71.256178,0.429171,0.059607
BS,-156.553763,71.256176,0.418374,0.058108
BS,-156.553762,71.256174,0.412976,0.057358
BS,-156.553761,71.256172,0.421074,0.058482
BS,-156.55376,71.25617,0.412976,0.057358
BS,-156.553759,71.256169,0.421074,0.058482
BS,-156.553758,71.256167,0.423773,0.058857
BS,-156.553757,71.256164,0.429171,0.059607
BS,-156.553755,71.256162,0.429171,0.059607
BS,-156.553753,71.25616,0.421074,0.058482
BS,-156.553752,71.256158,0.412976,0.057358
BS,-156.553752,71.256156,0.426472,0.059232
BS,-156.553752,71.256154,0.426472,0.059232
BS,-156.553752,71.256152,0.429171,0.059607
BS,-156.553752,71.25615,0.423773,0.058857
BS,-156.553753,71.256148,0.43187,0.059982
BS,-156.553753,71.256147,0.426472,0.059232
BS,-156.553753,71.256145,0.43187,0.059982
BS,-156.553753,71.256143,0.421074,0.058482
BS,-156.553753,71.256142,0.423773,0.058857
BS,-156.553757,71.256138,0.423773,0.058857
BS,-156.553756,71.256137,0.429171,0.059607
BS,-156.553756,71.256135,0.423773,0.058857
BS,-156.553755,71.256133,0.426472,0.059232
BS,-156.553755,71.256132,0.43457,0.060357
