"site_pkey","site_id","n_dd","w_dd","site_description"
"707","TKN0033","64.318484031","-146.73012166","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: stabilized alluvium.  Soil texture: silty loam.  Soil pH: 6.  Site moisture:  mesic to subhygric."
"708","TKN0034","64.328300562","-146.74505608","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: stabilized alluvium.  Soil texture: silty loam.  Soil pH: 6.  Site moisture:  mesic."
"764","TKN0035","64.918500864","-147.73003878",
"765","TKN0036","64.918882668","-147.72993372",
"766","TKN0037","64.920119733","-147.72935795",
"767","TKN0038","64.921410111","-147.72805798",
"768","TKN0039","64.909605007","-147.82423332",
"769","TKN0040","64.914416464","-147.83222833",
"770","TKN0041","64.938607485","-148.25879056",
"771","TKN0042","64.939341046","-148.25568039",
"772","TKN0043","64.940478469","-148.25302408",
"773","TKN0051","64.865449031","-147.87610399",
"774","TKN0052","64.86575992","-147.87716374",
"775","TKN0053","64.867025742","-147.87785989",
"776","TKN0054","64.867415231","-147.87418248",
"777","TKN0055","64.864475568","-147.87330003",
"778","TKN0056","64.865135274","-147.87222599",
"782","TKN0101","64.890853309","-148.27454937",
"783","TKN0102","64.768812349","-148.2720312",
"784","TKN0103","64.7700951","-148.27227186",
"709","TKN0104","65.359597523","-146.67610736","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: loess.  Soil texture: silty clay loam.  Soil pH: 4.8.  Site moisture:  mesic to subhygric."
"694","TKN0104c","65.348830721","-146.67118946","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: loess.  Soil texture: loamy silt.  Soil pH: 6.2.  Site moisture:  mesic."
"710","TKN0104p","65.36198102","-146.66914094","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: loess.  Soil texture: silty loam.  Soil pH: 5.6.  Site moisture:  mesic to subhygric."
"693","TKN0105","65.350497391","-146.67318968","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: loess.  Soil texture: silty clay loam.  Soil pH: 5.3.  Site moisture:  mesic to subhygric."
"787","TKN0106","65.272603648","-146.673884",
"788","TKN0107","65.229960957","-146.88577748",
"789","TKN0108","64.760629255","-148.08684601",
"790","TKN0109","65.161238221","-147.49030981",
"791","TKN0110","65.152896223","-147.48882607",
"792","TKN0111","65.143463995","-147.52333645",
"793","TKN0112","65.146578049","-147.52379587",
"794","TKN0113","64.886374487","-147.81910834",
"795","TKN0114","63.829550136","-144.97559731",
"796","TKN0115","63.313507712","-142.65211057",
"797","TKN0116","63.36185879","-143.46490335",
"798","TKN0117","63.433676395","-143.82610027",
"799","TKN0118","63.693761145","-144.33184745",
"800","TKN0119","63.813409794","-144.95552749",
"801","TKN0120","63.81189859","-144.95379251",
"803","TKN0122","63.905815645","-145.37350581",
"804","TKN0123","63.924206348","-145.31904647",
"805","TKN0124","63.89003864","-145.74104926",
"806","TKN0125","63.943375061","-145.60138591",
"807","TKN0126","63.846155266","-145.72317506",
"808","TKN0127","64.760832365","-148.09040127",
"809","TKN0128","64.889051223","-147.74970041",
"810","TKN0129","64.85771803","-147.88306053",
"811","TKN0130","64.80218731","-148.33262781",
"812","TKN0131","64.801572583","-148.31567177",
"813","TKN0132","64.708544589","-148.54473979",
"814","TKN0133","64.707672191","-148.54569518",
"815","TKN0134","65.16654434","-147.55473138",
"816","TKN0135","65.165819948","-147.56377757",
"817","TKN0136","65.148641974","-147.47343427",
"818","TKN0137","65.404843435","-148.24043566",
"819","TKN0139","65.251628796","-148.13896303",
"820","TKN0140","67.22256296","-150.22457905",
"821","TKN0141","67.226322376","-150.22044609",
"822","TKN0142","67.228579417","-150.21858541",
"823","TKN0143","67.229748263","-150.2168244",
"824","TKN0144","66.898204333","-150.47432488",
"825","TKN0145","66.28594687","-150.37514031",
"826","TKN0146","66.103272651","-150.15372456",
"827","TKN0147","65.943118914","-149.8981506",
"828","TKN0148","65.564470619","-148.92166153",
"829","TKN0149","64.017939555","-142.08673722",
"830","TKN0150","63.777138783","-142.23169307",
"831","TKN0151","63.53789309","-142.38976518",
"832","TKN0152","63.459869277","-142.47049967",
"833","TKN0153","63.519443565","-142.39082829",
"834","TKN0154","63.419627819","-142.4829193",
"835","TKN0155","63.40418509","-142.47219825",
"836","TKN0156","63.394302102","-142.4924931",
"837","TKN0157","63.3862032","-142.52735711",
"838","TKN0201","64.949684323","-148.42243252",
"839","TKN0202","64.945681398","-148.30008317",
"840","TKN0203","64.948037316","-148.43795548",
"841","TKN0204","64.947596365","-148.43573931",
"842","TKN0205","64.889400898","-148.27419439",
"843","TKN0206","64.803216825","-148.31698858",
"844","TKN0207","64.722093266","-148.47660681",
"845","TKN0208","64.643946734","-148.33673759",
"846","TKN0209","65.023293541","-147.36552379",
"847","TKN0210","65.022698982","-147.36587793",
"848","TKN0211","64.644972514","-148.3349874",
"849","TKN0212","64.67213834","-148.2066172",
"850","TKN0213","64.948962118","-147.96006175",
"851","TKN0214","64.948904963","-147.95715941",
"852","TKN0215","63.439848284","-142.49851613",
"853","TKN0216","63.440980991","-142.49609472",
"854","TKN0217","63.644248007","-142.28853911",
"855","TKN0218","63.657077621","-142.29088494",
"856","TKN0219","64.717524661","-148.46928667",
"857","TKN0220","64.764530454","-148.27451603",
"858","TKN0221","64.962967416","-148.02434283",
"859","TKN0222","64.974792879","-148.01335647",
"860","TKN0223","64.969198056","-148.03151688",
"861","TKN0224","64.956112141","-147.7171805",
"862","TKN0225","64.928098432","-147.64778884",
"863","TKN0226","67.314444977","-150.14761386",
"864","TKN0227","67.312422029","-150.13231154",
"865","TKN0228","67.340050153","-150.14617659",
"866","TKN0229","66.313368385","-150.40537185",
"867","TKN0230","65.347398237","-146.66861876",
"868","TKN0231","65.361699866","-146.6221484",
"869","TKN0232","64.660923947","-148.38267797",
"870","TKN0233","64.679840399","-148.2145422",
"871","TKN0234","64.873832898","-147.83863718",
"872","TKN0235","64.87455046","-147.92205832",
"873","TKN0236","64.876492907","-147.91667494",
"874","TKN0237","64.867119535","-147.87025298",
"875","TKN0238","65.360250667","-146.66900134",
