site,sample_date,latitude,longitude,transect,measurement_traverse,measurement_order,measurement_purpose,alt,alt_fl
SGW,2018-08-22,69.479578,-148.56442,NW-SE,NW to SE,3,soil pit focus,63,NA
SGW,2018-08-22,69.479578,-148.56442,NW-SE,NW to SE,4,soil pit focus,38,NA
SGW,2018-08-22,69.479578,-148.56442,NW-SE,NW to SE,5,soil pit focus,38,NA
SGW,2018-08-22,69.479578,-148.56442,NW-SE,NW to SE,6,soil pit focus,44,NA
SGW,2018-08-22,69.479578,-148.56442,NW-SE,NW to SE,7,soil pit focus,44,Soil pit SGW-1
SGW,2018-08-22,69.479578,-148.56442,NW-SE,NW to SE,8,soil pit focus,43,NA
SGW,2018-08-22,69.479578,-148.56442,NW-SE,NW to SE,9,soil pit focus,53,NA
SGW,2018-08-22,69.479578,-148.56442,NW-SE,NW to SE,10,soil pit focus,55,NA
SGW,2018-08-22,69.479578,-148.56442,NW-SE,NW to SE,11,soil pit focus,76,NA
SGW,2018-08-22,69.479578,-148.56442,NW-SE,NW to SE,12,soil pit focus,88,NA
SGW,2018-08-22,69.479578,-148.56442,NW-SE,NW to SE,13,soil pit focus,72,NA
SGW,2018-08-22,69.479578,-148.56443,E-W,E to W,1,soil pit focus,65,NA
SGW,2018-08-22,69.479578,-148.56443,E-W,E to W,2,soil pit focus,52,NA
SGW,2018-08-22,69.479578,-148.56443,E-W,E to W,3,soil pit focus,69,NA
SGW,2018-08-22,69.479578,-148.56443,E-W,E to W,4,soil pit focus,79,NA
SGW,2018-08-22,69.479578,-148.56443,E-W,E to W,5,soil pit focus,46,NA
SGW,2018-08-22,69.479578,-148.56443,E-W,E to W,6,soil pit focus,58,NA
SGW,2018-08-22,69.479578,-148.56443,E-W,E to W,7,soil pit focus,42,Soil pit SGW-2
SGW,2018-08-22,69.479578,-148.56443,E-W,E to W,8,soil pit focus,92,NA
SGW,2018-08-22,69.479578,-148.56443,E-W,E to W,9,soil pit focus,47,NA
SGW,2018-08-22,69.479578,-148.56443,E-W,E to W,10,soil pit focus,39,NA
SGW,2018-08-22,69.479578,-148.56443,E-W,E to W,11,soil pit focus,70,NA
SGW,2018-08-22,69.479578,-148.56443,E-W,E to W,12,soil pit focus,70,NA
SGW,2018-08-22,69.479578,-148.56443,E-W,E to W,13,soil pit focus,57,NA
SGW,2018-08-22,69.479578,-148.56443,NW-SE,NW to SE,1,soil pit focus,65,NA
SGW,2018-08-22,69.479578,-148.56443,NW-SE,NW to SE,2,soil pit focus,73,NA
SGW,2018-08-22,69.479578,-148.56443,NW-SE,NW to SE,3,soil pit focus,82,NA
SGW,2018-08-22,69.479578,-148.56443,NW-SE,NW to SE,4,soil pit focus,54,NA
SGW,2018-08-22,69.479578,-148.56443,NW-SE,NW to SE,5,soil pit focus,64,NA
SGW,2018-08-22,69.479578,-148.56443,NW-SE,NW to SE,6,soil pit focus,72,NA
SGW,2018-08-22,69.479578,-148.56443,NW-SE,NW to SE,7,soil pit focus,42,Soil pit SGW-2
