Site ,Transect,Location,TD,Notes,
10,2,16,23,,
10,2,17,24,,
10,2,18,25,,
10,2,19,24,,
10,2,20,24,,
10,3,0,16,,
10,3,1,19,,
10,3,2,17,,
10,3,3,20,,
10,3,4,43,,
10,3,5,40,,
10,3,6,18,,
10,3,7,16,,
10,3,8,20,,
10,3,9,21,,
10,3,10,20,,
10,3,11,29,,
10,3,12,48,,
10,3,13,43,,
10,3,14,30,,
10,3,15,32,,
10,3,16,27,,
10,3,17,30,,
10,3,18,23,,
10,3,19,23,,
10,3,20,21,,
11,1,0,11,,
11,1,1,33,,
11,1,2,44,,
11,1,3,39,,
11,1,4,36,,
11,1,5,43,,
11,1,6,44,,
11,1,7,28,,
11,1,8,44,,
11,1,9,50,,
11,1,10,37,,
11,1,11,33,,
11,1,12,47,,
11,1,13,50,,
11,1,14,19,,
11,1,15,50,,
11,1,16,50,,
11,1,17,54,,
11,1,18,45,,
11,1,19,37,,
11,1,20,34,,
11,2,0,25,,
11,2,1,11,,
11,2,2,31,,
11,2,3,23,,
11,2,4,38,,
11,2,5,42,,
11,2,6,40,,
11,2,7,47,,
11,2,8,57,,
11,2,9,40,,
11,2,10,44,,
11,2,11,22,,
11,2,12,20,,
11,2,13,44,,
11,2,14,46,,
11,2,15,49,,
11,2,16,46,,
11,2,17,45,,
11,2,18,41,,
11,2,19,47,,
11,2,20,44,,
11,3,0,38,,
11,3,1,37,,
11,3,2,38,,
11,3,3,56,,
11,3,4,47,,
11,3,5,34,,
11,3,6,22,,
11,3,7,53,,
11,3,8,14,,
11,3,9,52,,
11,3,10,50,,
11,3,11,41,,
11,3,12,48,,
11,3,13,43,,
11,3,14,15,,
11,3,15,44,,
11,3,16,36,,
11,3,17,30,,
11,3,18,24,,
11,3,19,30,,
11,3,20,36,,
12,1,0,22,,
12,1,1,22,,
12,1,2,14,,
12,1,3,20,,
12,1,4,20,,
12,1,5,19,,
12,1,6,22,,
12,1,7,23,,
12,1,8,25,,
12,1,9,25,,
12,1,10,19,,
12,1,11,16,,
12,1,12,32,,
12,1,13,29,,
12,1,14,14,,
12,1,15,14,,
12,1,16,15,,
12,1,17,15,,
12,1,18,34,,
12,1,19,22,,
12,1,20,22,,
12,2,0,19,,
12,2,1,20,,
12,2,2,16,,
12,2,3,20,,
12,2,4,24,,
12,2,5,14,,
12,2,6,27,,
12,2,7,37,,
12,2,8,24,,
12,2,9,16,,
12,2,10,20,,
12,2,11,32,,
12,2,12,31,,
12,2,13,22,,
12,2,14,12,,
12,2,15,34,,
12,2,16,32,,
12,2,17,22,,
12,2,18,22,,
12,2,19,14,,
12,2,20,19,,
12,3,0,16,,
12,3,1,20,,
12,3,2,16,,
12,3,3,31,,
12,3,4,16,,
12,3,5,32,,
12,3,6,20,,
12,3,7,20,,
12,3,8,18,,
12,3,9,20,,
12,3,10,17,,
12,3,11,23,,
12,3,12,16,,
12,3,13,22,,
12,3,14,14,,
12,3,15,26,,
12,3,16,24,,
12,3,17,22,,
12,3,18,14,,
12,3,19,24,,
12,3,20,15,,
13,1,0,32,,
13,1,1,38,,
13,1,2,37,,
13,1,3,38,,
13,1,4,42,,
13,1,5,43,,
13,1,6,40,,
13,1,7,35,,
13,1,8,32,,
13,1,9,31,,
13,1,10,28,,
13,1,11,27,,
13,1,12,28,,
13,1,13,29,,
13,1,14,28,,
13,1,15,29,,
13,1,16,29,,
13,1,17,30,,
13,1,18,30,,
13,1,19,33,,
13,1,20,28,,
13,2,0,35,,
13,2,1,36,,
13,2,2,33,,
13,2,3,36,,
13,2,4,29,,
13,2,5,29,,
13,2,6,32,,
13,2,7,37,,
13,2,8,35,,
13,2,9,27,,
13,2,10,29,,
13,2,11,33,,
13,2,12,38,,
13,2,13,36,,
13,2,14,36,,
13,2,15,38,,
13,2,16,40,,
13,2,17,45,,
13,2,18,44,,
13,2,19,46,,
13,2,20,10,,
13,3,0,22,,
13,3,1,26,,
13,3,2,29,,
13,3,3,21,,
13,3,4,18,,
13,3,5,31,Trough,
13,3,6,30,Trough,
13,3,7,34,Trough,
13,3,8,23,,
13,3,9,21,,
13,3,10,26,,
13,3,11,27,,
13,3,12,23,,
13,3,13,24,,
13,3,14,26,,
13,3,15,23,,
13,3,16,32,Trough,
13,3,17,28,Trough,
13,3,18,28,Trough,
13,3,19,32,Trough,
13,3,20,36,Trough,
14,1,0,44,,
14,1,1,58,,
14,1,2,66,,
14,1,3,64,,
14,1,4,64,,
14,1,5,55,,
14,1,6,50,,
14,1,7,61,,
14,1,8,50,,
14,1,9,55,,
14,1,10,54,,
14,1,11,60,,
14,1,12,59,,
14,1,13,50,,
14,1,14,52,,
14,1,15,50,,
14,1,16,58,,
14,1,17,56,,
14,1,18,59,,
14,1,19,51,,
14,1,20,46,,
14,2,0,62,,
14,2,1,60,,
14,2,2,51,,
14,2,3,53,,
14,2,4,53,,
14,2,5,61,,
14,2,6,55,,
14,2,7,51,,
14,2,8,61,,
14,2,9,58,,
14,2,10,56,,
14,2,11,45,,
14,2,12,61,,
14,2,13,58,,
14,2,14,52,,
14,2,15,51,,
14,2,16,46,,
14,2,17,54,,
14,2,18,43,,
14,2,19,65,,
14,2,20,54,,
14,3,0,62,,
14,3,1,54,,
14,3,2,59,,
14,3,3,63,,
14,3,4,58,,
14,3,5,58,,
14,3,6,58,,
14,3,7,46,,
14,3,8,38,,
14,3,9,50,,
14,3,10,66,,
14,3,11,67,,
14,3,12,66,,
14,3,13,54,,
14,3,14,59,,
14,3,15,67,,
14,3,16,69,,
14,3,17,60,,
14,3,18,43,,
14,3,19,55,,
14,3,20,62,,
15,1,0,54,,
15,1,1,52,,
15,1,2,44,,
15,1,3,32,,
15,1,4,39,,
15,1,5,30,,
15,1,6,24,,
15,1,7,26,,
15,1,8,49,,
15,1,9,44,,
15,1,10,50,,
15,1,11,54,,
15,1,12,46,,
15,1,13,51,,
15,1,14,54,,
15,1,15,45,,
15,1,16,45,,
15,1,17,52,,
15,1,18,48,,
15,1,19,50,,
15,1,20,52,,
15,2,0,46,,
15,2,1,46,,
15,2,2,58,,
15,2,3,49,,
15,2,4,42,,
15,2,5,54,,
15,2,6,47,,
15,2,7,59,,
15,2,8,45,,
15,2,9,31,,
15,2,10,48,,
15,2,11,52,,
15,2,12,50,,
15,2,13,43,,
15,2,14,60,,
15,2,15,53,,
15,2,16,52,,
15,2,17,60,,
15,2,18,56,,
15,2,19,52,,
15,2,20,54,,
15,3,0,48,,
15,3,1,58,,
15,3,2,54,,
15,3,3,55,,
15,3,4,50,,
15,3,5,60,,
15,3,6,49,,
15,3,7,50,,
15,3,8,55,,
15,3,9,52,,
15,3,10,44,,
15,3,11,48,,
15,3,12,55,,
15,3,13,45,,
15,3,14,46,,
15,3,15,43,,
15,3,16,48,,
15,3,17,43,,
15,3,18,53,,
15,3,19,46,,
15,3,20,53,,
16,1,0,47,,
16,1,1,51,,
16,1,2,54,,
16,1,3,52,,
16,1,4,37,,
16,1,5,52,,
16,1,6,49,,
16,1,7,31,,
16,1,8,48,,
16,1,9,53,,
16,1,10,48,,
16,1,11,58,,
16,1,12,58,,
16,1,13,40,,
16,1,14,50,,
16,1,15,46,,
16,1,16,43,,
16,1,17,52,,
16,1,18,43,,
16,1,19,54,,
16,1,20,47,,
16,2,0,54,,
16,2,1,63,,
16,2,2,45,,
16,2,3,49,,
16,2,4,48,,
16,2,5,50,,
16,2,6,53,,
16,2,7,60,,
16,2,8,26,,
16,2,9,52,,
16,2,10,52,,
16,2,11,55,,
16,2,12,58,,
