Site ,Transect,Location,TD,Notes,
22,3,20,43,,
23,1,0,25,,
23,1,1,48,,
23,1,2,50,,
23,1,3,59,,
23,1,4,65,,
23,1,5,90,,
23,1,6,82,,
23,1,7,65,,
23,1,8,60,,
23,1,9,61,,
23,1,10,53,,
23,1,11,54,,
23,1,12,50,,
23,1,13,55,,
23,1,14,48,,
23,1,15,47,,
23,1,16,50,,
23,1,17,64,,
23,1,18,75,,
23,1,19,74,,
23,1,20,83,,
23,2,0,70,,
23,2,1,53,,
23,2,2,43,,
23,2,3,44,,
23,2,4,50,,
23,2,5,50,,
23,2,6,53,,
23,2,7,60,,
23,2,8,70,,
23,2,9,63,,
23,2,10,69,,
23,2,11,72,,
23,2,12,70,,
23,2,13,70,,
23,2,14,73,,
23,2,15,70,,
23,2,16,72,,
23,2,17,74,,
23,2,18,89,,
23,2,19,110,,
23,2,20,69,,
23,3,0,44,,
23,3,1,56,,
23,3,2,50,,
23,3,3,34,,
23,3,4,34,,
23,3,5,30,,
23,3,6,55,,
23,3,7,43,,
23,3,8,53,,
23,3,9,50,,
23,3,10,52,,
23,3,11,50,,
23,3,12,46,,
23,3,13,44,,
23,3,14,50,,
23,3,15,51,,
23,3,16,48,,
23,3,17,40,,
23,3,18,45,,
23,3,19,53,,
23,3,20,63,,
24,1,0,60,,
24,1,1,46,,
24,1,2,54,,
24,1,3,52,,
24,1,4,46,,
24,1,5,55,,
24,1,6,38,,
24,1,7,52,,
24,1,8,48,,
24,1,9,50,,
24,1,10,45,,
24,1,11,52,,
24,1,12,42,,
24,1,13,52,,
24,1,14,54,,
24,1,15,48,,
24,1,16,42,,
24,1,17,52,,
24,1,18,51,,
24,1,19,49,,
24,1,20,35,,
24,2,0,40,,
24,2,1,37,,
24,2,2,42,,
24,2,3,43,,
24,2,4,42,,
24,2,5,50,,
24,2,6,44,,
24,2,7,46,,
24,2,8,44,,
24,2,9,43,,
24,2,10,43,,
24,2,11,40,,
24,2,12,51,,
24,2,13,43,,
24,2,14,43,,
24,2,15,43,,
24,2,16,42,,
24,2,17,47,,
24,2,18,46,,
24,2,19,53,,
24,2,20,42,,
24,3,0,46,,
24,3,1,46,,
24,3,2,44,,
24,3,3,42,,
24,3,4,45,,
24,3,5,45,,
24,3,6,43,,
24,3,7,44,,
24,3,8,50,,
24,3,9,37,,
24,3,10,43,,
24,3,11,41,,
24,3,12,34,,
24,3,13,47,,
24,3,14,47,,
24,3,15,50,,
24,3,16,47,,
24,3,17,47,,
24,3,18,38,,
24,3,19,44,,
24,3,20,40,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
